name_gene_X chr_X start_X stop_X strand_X name_gene_Y chr_Y start_Y stop_Y strand_Y name_gene_conica chr_conica start_conica stop_conica strand_conica name_gene_vulgaris chr_vulgaris start_vulgaris stop_vulgaris strand_vulgaris gene_number strata
_chr12_000123.1 chrX 3528085 3537912 + _scaffold_1_001419.1 chrY 462636324 462637733 + Chr05-anno1.g7277.t1 Chr05 10090624 10095118 - Silene_vulgaris_scaffold_1_000362.1 scaffold_1 8115483 8121001 + 13 S1a
_chr12_004996.1 chrX 3543458 3545767 - _scaffold_1_002759.1 chrY 462756937 462759061 - Sconica_v3_25099-RA Chr05 10081210 10085241 + Silene_vulgaris_scaffold_1_003264.1 scaffold_1 8146559 8148905 - 14 S1a
_chr12_004988.1 chrX 3881919 3887532 - _scaffold_1_002170.1 chrY 168520884 168526096 - Chr05-anno1.g7335.t1 Chr05 10781847 10786475 + Silene_vulgaris_scaffold_1_003283.1 scaffold_1 7519140 7524547 - 15 S1a
_chr12_000131.1 chrX 3925280 3931988 + _scaffold_1_002118.1 chrY 176827959 176831321 - Sconica_v3_25165-RA Chr05 10720386 10723669 - Silene_vulgaris_scaffold_1_000334.1 scaffold_1 7711422 7714699 + 16 S1a
_chr12_004979.1 chrX 3979157 3982262 - _scaffold_1_002110.1 chrY 177775788 177777250 - Sconica_v3_25153-RA Chr05 10570731 10573935 + Silene_vulgaris_scaffold_1_003274.1 scaffold_1 7787050 7789966 - 17 S1a
_chr12_000136.1 chrX 4002446 4005074 + _scaffold_41_000096.1 chrY 234018405 234020835 - Sconica_v3_25152-RA Chr05 10551466 10553249 - Silene_vulgaris_scaffold_1_000339.1 scaffold_1 7822893 7825497 + 18 S1a
_chr12_000137.1 chrX 4015857 4019673 + _scaffold_41_000045.1 chrY 233932222 233939931 + Chr05-anno1.g7307.t1 Chr05 10488875 10491828 - Silene_vulgaris_scaffold_1_000342.1 scaffold_1 7846191 7850887 + 19 S1a
_chr12_004977.1 chrX 4214715 4215930 - _scaffold_13_000235.1 chrY 218525111 218526334 - Chr05-anno2.g67664.t1 Chr05 10454279 10455100 + Silene_vulgaris_scaffold_1_003270.1 scaffold_1 7904211 7905478 - 20 S1a
_chr12_004975.1 chrX 4226484 4231651 - _scaffold_13_000174.1 chrY 216712958 216720629 + Chr05-anno1.g7304.t1 Chr05 10434505 10439203 + Silene_vulgaris_scaffold_1_003269.1 scaffold_1 7913147 7918195 - 21 S1a
_chr12_000156.1 chrX 4762101 4766627 + _scaffold_1_000054.1 chrY 410217430 410221667 - Sconica_v3_25239-RA Chr05 11350003 11354907 + FUN_000450-T1 scaffold_1 4795350 4799362 + 22 S1a
_chr12_000158.1 chrX 4768174 4771959 + _scaffold_1_000056.1 chrY 410158413 410162889 - Chr05-anno2.g67761.t1 Chr05 11359133 11360686 + Silene_vulgaris_scaffold_1_000196.1 scaffold_1 4805685 4808218 + 23 S1a
_chr12_004956.1 chrX 4863947 4872450 - _scaffold_1_002813.1 chrY 455264396 455276078 - Sconica_v3_25262-RA Chr05 11485641 11496229 - Silene_vulgaris_scaffold_1_003375.1 scaffold_1 4901389 4908711 - 24 S1a
_chr12_000167.1 chrX 4876779 4884176 + _scaffold_1_002810.1 chrY 456008434 456021472 - Sconica_v3_25264-RA Chr05 11527168 11534714 + Silene_vulgaris_scaffold_1_000205.1 scaffold_1 4909954 4917306 + 25 S1a
_chr12_004949.1 chrX 5166848 5178245 - _scaffold_12_000165.1 chrY 265564481 265582700 + Chr05-anno1.g7453.t1 Chr05 12009064 12024170 + Silene_vulgaris_scaffold_1_000220.1 scaffold_1 5354937 5365224 + 26 S1a
_chr12_004948.1 chrX 5188523 5197497 - _scaffold_12_000163.1 chrY 265298088 265307717 + Chr05-long_reads1.PB.2370.1 Chr05 11978031 11986845 + Silene_vulgaris_scaffold_1_000218.1 scaffold_1 5315088 5324382 + 27 S1a
_chr12_000179.1 chrX 5218571 5221845 + _scaffold_1_001346.1 chrY 452214997 452217860 + Sconica_v3_25316-RA Chr05 11943922 11946555 - Silene_vulgaris_scaffold_1_003364.1 scaffold_1 5295884 5298773 - 28 S1a
_chr12_004947.1 chrX 5222720 5242290 - _scaffold_1_001351.1 chrY 452687298 452708034 + Sconica_v3_25313-RA Chr05 11922780 11942225 + Silene_vulgaris_scaffold_1_000217.1 scaffold_1 5277669 5295105 + 29 S1a
_chr12_000183.1 chrX 5342000 5347124 + _scaffold_1_002318.1 chrY 140561679 140566751 - Sconica_v3_25291-RA Chr05 11767329 11771870 - Silene_vulgaris_scaffold_1_003367.1 scaffold_1 5067742 5072218 - 30 S1a
_chr12_004941.1 chrX 5364644 5371563 - _scaffold_1_001801.1 chrY 140545161 140551748 + Sconica_v3_25287-RA Chr05 11747985 11756548 + FUN_000475-T1 scaffold_1 5041719 5047596 + 31 S1a
_chr12_000194.1 chrX 5703321 5705951 + _scaffold_1_004087.1 chrY 405561480 405563776 + Sconica_v3_25366-RA Chr05 12458325 12461257 + Silene_vulgaris_scaffold_1_000240.1 scaffold_1 5853829 5856676 + 32 S1a
_chr12_004934.1 chrX 5705787 5711067 - _scaffold_1_000095.1 chrY 405564141 405572338 - Chr05-anno1.g7496.t1 Chr05 12461442 12467916 - Silene_vulgaris_scaffold_1_003338.1 scaffold_1 5856279 5862337 - 33 S1a
_chr12_004818.1 chrX 10283222 10284223 - _scaffold_13_000015.1 chrY 202187078 202189179 - Chr05-anno1.g7770.t1 Chr05 14906811 14907635 - FUN_000313-T1 scaffold_1 3226509 3229098 - 34 S1b
_chr12_004817.1 chrX 10285779 10290167 - _scaffold_13_000014.1 chrY 202210301 202213354 - Sconica_v3_25706-RA Chr05 14909365 14913040 - Silene_vulgaris_scaffold_1_003437.1 scaffold_1 3230121 3234578 - 35 S1b
_chr12_004806.1 chrX 10715655 10724656 - _scaffold_1_002873.1 chrY 444507627 444517405 - Chr05-anno1.g6382.t1 Chr05 1632265 1640455 + Silene_vulgaris_scaffold_1_000127.1 scaffold_1 2784297 2791687 + 36 S1b
_chr12_000361.1 chrX 10833582 10839855 + _scaffold_1_002883.1 chrY 443020285 443022804 - Sconica_v3_24042-RA Chr05 1586539 1588719 - FUN_000269-T1 scaffold_1 2777039 2778319 - 37 S1b
_chr12_000362.1 chrX 10840132 10841566 + _scaffold_1_002884.1 chrY 443000159 443001800 - FUN_023153-T1 Chr05 1584631 1586456 - Silene_vulgaris_scaffold_1_003460.1 scaffold_1 2775064 2776503 - 38 S1b
_chr12_000363.1 chrX 10848198 10851366 + _scaffold_1_002885.1 chrY 442898389 442901447 - Chr05-anno1.g6367.t1 Chr05 1577492 1580600 - Silene_vulgaris_scaffold_1_003461.1 scaffold_1 2769408 2772259 - 39 S1b
_chr12_004801.1 chrX 10887135 10892877 - _scaffold_1_000511.1 chrY 330014704 330034720 - Chr05-anno1.g6352.t1 Chr05 1458932 1463786 + Silene_vulgaris_scaffold_1_000122.1 scaffold_1 2720463 2731156 + 40 S1b
_chr12_004800.1 chrX 10893749 10898952 - _scaffold_1_000508.1 chrY 330154069 330156205 - Sconica_v3_24023-RA Chr05 1452964 1457788 + Silene_vulgaris_scaffold_1_000121.1 scaffold_1 2714637 2719797 + 41 S1b
_chr12_000371.1 chrX 11080053 11080745 + _scaffold_1_001941.1 chrY 165736878 165737715 + Chr05-anno2.g66640.t1 Chr05 1373372 1373962 - FUN_000259-T1 scaffold_1 2707569 2708162 - 42 S1b
_chr12_004796.1 chrX 11091462 11092577 - _scaffold_1_002188.1 chrY 165845064 165846779 - Chr05-anno1.g6337.t1 Chr05 1358213 1358977 + Silene_vulgaris_scaffold_1_000114.1 scaffold_1 2660898 2662100 + 43 S1b
_chr12_004795.1 chrX 11146029 11152810 - _scaffold_1_004014.1 chrY 394083940 394099513 + Sconica_v3_24012-RA Chr05 1349196 1357127 + Silene_vulgaris_scaffold_1_000113.1 scaffold_1 2648267 2655303 + 44 S1b
_chr12_000390.1 chrX 11734229 11736401 + _scaffold_1_003771.1 chrY 348655684 348657844 + FUN_023099-T1 Chr05 1112519 1114843 - Silene_vulgaris_scaffold_1_003476.1 scaffold_1 2348890 2350862 - 45 S1b
_chr12_004775.1 chrX 11735652 11745254 - _scaffold_1_000411.1 chrY 348657082 348667466 - Sconica_v3_23979-RA Chr05 1104593 1112193 + Silene_vulgaris_scaffold_1_000098.1 scaffold_1 2340457 2349105 + 46 S1b
_chr12_000471.1 chrX 14856095 14866248 + _scaffold_13_000347.1 chrY 183799509 183809323 + Chr05-long_reads1.PB.2208.3 Chr05 193075 204059 - Silene_vulgaris_scaffold_1_003556.1 scaffold_1 485187 494003 - 47 S1b
_chr12_004706.1 chrX 14901864 14903023 - _scaffold_13_000095.1 chrY 184055831 184056983 - Chr05-anno1.g6179.t1 Chr05 111436 113486 + Silene_vulgaris_scaffold_1_000011.1 scaffold_1 464383 465999 + 48 S1b
_chr12_004705.1 chrX 15052496 15055395 - _scaffold_1_001860.1 chrY 151358819 151361721 + Chr05-anno1.g6178.t1 Chr05 106618 109451 + Silene_vulgaris_scaffold_1_000010.1 scaffold_1 458643 461614 + 49 S1b
_chr12_000476.1 chrX 15074962 15080069 + _scaffold_1_002260.1 chrY 151350799 151357045 - Chr05-long_reads1.PB.2207.2 Chr05 77569 81627 + FUN_000036-T1 scaffold_1 429618 434099 - 50 S1b
_chr12_004703.1 chrX 15109439 15112229 - _scaffold_1_001855.1 chrY 150811740 150814524 + Chr05-anno2.g66472.t1 Chr05 73982 76517 + Silene_vulgaris_scaffold_1_000008.1 scaffold_1 411705 414415 + 51 S1b
_chr12_004702.1 chrX 15159146 15160813 - _scaffold_1_001854.1 chrY 150534945 150536672 + Chr05-anno1.g6170.t1 Chr05 56256 57333 + Silene_vulgaris_scaffold_1_000005.1 scaffold_1 155958 157641 + 52 S1b
_chr12_004701.1 chrX 15161962 15165922 - _scaffold_1_001853.1 chrY 150477254 150491812 + Chr05-anno1.g6169.t1 Chr05 51539 54296 + Silene_vulgaris_scaffold_1_000004.1 scaffold_1 139696 143044 + 53 S1b
_chr12_000482.1 chrX 15189710 15197198 + _scaffold_13_000350.1 chrY 184525836 184533667 + Chr05-long_reads1.PB.2202.1 Chr05 35806 42365 - Silene_vulgaris_scaffold_1_003572.1 scaffold_1 103934 111200 - 54 S1b
_chr12_000483.1 chrX 15198016 15203891 + _scaffold_13_000351.1 chrY 184569047 184575366 + Sconica_v3_23797-RA Chr05 30802 34618 - Silene_vulgaris_scaffold_1_003573.1 scaffold_1 99121 103075 - 55 S1b
_chr12_004699.1 chrX 15204441 15209488 - _scaffold_13_000093.1 chrY 184576585 184585180 - Sconica_v3_23796-RA Chr05 25177 30117 + Silene_vulgaris_scaffold_1_000002.1 scaffold_1 95010 98736 + 56 S1b
_chr12_000494.1 chrX 15830480 15837728 + _scaffold_1_003062.1 chrY 55290226 55297011 - Sconica_v3_24662-RA Chr05 6218889 6223844 - Silene_vulgaris_scaffold_1_000531.1 scaffold_1 12681454 12686618 + 57 S1c
_chr12_004684.1 chrX 16511892 16518671 - _scaffold_1_003065.1 chrY 53766000 53779269 - Sconica_v3_24640-RA Chr05 6011846 6018150 + FUN_001201-T1 scaffold_1 12903335 12909534 - 58 S1c
_chr12_004618.1 chrX 20371621 20375256 - _scaffold_1_002872.1 chrY 445405444 445414571 - Chr05-anno2.g67056.t1 Chr05 5006293 5009268 + Silene_vulgaris_scaffold_1_003019.1 scaffold_1 14378738 14382705 - 59 S1c
_chr12_000580.1 chrX 22872189 22878452 + _scaffold_1_000078.1 chrY 408088676 408095345 - Chr05-anno1.g6701.t1 Chr05 4621785 4626809 - FUN_001372-T1 scaffold_1 14935027 14940436 + 60 S1c
_chr12_004598.1 chrX 22878250 22883724 - _scaffold_1_004095.1 chrY 408075185 408087826 + Chr05-anno2.g67006.t1 Chr05 4615425 4620867 + Silene_vulgaris_scaffold_1_002999.1 scaffold_1 14940993 14946711 - 61 S1c
_chr12_000586.1 chrX 23621436 23628522 + _scaffold_1_003502.1 chrY 301509666 301513079 + Chr05-long_reads1.PB.2285.2 Chr05 4545794 4553024 - FUN_001383-T1 scaffold_1 15113052 15119501 + 62 S1c
_chr12_004593.1 chrX 23633769 23645894 - _scaffold_1_000719.1 chrY 301728848 301747037 - Chr05-anno1.g6689.t1 Chr05 4526617 4538031 + Silene_vulgaris_scaffold_1_002996.1 scaffold_1 15160632 15169627 - 63 S1c
_chr12_004083.1 chrX 43037848 43040846 + _scaffold_1_002446.1 chrY 106769859 106772260 + Sconica_v3_24278-RA Chr05 3228257 3232064 - Silene_vulgaris_scaffold_1_000682.1 scaffold_1 18277892 18281747 + 64 S2
_chr12_004084.1 chrX 43047098 43049415 + _scaffold_1_002447.1 chrY 106957662 106959926 + Sconica_v3_24277-RA Chr05 3223648 3225751 - Silene_vulgaris_scaffold_1_000683.1 scaffold_1 18282685 18285006 + 65 S2
_chr12_001126.1 chrX 43085051 43088958 - _scaffold_1_001685.1 chrY 107188317 107192305 - Sconica_v3_24276-RA Chr05 3218095 3221779 + Silene_vulgaris_scaffold_1_002906.1 scaffold_1 18317341 18321656 - 66 S2
_chr12_001125.1 chrX 43167304 43169041 - _scaffold_1_001680.1 chrY 107374691 107376584 - Chr05-anno1.g6552.t1 Chr05 3208262 3209536 + Silene_vulgaris_scaffold_1_002905.1 scaffold_1 18362743 18364464 - 67 S2
_chr12_004085.1 chrX 44023839 44032787 + _scaffold_1_002448.1 chrY 107764785 107767905 + Chr05-long_reads1.PB.2269.1 Chr05 3198965 3203071 - Silene_vulgaris_scaffold_1_000684.1 scaffold_1 18367791 18377206 + 68 S2
_chr12_001103.1 chrX 48638816 48639667 - _scaffold_1_001204.1 chrY 429534078 429535050 + Chr05-anno1.g6523.t1 Chr05 2915284 2920618 - FUN_001671-T1 scaffold_1 19004971 19005926 + 69 S2
_chr12_004145.1 chrX 53441251 53447428 + _scaffold_41_000130.1 chrY 227599488 227605234 - Chr05-anno1.g6508.t1 Chr05 2782939 2786845 - FUN_001693-T1 scaffold_1 19280953 19287336 + 70 S2
_chr12_001081.1 chrX 53452629 53456743 - _scaffold_41_000011.1 chrY 227595010 227598644 + Chr05-anno1.g6507.t1 Chr05 2777953 2781809 + Silene_vulgaris_scaffold_1_002876.1 scaffold_1 19287608 19292475 - 71 S2
_chr12_004171.1 chrX 59867856 59873066 + _scaffold_1_000811.1 chrY 285340043 285345617 - Sconica_v3_24206-RA Chr05 2710113 2715657 + Silene_vulgaris_scaffold_1_002873.1 scaffold_1 19392781 19397841 - 72 S2
_chr12_001052.1 chrX 60612967 60614472 - _scaffold_1_003421.1 chrY 285962662 285965095 + Sconica_v3_24186-RA Chr05 2582992 2587365 + Silene_vulgaris_scaffold_1_002864.1 scaffold_1 19879216 19883027 - 73 S2
_chr12_000892.1 chrX 92525214 92530757 - _scaffold_1_002156.1 chrY 170242326 170258141 - Sconica_v3_24167-RA Chr05 2463692 2469441 + Silene_vulgaris_scaffold_1_000871.1 scaffold_1 27367259 27372836 + 74 S2
_chr12_004315.1 chrX 93765402 93769164 + _scaffold_1_001982.1 chrY 170335568 170343277 + Sconica_v3_24166-RA Chr05 2458864 2462558 - Silene_vulgaris_scaffold_1_002726.1 scaffold_1 27362998 27366178 - 75 S2
_chr12_000840.1 chrX 105332498 105337033 - _scaffold_1_003507.1 chrY 303683404 303685290 + Sconica_v3_24096-RA Chr05 1926472 1929951 - Silene_vulgaris_scaffold_1_002778.1 scaffold_1 24272773 24277649 - 76 S2
_chr12_000816.1 chrX 111589477 111592043 - _scaffold_13_000042.1 chrY 196348911 196351458 - Chr05-anno1.g6434.t1 Chr05 2091516 2093612 - Silene_vulgaris_scaffold_1_002764.1 scaffold_1 25322855 25325351 - 77 S2
_chr12_004389.1 chrX 111949127 111954300 + _scaffold_13_000418.1 chrY 196482089 196486504 + Chr05-anno1.g6436.t1 Chr05 2100604 2102451 + Silene_vulgaris_scaffold_1_000852.1 scaffold_1 25614698 25618829 + 78 S2
_chr12_004500.1 chrX 148250356 148258350 + _scaffold_1_003530.1 chrY 309438724 309444394 + Sconica_v3_24169-RA Chr05 2474696 2480777 + Silene_vulgaris_scaffold_1_000872.1 scaffold_1 27446306 27451895 + 79 S2
_chr12_000696.1 chrX 148295672 148301317 - _scaffold_1_000667.1 chrY 309476717 309483452 - Sconica_v3_24172-RA Chr05 2492161 2497475 - Silene_vulgaris_scaffold_1_002724.1 scaffold_1 27452254 27458140 - 80 S2
_chr12_004511.1 chrX 153568086 153574201 + _scaffold_1_003380.1 chrY 6129693 6145215 - Sconica_v3_26195-RA Chr05 20499651 20503810 + Silene_vulgaris_scaffold_1_000940.1 scaffold_1 32397961 32406034 + 81 S2
_chr12_004519.1 chrX 156650480 156662118 + _scaffold_1_003379.1 chrY 6292773 6303877 - Chr05-long_reads1.PB.2466.1 Chr05 20378660 20388766 - FUN_002497-T1 scaffold_1 32302048 32313656 + 82 S2
