name_gene_X chr_X start_X stop_X strand_X name_gene_Y chr_Y start_Y stop_Y strand_Y name_gene_conica chr_conica start_conica stop_conica strand_conica name_gene_vulgaris chr_vulgaris start_vulgaris stop_vulgaris strand_vulgaris gene_number synteny_Y synteny_con synteny_vulg strata
_chr12_000033.1 chrX 1220195 1226795 + _scaffold_41_000132.1 chrY 226601392 226604884 - Sconica_v3_24820-RA Chr05 7742488 7748940 + Silene_vulgaris_scaffold_1_003166.1 scaffold_1 10719717 10726765 - 11 2 19 19 S1a
_chr12_005070.1 chrX 1237234 1243815 - _scaffold_41_000003.1 chrY 226449364 226459444 + Sconica_v3_24821-RA Chr05 7749622 7756641 - Silene_vulgaris_scaffold_1_000471.1 scaffold_1 10711642 10719481 + 12 2 19 19 S1a
_chr12_005064.1 chrX 1275163 1282856 - _scaffold_1_002045.1 chrY 181821156 181831526 + Chr05-anno1.g7029.t1 Chr05 7795578 7804426 - Silene_vulgaris_scaffold_1_000465.1 scaffold_1 10636285 10643646 + 13 1 19 19 S1a
_chr12_000034.1 chrX 1287554 1291007 + _scaffold_12_000381.1 chrY 266585268 266588481 - Sconica_v3_24829-RA Chr05 7815096 7818419 + Silene_vulgaris_scaffold_1_003169.1 scaffold_1 10625070 10628536 - 14 1 19 19 S1a
_chr12_005045.1 chrX 2172857 2180624 - _scaffold_41_000097.1 chrY 233459403 233471243 - Sconica_v3_24933-RA Chr05 8582231 8589643 + FUN_000914-T1 scaffold_1 9621144 9630852 - 15 1 19 19 S1a
_chr12_005036.1 chrX 2358282 2363037 - _scaffold_1_001265.1 chrY 439437104 439437688 + Chr05-anno1.g7132.t1 Chr05 8718602 8722229 - Silene_vulgaris_scaffold_1_000428.1 scaffold_1 9561946 9566114 + 16 1 19 19 S1a
_chr12_005034.1 chrX 2373711 2379090 - _scaffold_1_000966.1 chrY 28529400 28535411 + Chr05-anno1.g7136.t1 Chr05 8753984 8759429 - Silene_vulgaris_scaffold_1_000426.1 scaffold_1 9545871 9550824 + 17 1 19 19 S1a
_chr12_005031.1 chrX 2423607 2428619 - _scaffold_1_004018.1 chrY 394394879 394399675 + Chr05-anno1.g7142.t1 Chr05 8794664 8798887 - Silene_vulgaris_scaffold_1_000421.1 scaffold_1 9459481 9463981 + 18 2 19 19 S1a
_chr12_000071.1 chrX 2435296 2443667 + _scaffold_1_000149.1 chrY 394381482 394388221 - Chr05-anno1.g7144.t1 Chr05 8807668 8815360 + Silene_vulgaris_scaffold_1_003218.1 scaffold_1 9423714 9431466 - 19 2 19 19 S1a
_chr12_000072.1 chrX 2457925 2462873 + _scaffold_1_000071.1 chrY 409012212 409017206 - Chr05-anno1.g7152.t1 Chr05 8887379 8891174 + Silene_vulgaris_scaffold_1_003222.1 scaffold_1 9347782 9353009 - 20 1 19 19 S1a
_chr12_000078.1 chrX 2529563 2534804 + _scaffold_1_001490.1 chrY 76316843 76320067 + Sconica_v3_24978-RA Chr05 9002452 9005322 + Silene_vulgaris_scaffold_1_003228.1 scaffold_1 9272021 9274688 - 21 1 19 19 S1a
_chr12_005021.1 chrX 2724249 2730144 - _scaffold_1_002570.1 chrY 98438479 98447286 - Sconica_v3_24994-RA Chr05 9089690 9096841 - Silene_vulgaris_scaffold_1_000404.1 scaffold_1 9123589 9129345 + 22 1 19 19 S1a
_chr12_000093.1 chrX 2945541 2949456 + _scaffold_1_000173.1 chrY 390196010 390201089 - Chr05-anno2.g67546.t1 Chr05 9315540 9316127 - Silene_vulgaris_scaffold_1_000394.1 scaffold_1 8833674 8837250 + 23 1 19 19 S1a
_chr12_005014.1 chrX 3072022 3073763 - _scaffold_1_003081.1 chrY 52422951 52424593 - Chr05-anno1.g7260.t1 Chr05 9912375 9913625 + Silene_vulgaris_scaffold_1_003259.1 scaffold_1 8235452 8237165 - 24 1 6 3 S1a
_chr12_005012.1 chrX 3081204 3087984 - _scaffold_12_000308.1 chrY 278024840 278035914 - Sconica_v3_25077-RA Chr05 9895041 9909670 + Silene_vulgaris_scaffold_1_003258.1 scaffold_1 8238365 8246284 - 25 2 6 3 S1a
_chr12_005009.1 chrX 3119260 3125397 - _scaffold_12_000309.1 chrY 277608613 277620138 - Chr05-anno1.g7249.t1 Chr05 9792709 9797810 + Silene_vulgaris_scaffold_1_003255.1 scaffold_1 8369590 8375832 - 26 2 6 3 S1a
_chr12_005003.1 chrX 3164617 3169059 - _scaffold_1_000663.1 chrY 309979524 309984728 - Sconica_v3_25060-RA Chr05 9701187 9705795 + NA 0 0 0 0 27 1 6 1 S1a
_chr12_000106.1 chrX 3291608 3301590 + _scaffold_1_002942.1 chrY 434558006 434567718 - Sconica_v3_25049-RA Chr05 9602789 9612108 - Silene_vulgaris_scaffold_1_000385.1 scaffold_1 8652123 8662359 + 28 1 6 2 S1a
_chr12_000107.1 chrX 3323283 3339605 + _scaffold_1_000472.1 chrY 335068247 335096762 - Sconica_v3_25041-RA Chr05 9512852 9527639 - Silene_vulgaris_scaffold_1_000387.1 scaffold_1 8734845 8749532 + 29 1 6 2 S1a
_chr12_004998.1 chrX 3434312 3436161 - _scaffold_1_003717.1 chrY 338151863 338154017 + Chr05-anno1.g7291.t1 Chr05 10274870 10276090 + Silene_vulgaris_scaffold_1_003268.1 scaffold_1 7987394 7989440 - 30 1 3 3 S1a
_chr12_000123.1 chrX 3528085 3537912 + _scaffold_1_001419.1 chrY 462636324 462637733 + Chr05-anno1.g7277.t1 Chr05 10090624 10095118 - Silene_vulgaris_scaffold_1_000362.1 scaffold_1 8115483 8121001 + 31 2 3 3 S1a
_chr12_004996.1 chrX 3543458 3545767 - _scaffold_1_002759.1 chrY 462756937 462759061 - Sconica_v3_25099-RA Chr05 10081210 10085241 + Silene_vulgaris_scaffold_1_003264.1 scaffold_1 8146559 8148905 - 32 2 3 3 S1a
_chr12_000128.1 chrX 3868561 3870767 + _scaffold_1_001957.1 chrY 167548212 167550572 + Sconica_v3_25180-RA Chr05 10804835 10807027 - Silene_vulgaris_scaffold_1_003402.1 scaffold_1 4393465 4395921 - 33 2 8 1 S1a
_chr12_004988.1 chrX 3881919 3887532 - _scaffold_1_002170.1 chrY 168520884 168526096 - Chr05-anno1.g7335.t1 Chr05 10781847 10786475 + Silene_vulgaris_scaffold_1_003283.1 scaffold_1 7519140 7524547 - 34 2 8 7 S1a
_chr12_000131.1 chrX 3925280 3931988 + _scaffold_1_002118.1 chrY 176827959 176831321 - Sconica_v3_25165-RA Chr05 10720386 10723669 - Silene_vulgaris_scaffold_1_000334.1 scaffold_1 7711422 7714699 + 35 2 8 7 S1a
_chr12_004979.1 chrX 3979157 3982262 - _scaffold_1_002110.1 chrY 177775788 177777250 - Sconica_v3_25153-RA Chr05 10570731 10573935 + Silene_vulgaris_scaffold_1_003274.1 scaffold_1 7787050 7789966 - 36 2 8 7 S1a
_chr12_000136.1 chrX 4002446 4005074 + _scaffold_41_000096.1 chrY 234018405 234020835 - Sconica_v3_25152-RA Chr05 10551466 10553249 - Silene_vulgaris_scaffold_1_000339.1 scaffold_1 7822893 7825497 + 37 2 8 7 S1a
_chr12_000137.1 chrX 4015857 4019673 + _scaffold_41_000045.1 chrY 233932222 233939931 + Chr05-anno1.g7307.t1 Chr05 10488875 10491828 - Silene_vulgaris_scaffold_1_000342.1 scaffold_1 7846191 7850887 + 38 2 8 7 S1a
_chr12_004977.1 chrX 4214715 4215930 - _scaffold_13_000235.1 chrY 218525111 218526334 - Chr05-anno2.g67664.t1 Chr05 10454279 10455100 + Silene_vulgaris_scaffold_1_003270.1 scaffold_1 7904211 7905478 - 39 2 8 7 S1a
_chr12_004975.1 chrX 4226484 4231651 - _scaffold_13_000174.1 chrY 216712958 216720629 + Chr05-anno1.g7304.t1 Chr05 10434505 10439203 + Silene_vulgaris_scaffold_1_003269.1 scaffold_1 7913147 7918195 - 40 2 8 7 S1a
_chr12_004972.1 chrX 4405999 4416025 - _scaffold_1_000872.1 chrY 13574275 13597457 + Chr05-long_reads1.PB.2354.1 Chr05 10981923 10990663 + Silene_vulgaris_scaffold_1_000185.1 scaffold_1 4555521 4565443 + 41 1 2 2 S1a
_chr12_000145.1 chrX 4419461 4426502 + _scaffold_1_000820.1 chrY 3396940 3411373 + Chr05-anno1.g7349.t1 Chr05 10952787 10959879 - Silene_vulgaris_scaffold_1_003393.1 scaffold_1 4503463 4510623 - 42 1 2 2 S1a
_chr12_004963.1 chrX 4699139 4704566 - _scaffold_1_001574.1 chrY 96244096 96256260 + Chr05-anno1.g7382.t1 Chr05 11278674 11282961 - Silene_vulgaris_scaffold_1_003382.1 scaffold_1 4723312 4729245 - 43 1 8 8 S1a
_chr12_000156.1 chrX 4762101 4766627 + _scaffold_1_000054.1 chrY 410217430 410221667 - Sconica_v3_25239-RA Chr05 11350003 11354907 + FUN_000450-T1 scaffold_1 4795350 4799362 + 44 2 8 8 S1a
_chr12_000158.1 chrX 4768174 4771959 + _scaffold_1_000056.1 chrY 410158413 410162889 - Chr05-anno2.g67761.t1 Chr05 11359133 11360686 + Silene_vulgaris_scaffold_1_000196.1 scaffold_1 4805685 4808218 + 45 2 8 8 S1a
_chr12_000160.1 chrX 4804797 4812383 + _scaffold_1_002243.1 chrY 157683234 157692420 - FUN_024142-T1 Chr05 11389776 11396671 + Silene_vulgaris_scaffold_1_000197.1 scaffold_1 4811546 4817369 + 46 1 8 8 S1a
_chr12_004956.1 chrX 4863947 4872450 - _scaffold_1_002813.1 chrY 455264396 455276078 - Sconica_v3_25262-RA Chr05 11485641 11496229 - Silene_vulgaris_scaffold_1_003375.1 scaffold_1 4901389 4908711 - 47 2 8 8 S1a
_chr12_000167.1 chrX 4876779 4884176 + _scaffold_1_002810.1 chrY 456008434 456021472 - Sconica_v3_25264-RA Chr05 11527168 11534714 + Silene_vulgaris_scaffold_1_000205.1 scaffold_1 4909954 4917306 + 48 2 8 8 S1a
_chr12_000168.1 chrX 4893718 4905707 + _scaffold_1_002767.1 chrY 461342402 461352895 - Chr05-anno1.g7414.t1 Chr05 11565898 11575859 + FUN_000466-T1 scaffold_1 4927506 4936046 + 49 1 8 8 S1a
_chr12_004954.1 chrX 4932165 4937794 - _scaffold_12_000185.1 chrY 270229691 270237362 + Chr05-long_reads1.PB.2361.2 Chr05 11602021 11610082 - Silene_vulgaris_scaffold_1_003373.1 scaffold_1 4957663 4964934 - 50 1 8 8 S1a
_chr12_000172.1 chrX 5027047 5031173 + _scaffold_12_000140.1 chrY 261003788 261005192 + Sconica_v3_25347-RA Chr05 12202477 12205045 - Silene_vulgaris_scaffold_1_003351.1 scaffold_1 5505144 5507830 - 51 1 6 10 S1a
_chr12_004949.1 chrX 5166848 5178245 - _scaffold_12_000165.1 chrY 265564481 265582700 + Chr05-anno1.g7453.t1 Chr05 12009064 12024170 + Silene_vulgaris_scaffold_1_000220.1 scaffold_1 5354937 5365224 + 52 2 6 10 S1a
_chr12_004948.1 chrX 5188523 5197497 - _scaffold_12_000163.1 chrY 265298088 265307717 + Chr05-long_reads1.PB.2370.1 Chr05 11978031 11986845 + Silene_vulgaris_scaffold_1_000218.1 scaffold_1 5315088 5324382 + 53 2 6 10 S1a
_chr12_000177.1 chrX 5205752 5212848 + _scaffold_1_001881.1 chrY 154874988 154881926 + Chr05-long_reads1.PB.2369.1 Chr05 11963130 11969169 - Silene_vulgaris_scaffold_1_003362.1 scaffold_1 5302669 5309663 - 54 1 6 10 S1a
_chr12_000179.1 chrX 5218571 5221845 + _scaffold_1_001346.1 chrY 452214997 452217860 + Sconica_v3_25316-RA Chr05 11943922 11946555 - Silene_vulgaris_scaffold_1_003364.1 scaffold_1 5295884 5298773 - 55 2 6 10 S1a
_chr12_004947.1 chrX 5222720 5242290 - _scaffold_1_001351.1 chrY 452687298 452708034 + Sconica_v3_25313-RA Chr05 11922780 11942225 + Silene_vulgaris_scaffold_1_000217.1 scaffold_1 5277669 5295105 + 56 2 6 10 S1a
_chr12_004944.1 chrX 5267606 5277999 - _scaffold_1_000087.1 chrY 407338763 407352862 - NA 0 0 0 0 Silene_vulgaris_scaffold_1_000214.1 scaffold_1 5249381 5261152 + 57 1 1 10 S1a
_chr12_000183.1 chrX 5342000 5347124 + _scaffold_1_002318.1 chrY 140561679 140566751 - Sconica_v3_25291-RA Chr05 11767329 11771870 - Silene_vulgaris_scaffold_1_003367.1 scaffold_1 5067742 5072218 - 58 2 3 10 S1a
_chr12_004941.1 chrX 5364644 5371563 - _scaffold_1_001801.1 chrY 140545161 140551748 + Sconica_v3_25287-RA Chr05 11747985 11756548 + FUN_000475-T1 scaffold_1 5041719 5047596 + 59 2 3 10 S1a
_chr12_000188.1 chrX 5397068 5401119 + _scaffold_1_002553.1 chrY 100796116 100805973 - Sconica_v3_25280-RA Chr05 11691524 11697719 - FUN_000471-T1 scaffold_1 5010409 5013864 - 60 1 3 10 S1a
_chr12_000194.1 chrX 5703321 5705951 + _scaffold_1_004087.1 chrY 405561480 405563776 + Sconica_v3_25366-RA Chr05 12458325 12461257 + Silene_vulgaris_scaffold_1_000240.1 scaffold_1 5853829 5856676 + 61 2 10 35 S1a
_chr12_004934.1 chrX 5705787 5711067 - _scaffold_1_000095.1 chrY 405564141 405572338 - Chr05-anno1.g7496.t1 Chr05 12461442 12467916 - Silene_vulgaris_scaffold_1_003338.1 scaffold_1 5856279 5862337 - 62 2 10 35 S1a
_chr12_000199.1 chrX 5769054 5774916 + _scaffold_1_000729.1 chrY 298291003 298297325 - Sconica_v3_25378-RA Chr05 12540997 12546626 + Silene_vulgaris_scaffold_1_000246.1 scaffold_1 5908691 5914319 + 63 2 10 35 S3
_chr12_000200.1 chrX 5776789 5790749 + _scaffold_1_000730.1 chrY 298236174 298252998 - Chr05-long_reads1.PB.2380.1 Chr05 12549040 12561882 + Silene_vulgaris_scaffold_1_000247.1 scaffold_1 5915167 5928898 + 64 2 10 35 S3
_chr12_004928.1 chrX 5790875 5799857 - _scaffold_1_000744.1 chrY 295714955 295719511 - Sconica_v3_25384-RA Chr05 12562307 12566361 - Silene_vulgaris_scaffold_1_003333.1 scaffold_1 5929080 5933409 - 65 1 10 35 S3
_chr12_004926.1 chrX 5837465 5840728 - _scaffold_1_003688.1 chrY 332237833 332245576 + Chr05-anno2.g67915.t1 Chr05 12644816 12647547 - Silene_vulgaris_scaffold_1_003331.1 scaffold_1 5968758 5972568 - 66 1 10 35 S3
_chr12_004925.1 chrX 5854953 5858222 - _scaffold_13_000375.1 chrY 187405653 187408788 + Chr05-anno1.g7518.t1 Chr05 12675959 12676909 - Silene_vulgaris_scaffold_1_003330.1 scaffold_1 5994321 5997408 - 67 1 10 35 S3
_chr12_000215.1 chrX 5915064 5916744 + _scaffold_1_004037.1 chrY 396476780 396478459 + Chr05-long_reads1.PB.2383.1 Chr05 12720713 12721672 + Silene_vulgaris_scaffold_1_000258.1 scaffold_1 6040902 6042444 + 68 1 10 35 S3
_chr12_000216.1 chrX 5924774 5930685 + _scaffold_1_001878.1 chrY 154094617 154101020 + Sconica_v3_25422-RA Chr05 12779335 12784002 + Silene_vulgaris_scaffold_1_000260.1 scaffold_1 6055664 6059399 + 69 1 10 35 S3
_chr12_004919.1 chrX 6060848 6064223 - _scaffold_1_002660.1 chrY 82283590 82285984 - Sconica_v3_25446-RA Chr05 12953498 12957665 - Silene_vulgaris_scaffold_1_003322.1 scaffold_1 6170458 6173691 - 70 1 10 35 S3
_chr12_000236.1 chrX 6350185 6356116 + _scaffold_1_001385.1 chrY 458637000 458643005 + FUN_024327-T1 scaffold_4 75455474 75456565 + Silene_vulgaris_scaffold_1_000285.1 scaffold_1 6431173 6436807 + 71 1 1 35 S3
_chr12_000242.1 chrX 6464038 6469058 + _scaffold_1_000329.1 chrY 364168001 364175998 - Chr05-anno2.g68006.t1 Chr05 13331886 13335526 + FUN_000633-T1 scaffold_1 6509062 6512587 + 72 1 13 35 S3
_chr12_004902.1 chrX 6609802 6613866 - _scaffold_1_001525.1 chrY 83512171 83516133 + Sconica_v3_25510-RA Chr05 13460589 13464491 - Silene_vulgaris_scaffold_1_003311.1 scaffold_1 6614727 6618168 - 73 3 13 35 S3
_chr12_000248.1 chrX 6617692 6624371 + _scaffold_1_002654.1 chrY 83289448 83298588 - Chr05-anno1.g7609.t1 Chr05 13472545 13479424 + Silene_vulgaris_scaffold_1_000297.1 scaffold_1 6623302 6629918 + 74 3 13 35 S3
_chr12_000250.1 chrX 6640600 6649763 + _scaffold_1_002656.1 chrY 83185447 83192189 - Sconica_v3_25514-RA Chr05 13502012 13510862 + FUN_000651-T1 scaffold_1 6648181 6657013 + 75 3 13 35 S3
_chr12_004897.1 chrX 6655993 6663656 - _scaffold_1_002651.1 chrY 83621390 83629706 - Sconica_v3_25516-RA Chr05 13514117 13524084 - Silene_vulgaris_scaffold_1_003306.1 scaffold_1 6661210 6668067 - 76 5 13 35 S3
_chr12_000253.1 chrX 6783748 6794328 + _scaffold_1_001527.1 chrY 83691732 83701167 + Sconica_v3_25517-RA Chr05 13536885 13546449 + Silene_vulgaris_scaffold_1_000303.1 scaffold_1 6716487 6725973 + 77 5 13 35 S3
_chr12_000255.1 chrX 6797838 6804645 + _scaffold_1_001532.1 chrY 83991419 83997786 + Sconica_v3_25520-RA Chr05 13551611 13557396 + Silene_vulgaris_scaffold_1_000304.1 scaffold_1 6730568 6736299 + 78 5 13 35 S3
_chr12_000259.1 chrX 6891088 6900167 + _scaffold_1_001545.1 chrY 84535394 84544501 + Sconica_v3_25526-RA Chr05 13598412 13607621 + Silene_vulgaris_scaffold_1_000305.1 scaffold_1 6822292 6831220 + 79 5 13 35 S3
_chr12_004893.1 chrX 6908430 6913264 - _scaffold_1_002648.1 chrY 84754967 84760475 - Chr05-anno1.g7624.t1 Chr05 13608455 13612106 - Silene_vulgaris_scaffold_1_003302.1 scaffold_1 6831717 6835952 - 80 5 13 35 S3
_chr12_004888.1 chrX 7284776 7304729 - _scaffold_1_003002.1 chrY 421021543 421064613 - FUN_024374-T1 Chr05 13651528 13668124 - FUN_000670-T1 scaffold_1 6858136 6877637 - 81 4 13 35 S3
_chr12_000269.1 chrX 7359852 7363272 + _scaffold_1_001158.1 chrY 421181306 421184651 + Chr05-anno1.g7633.t1 Chr05 13686543 13689121 + Silene_vulgaris_scaffold_1_000309.1 scaffold_1 6882667 6886011 + 82 4 13 35 S3
_chr12_004887.1 chrX 7379247 7384836 - _scaffold_1_003001.1 chrY 421284157 421289770 - Sconica_v3_25544-RA Chr05 13705124 13710356 - Silene_vulgaris_scaffold_1_003298.1 scaffold_1 6898173 6903121 - 83 4 13 35 S3
_chr12_004886.1 chrX 7427353 7431086 - _scaffold_1_003000.1 chrY 421337581 421341282 - Chr05-anno1.g7639.t1 Chr05 13730107 13733340 - Silene_vulgaris_scaffold_1_003297.1 scaffold_1 6918007 6921828 - 84 4 13 35 S3
_chr12_000272.1 chrX 7459148 7460115 + _scaffold_1_003537.1 chrY 310326643 310327780 + FUN_024385-T1 scaffold_4 76304769 76306637 + Silene_vulgaris_scaffold_1_000313.1 scaffold_1 6927710 6928680 + 85 40 1 35 S3
_chr12_000275.1 chrX 7497140 7505789 + _scaffold_1_003538.1 chrY 310435464 310444004 + Chr05-anno1.g7645.t1 Chr05 13766976 13774653 + Silene_vulgaris_scaffold_1_000314.1 scaffold_1 6940953 6948762 + 86 40 25 35 S3
_chr12_004884.1 chrX 7505816 7509864 - _scaffold_1_000646.1 chrY 310443989 310447839 - Sconica_v3_25558-RA Chr05 13775058 13779018 - Silene_vulgaris_scaffold_1_003295.1 scaffold_1 6948834 6952597 - 87 40 25 35 S3
_chr12_004883.1 chrX 7510565 7516221 - _scaffold_1_000645.1 chrY 310516142 310522159 - Chr05-anno1.g7647.t2 Chr05 13779948 13785980 - Silene_vulgaris_scaffold_1_003294.1 scaffold_1 6953397 6957298 - 88 40 25 35 S3
_chr12_004880.1 chrX 7561641 7563475 - _scaffold_1_000626.1 chrY 311007372 311009666 - Sconica_v3_25565-RA Chr05 13814627 13816355 - Silene_vulgaris_scaffold_1_003291.1 scaffold_1 6979848 6981761 - 89 40 25 35 S3
_chr12_000277.1 chrX 7564041 7564969 + _scaffold_1_003544.1 chrY 311038677 311039487 + Chr05-anno1.g7651.t1 Chr05 13817185 13817667 + Silene_vulgaris_scaffold_1_000316.1 scaffold_1 6983106 6984040 + 90 40 25 35 S3
_chr12_004879.1 chrX 7566419 7568942 - _scaffold_1_000624.1 chrY 311070090 311074194 - Sconica_v3_25567-RA Chr05 13821434 13823618 - FUN_000687-T1 scaffold_1 6988018 6990504 - 91 40 25 35 S3
_chr12_000279.1 chrX 7653314 7654668 + _scaffold_1_003553.1 chrY 311546515 311547724 + Chr05-anno1.g7662.t1 Chr05 13894996 13896605 + Silene_vulgaris_scaffold_1_000319.1 scaffold_1 7070721 7072087 + 92 40 25 35 S3
_chr12_000280.1 chrX 7657981 7663862 + _scaffold_1_003555.1 chrY 311584520 311592335 + Sconica_v3_25578-RA Chr05 13901691 13907211 + Silene_vulgaris_scaffold_1_000320.1 scaffold_1 7072864 7078185 + 93 40 25 35 S3
_chr12_000281.1 chrX 7666923 7670021 + _scaffold_1_003557.1 chrY 311619835 311623176 + Chr05-anno1.g7664.t1 Chr05 13911424 13914296 + Silene_vulgaris_scaffold_1_000321.1 scaffold_1 7081342 7084434 + 94 40 25 35 S3
_chr12_000282.1 chrX 7717656 7720992 + _scaffold_1_003562.1 chrY 311752248 311758195 + Sconica_v3_25584-RA Chr05 13945287 13949919 + Silene_vulgaris_scaffold_1_000323.1 scaffold_1 7114812 7118683 + 95 40 25 35 S3
_chr12_000284.1 chrX 7730932 7736103 + _scaffold_1_003564.1 chrY 311781719 311786504 + Sconica_v3_25588-RA Chr05 13999156 14003909 + Silene_vulgaris_scaffold_1_003405.1 scaffold_1 4131445 4135657 - 96 40 25 13 S3
_chr12_000285.1 chrX 7740720 7748284 + _scaffold_1_003565.1 chrY 311791472 311798955 + Sconica_v3_25590-RA Chr05 14013740 14021297 + Silene_vulgaris_scaffold_1_003406.1 scaffold_1 4123231 4128597 - 97 40 25 13 S3
_chr12_004876.1 chrX 7750722 7754233 - _scaffold_1_000617.1 chrY 311801455 311804687 - Sconica_v3_25591-RA Chr05 14021891 14024777 - Silene_vulgaris_scaffold_1_000179.1 scaffold_1 4113193 4116174 + 98 40 25 13 S3
_chr12_000286.1 chrX 7756150 7757144 + _scaffold_1_003566.1 chrY 311807136 311808530 + Chr05-anno2.g68104.t1 Chr05 14033116 14033957 + FUN_000403-T1 scaffold_1 4101330 4102508 - 99 40 25 13 S3
_chr12_000288.1 chrX 7775147 7776192 + _scaffold_1_003568.1 chrY 311815234 311816318 + Chr05-anno2.g68106.t1 Chr05 14041211 14041969 + FUN_000401-T1 scaffold_1 4091441 4092341 - 100 40 25 13 S3
_chr12_000289.1 chrX 7783644 7791929 + _scaffold_1_003569.1 chrY 311830237 311839085 + Chr05-long_reads1.PB.2405.4 Chr05 14049259 14057005 + Silene_vulgaris_scaffold_1_003411.1 scaffold_1 4075730 4085332 - 101 40 25 13 S3
_chr12_000290.1 chrX 7803355 7805064 + _scaffold_1_003570.1 chrY 311841473 311843200 + Chr05-anno1.g7682.t1 Chr05 14058720 14060294 + Silene_vulgaris_scaffold_1_003412.1 scaffold_1 4071904 4073647 - 102 40 25 13 S3
_chr12_004875.1 chrX 7805450 7814713 - _scaffold_1_000614.1 chrY 311843460 311852523 - Sconica_v3_25599-RA Chr05 14060672 14068494 - Silene_vulgaris_scaffold_1_000178.1 scaffold_1 4060832 4071769 + 103 40 25 13 S3
_chr12_004873.1 chrX 7865114 7868740 - _scaffold_1_000611.1 chrY 311906586 311909360 - Chr05-anno1.g7686.t1 Chr05 14105044 14107624 - Silene_vulgaris_scaffold_1_000176.1 scaffold_1 4037520 4041478 + 104 40 25 13 S3
_chr12_004872.1 chrX 7902427 7905820 - _scaffold_1_000609.1 chrY 312698193 312701959 - Sconica_v3_25609-RA Chr05 14170196 14172376 - Silene_vulgaris_scaffold_1_000175.1 scaffold_1 3987607 3991185 + 105 40 25 13 S3
_chr12_004871.1 chrX 7910897 7916304 - _scaffold_1_000608.1 chrY 312711484 312717666 - Sconica_v3_25610-RA Chr05 14176764 14183435 - Silene_vulgaris_scaffold_1_000174.1 scaffold_1 3976327 3981904 + 106 40 25 13 S3
_chr12_004869.1 chrX 7925657 7928002 - _scaffold_1_000606.1 chrY 312730312 312737185 - Chr05-long_reads1.PB.2409.1 Chr05 14191825 14193535 - Silene_vulgaris_scaffold_1_000172.1 scaffold_1 3962120 3970758 + 107 40 25 13 S3
_chr12_004866.1 chrX 8103954 8106017 - _scaffold_1_000604.1 chrY 312919931 312922075 - Chr05-anno1.g7700.t1 Chr05 14265973 14268041 - Silene_vulgaris_scaffold_1_000171.1 scaffold_1 3792634 3794712 + 108 40 25 13 S3
_chr12_004864.1 chrX 8179128 8180795 - _scaffold_1_000601.1 chrY 313043596 313045147 - Chr05-anno1.g7703.t1 Chr05 14313426 14313938 - NA 0 0 0 0 109 40 25 1 S3
