X_transcriptName	tissue	sRNA24_exp	strata	Allele
_chr12_001086.1	leaves	0.0163450966843784	stratum 2	"(X+X)/2
Female"
_chr12_004192.1	flowers	0.0348250120972081	stratum 2	"(X+X)/2
Female"
_chr12_004192.1	leaves	0.11151893382118	stratum 2	"(X+X)/2
Female"
_chr12_003480.1	flowers	0.0215930244409368	stratum 3	"(X+X)/2
Female"
_chr12_003480.1	leaves	0.0283139196024003	stratum 3	"(X+X)/2
Female"
_chr12_003486.1	flowers	0.0161386843589829	stratum 3	"(X+X)/2
Female"
_chr12_003486.1	leaves	0.0377827565852318	stratum 3	"(X+X)/2
Female"
_chr12_001709.1	flowers	0.026087977574361	stratum 3	"(X+X)/2
Female"
_chr12_001709.1	leaves	0.0398377439063727	stratum 3	"(X+X)/2
Female"
_chr12_001710.1	flowers	0.074210826304397	stratum 3	"(X+X)/2
Female"
_chr12_001710.1	leaves	0.115721478788993	stratum 3	"(X+X)/2
Female"
_chr12_001711.1	flowers	0.0185744335075111	stratum 3	"(X+X)/2
Female"
_chr12_001711.1	leaves	0.0542391371710255	stratum 3	"(X+X)/2
Female"
_chr12_001713.1	flowers	0.0624700305139875	stratum 3	"(X+X)/2
Female"
_chr12_001713.1	leaves	0.091986623554673	stratum 3	"(X+X)/2
Female"
_chr12_004768.1	flowers	0.057811933652883	stratum 2	"(X+X)/2
Female"
_chr12_004768.1	leaves	0.0928238746361075	stratum 2	"(X+X)/2
Female"
_chr12_000342.1	flowers	0.034657418949166	stratum 2	"(X+X)/2
Female"
_chr12_000342.1	leaves	0.0616790853309035	stratum 2	"(X+X)/2
Female"
_chr12_004817.1	flowers	0.0153981960707983	stratum 2	"(X+X)/2
Female"
_chr12_004817.1	leaves	0.0348109196468876	stratum 2	"(X+X)/2
Female"
_chr12_004405.1	flowers	0.0568905483218605	stratum 2	"(X+X)/2
Female"
_chr12_004405.1	leaves	0.086159458403049	stratum 2	"(X+X)/2
Female"
_chr12_000887.1	flowers	0.0244893432826203	stratum 2	"(X+X)/2
Female"
_chr12_000887.1	leaves	0.061936099778213	stratum 2	"(X+X)/2
Female"
_chr12_000816.1	flowers	0.0061181911430838	stratum 2	"(X+X)/2
Female"
_chr12_000816.1	leaves	0.0101231763806373	stratum 2	"(X+X)/2
Female"
_chr12_000880.1	flowers	0.0445928827395232	stratum 2	"(X+X)/2
Female"
_chr12_000880.1	leaves	0.069793724870853	stratum 2	"(X+X)/2
Female"
_chr12_000754.1	flowers	0.010824481756537	stratum 2	"(X+X)/2
Female"
_chr12_000754.1	leaves	0.0278672675779541	stratum 2	"(X+X)/2
Female"
_chr12_004699.1	flowers	0.0752768050571625	stratum 2	"(X+X)/2
Female"
_chr12_004699.1	leaves	0.137005934329234	stratum 2	"(X+X)/2
Female"
_chr12_004706.1	flowers	0.299614708646737	stratum 2	"(X+X)/2
Female"
_chr12_004706.1	leaves	0.251489703287215	stratum 2	"(X+X)/2
Female"
_chr12_003859.1	flowers	0.095890876934831	stratum 2	"(X+X)/2
Female"
_chr12_003859.1	leaves	0.232235323945595	stratum 2	"(X+X)/2
Female"
_chr12_003860.1	flowers	0.0112582263141294	stratum 2	"(X+X)/2
Female"
_chr12_003860.1	leaves	0.0390984032895633	stratum 2	"(X+X)/2
Female"
_chr12_004975.1	flowers	0.017834312568551	stratum 1	"(X+X)/2
Female"
_chr12_004975.1	leaves	0.0214362504658277	stratum 1	"(X+X)/2
Female"
_chr12_004977.1	flowers	0.0135794044818018	stratum 1	"(X+X)/2
Female"
_chr12_004977.1	leaves	0.0204210040621611	stratum 1	"(X+X)/2
Female"
_chr12_001612.1	flowers	0.0395634870369727	stratum 3	"(X+X)/2
Female"
_chr12_001612.1	leaves	0.041674905926311	stratum 3	"(X+X)/2
Female"
_chr12_004455.1	flowers	0.0470863450726671	stratum 2	"(X+X)/2
Female"
_chr12_004455.1	leaves	0.073331783167155	stratum 2	"(X+X)/2
Female"
_chr12_001433.1	flowers	0.0906660737294275	stratum 2	"(X+X)/2
Female"
_chr12_001433.1	leaves	0.14841748571945	stratum 2	"(X+X)/2
Female"
_chr12_001434.1	flowers	0.0293040777432232	stratum 2	"(X+X)/2
Female"
_chr12_001434.1	leaves	0.05365588944742	stratum 2	"(X+X)/2
Female"
_chr12_000624.1	flowers	0.0076457899203765	stratum 2	"(X+X)/2
Female"
_chr12_000624.1	leaves	0	stratum 2	"(X+X)/2
Female"
_chr12_003591.1	flowers	0.0092308056735785	stratum 3	"(X+X)/2
Female"
_chr12_003591.1	leaves	0.0138002433519457	stratum 3	"(X+X)/2
Female"
_chr12_003592.1	flowers	0.0244740890386096	stratum 3	"(X+X)/2
Female"
_chr12_003592.1	leaves	0.0445613831654743	stratum 3	"(X+X)/2
Female"
_chr12_001154.1	flowers	0.0156861123739509	stratum 2	"(X+X)/2
Female"
_chr12_001154.1	leaves	0.033842326810689	stratum 2	"(X+X)/2
Female"
_chr12_001599.1	flowers	0.0214641522165315	stratum 3	"(X+X)/2
Female"
_chr12_001599.1	leaves	0.051237727715516	stratum 3	"(X+X)/2
Female"
_chr12_003516.1	flowers	0.0104553501931762	stratum 3	"(X+X)/2
Female"
_chr12_003516.1	leaves	0.0260636335858691	stratum 3	"(X+X)/2
Female"
_chr12_000471.1	flowers	0.0159996525728963	stratum 2	"(X+X)/2
Female"
_chr12_000471.1	leaves	0.0814226328594255	stratum 2	"(X+X)/2
Female"
_chr12_000482.1	flowers	0.0156786091127909	stratum 2	"(X+X)/2
Female"
_chr12_000482.1	leaves	0.0293252239956882	stratum 2	"(X+X)/2
Female"
_chr12_000483.1	flowers	0.0238088652992338	stratum 2	"(X+X)/2
Female"
_chr12_000483.1	leaves	0.0193743217112845	stratum 2	"(X+X)/2
Female"
_chr12_004925.1	flowers	0.0719116975626695	stratum 2	"(X+X)/2
Female"
_chr12_004925.1	leaves	0.217345412202395	stratum 2	"(X+X)/2
Female"
_chr12_004389.1	flowers	0.0175162609771259	stratum 2	"(X+X)/2
Female"
_chr12_004389.1	leaves	0.023481987408282	stratum 2	"(X+X)/2
Female"
_chr12_004400.1	flowers	0.0322923337916624	stratum 2	"(X+X)/2
Female"
_chr12_004400.1	leaves	0.06071433638814	stratum 2	"(X+X)/2
Female"
_chr12_000469.1	flowers	0.0261478040914294	stratum 2	"(X+X)/2
Female"
_chr12_000469.1	leaves	0.0299670401817106	stratum 2	"(X+X)/2
Female"
_chr12_003938.1	flowers	0.0379376829390887	stratum 2	"(X+X)/2
Female"
_chr12_003938.1	leaves	0.0357337957695773	stratum 2	"(X+X)/2
Female"
_chr12_001408.1	flowers	0.0286733470620058	stratum 2	"(X+X)/2
Female"
_chr12_001408.1	leaves	0.0563647308974635	stratum 2	"(X+X)/2
Female"
_chr12_003815.1	flowers	0.035048251108009	stratum 2	"(X+X)/2
Female"
_chr12_003815.1	leaves	0.0983945546500375	stratum 2	"(X+X)/2
Female"
_chr12_000158.1	flowers	0.00578461118543725	stratum 2	"(X+X)/2
Female"
_chr12_000158.1	leaves	0.0167064021370179	stratum 2	"(X+X)/2
Female"
_chr12_000072.1	flowers	0.0348257382811154	stratum 1	"(X+X)/2
Female"
_chr12_000072.1	leaves	0.0235914680283281	stratum 1	"(X+X)/2
Female"
_chr12_000580.1	flowers	0.0495396967262859	stratum 2	"(X+X)/2
Female"
_chr12_000580.1	leaves	0.079637308406689	stratum 2	"(X+X)/2
Female"
_chr12_004944.1	flowers	0.0316549195736633	stratum 2	"(X+X)/2
Female"
_chr12_004944.1	leaves	0.0304780984398464	stratum 2	"(X+X)/2
Female"
_chr12_004824.1	flowers	0.121231426378289	stratum 2	"(X+X)/2
Female"
_chr12_004824.1	leaves	0.145074483085006	stratum 2	"(X+X)/2
Female"
_chr12_004934.1	flowers	0.0171164559199395	stratum 2	"(X+X)/2
Female"
_chr12_004934.1	leaves	0.0210523625063825	stratum 2	"(X+X)/2
Female"
_chr12_003748.1	flowers	0.0149612342683729	stratum 3	"(X+X)/2
Female"
_chr12_003748.1	leaves	0.0169762932094085	stratum 3	"(X+X)/2
Female"
_chr12_004744.1	flowers	0.194609951597962	stratum 2	"(X+X)/2
Female"
_chr12_004744.1	leaves	0.190820432848482	stratum 2	"(X+X)/2
Female"
_chr12_000071.1	flowers	0.0694693193578715	stratum 1	"(X+X)/2
Female"
_chr12_000071.1	leaves	0.0856736850390155	stratum 1	"(X+X)/2
Female"
_chr12_000379.1	flowers	0.0181508046439231	stratum 2	"(X+X)/2
Female"
_chr12_000379.1	leaves	0.0331115885460688	stratum 2	"(X+X)/2
Female"
_chr12_004674.1	flowers	0.0447142795925226	stratum 2	"(X+X)/2
Female"
_chr12_004674.1	leaves	0.0975083747079	stratum 2	"(X+X)/2
Female"
_chr12_001587.1	flowers	0.0276969183222768	stratum 3	"(X+X)/2
Female"
_chr12_001587.1	leaves	0.0452451976173814	stratum 3	"(X+X)/2
Female"
_chr12_004190.1	flowers	0.0127237588327822	stratum 2	"(X+X)/2
Female"
_chr12_004190.1	leaves	0.013227617137366	stratum 2	"(X+X)/2
Female"
_chr12_000093.1	flowers	0.0482967550306607	stratum 1	"(X+X)/2
Female"
_chr12_000093.1	leaves	0.0903419057434595	stratum 1	"(X+X)/2
Female"
_chr12_000192.1	flowers	0.0342299480858208	stratum 2	"(X+X)/2
Female"
_chr12_000192.1	leaves	0.058256882458693	stratum 2	"(X+X)/2
Female"
_chr12_003603.1	flowers	0.10137438872161	stratum 3	"(X+X)/2
Female"
_chr12_003603.1	leaves	0.136299127680521	stratum 3	"(X+X)/2
Female"
_chr12_000752.1	flowers	0.104269138129282	stratum 2	"(X+X)/2
Female"
_chr12_000752.1	leaves	0.136139701349995	stratum 2	"(X+X)/2
Female"
_chr12_003919.1	flowers	0.0624858248335565	stratum 2	"(X+X)/2
Female"
_chr12_003919.1	leaves	0.071233698746579	stratum 2	"(X+X)/2
Female"
_chr12_004808.1	flowers	0.0171199283111754	stratum 2	"(X+X)/2
Female"
_chr12_004808.1	leaves	0.0255689929100281	stratum 2	"(X+X)/2
Female"
_chr12_003594.1	flowers	0.0359280484159671	stratum 3	"(X+X)/2
Female"
_chr12_003594.1	leaves	0.0494233554099121	stratum 3	"(X+X)/2
Female"
_chr12_003595.1	flowers	0.00774039668722265	stratum 3	"(X+X)/2
Female"
_chr12_003595.1	leaves	0.0101231763806373	stratum 3	"(X+X)/2
Female"
_chr12_004773.1	flowers	0.0685136901195715	stratum 2	"(X+X)/2
Female"
_chr12_004773.1	leaves	0.0901481548591325	stratum 2	"(X+X)/2
Female"
_chr12_004775.1	flowers	0.0209305560446992	stratum 2	"(X+X)/2
Female"
_chr12_004775.1	leaves	0.0588777574687735	stratum 2	"(X+X)/2
Female"
_chr12_000380.1	flowers	0.0665162208827345	stratum 2	"(X+X)/2
Female"
_chr12_000380.1	leaves	0.0580084635579465	stratum 2	"(X+X)/2
Female"
_chr12_003908.1	flowers	0.00676901884094905	stratum 2	"(X+X)/2
Female"
_chr12_003908.1	leaves	0.0269951370150327	stratum 2	"(X+X)/2
Female"
_chr12_000901.1	flowers	0.0226538014409735	stratum 2	"(X+X)/2
Female"
_chr12_000901.1	leaves	0.0323576967968916	stratum 2	"(X+X)/2
Female"
_chr12_004459.1	flowers	0.0188711984997605	stratum 2	"(X+X)/2
Female"
_chr12_004459.1	leaves	0.0180196034130134	stratum 2	"(X+X)/2
Female"
_chr12_000107.1	flowers	0.0568046757079065	stratum 1	"(X+X)/2
Female"
_chr12_000107.1	leaves	0.0573245509148585	stratum 1	"(X+X)/2
Female"
_chr12_004801.1	flowers	0.0580234644606815	stratum 2	"(X+X)/2
Female"
_chr12_004801.1	leaves	0.073907911819045	stratum 2	"(X+X)/2
Female"
_chr12_001327.1	flowers	0.067360916622311	stratum 2	"(X+X)/2
Female"
_chr12_001327.1	leaves	0.099137400957633	stratum 2	"(X+X)/2
Female"
_chr12_004854.1	flowers	0.0357090409330242	stratum 2	"(X+X)/2
Female"
_chr12_004854.1	leaves	0.0493370482642584	stratum 2	"(X+X)/2
Female"
_chr12_004855.1	flowers	0.0185706107692886	stratum 2	"(X+X)/2
Female"
_chr12_004855.1	leaves	0.0257429760473516	stratum 2	"(X+X)/2
Female"
_chr12_004858.1	flowers	0.194092570694538	stratum 2	"(X+X)/2
Female"
_chr12_004858.1	leaves	0.212106393269162	stratum 2	"(X+X)/2
Female"
_chr12_004859.1	flowers	0.018000970715507	stratum 2	"(X+X)/2
Female"
_chr12_004859.1	leaves	0.0165716751317285	stratum 2	"(X+X)/2
Female"
_chr12_004860.1	flowers	0.0477447009503947	stratum 2	"(X+X)/2
Female"
_chr12_004860.1	leaves	0.055679154884889	stratum 2	"(X+X)/2
Female"
_chr12_004861.1	flowers	0.056810617413704	stratum 2	"(X+X)/2
Female"
_chr12_004861.1	leaves	0.0953963323350545	stratum 2	"(X+X)/2
Female"
_chr12_004863.1	flowers	0.112945792152103	stratum 2	"(X+X)/2
Female"
_chr12_004863.1	leaves	0.156360339856406	stratum 2	"(X+X)/2
Female"
_chr12_004864.1	flowers	0.168254039464201	stratum 2	"(X+X)/2
Female"
_chr12_004864.1	leaves	0.277223753951355	stratum 2	"(X+X)/2
Female"
_chr12_004866.1	flowers	0.124032671142202	stratum 2	"(X+X)/2
Female"
_chr12_004866.1	leaves	0.0583618805115955	stratum 2	"(X+X)/2
Female"
_chr12_004869.1	flowers	0.0385985133799864	stratum 2	"(X+X)/2
Female"
_chr12_004869.1	leaves	0.0621721949043215	stratum 2	"(X+X)/2
Female"
_chr12_004871.1	flowers	0.055779716411077	stratum 2	"(X+X)/2
Female"
_chr12_004871.1	leaves	0.0670300561902615	stratum 2	"(X+X)/2
Female"
_chr12_004872.1	flowers	0.254814321067188	stratum 2	"(X+X)/2
Female"
_chr12_004872.1	leaves	0.214464076774807	stratum 2	"(X+X)/2
Female"
_chr12_004873.1	flowers	0.0657872447080285	stratum 2	"(X+X)/2
Female"
_chr12_004873.1	leaves	0.086526759694302	stratum 2	"(X+X)/2
Female"
_chr12_004875.1	flowers	0.0371984352869384	stratum 2	"(X+X)/2
Female"
_chr12_004875.1	leaves	0.09817466617723	stratum 2	"(X+X)/2
Female"
_chr12_004876.1	flowers	0.051537017302092	stratum 2	"(X+X)/2
Female"
_chr12_004876.1	leaves	0.111182356133555	stratum 2	"(X+X)/2
Female"
_chr12_004880.1	flowers	0.0282023717599116	stratum 2	"(X+X)/2
Female"
_chr12_004880.1	leaves	0.0376662339760676	stratum 2	"(X+X)/2
Female"
_chr12_004883.1	flowers	0.0100478264137506	stratum 2	"(X+X)/2
Female"
_chr12_004883.1	leaves	0.0231922954349184	stratum 2	"(X+X)/2
Female"
_chr12_004884.1	flowers	0.0112209952280961	stratum 2	"(X+X)/2
Female"
_chr12_004884.1	leaves	0.0245808947020685	stratum 2	"(X+X)/2
Female"
_chr12_005003.1	flowers	0.0436965976375948	stratum 1	"(X+X)/2
Female"
_chr12_005003.1	leaves	0.0257912430427051	stratum 1	"(X+X)/2
Female"
_chr12_000696.1	flowers	0.0323146710185247	stratum 2	"(X+X)/2
Female"
_chr12_000696.1	leaves	0.0863520663700815	stratum 2	"(X+X)/2
Female"
_chr12_001184.1	flowers	0.0384647868057421	stratum 2	"(X+X)/2
Female"
_chr12_001184.1	leaves	0.0434845629313126	stratum 2	"(X+X)/2
Female"
_chr12_004593.1	flowers	0.0119588983560005	stratum 2	"(X+X)/2
Female"
_chr12_004593.1	leaves	0.0178608067905994	stratum 2	"(X+X)/2
Female"
_chr12_000199.1	flowers	0.0860154091142865	stratum 2	"(X+X)/2
Female"
_chr12_000199.1	leaves	0.167083358267436	stratum 2	"(X+X)/2
Female"
_chr12_000200.1	flowers	0.0188612070767848	stratum 2	"(X+X)/2
Female"
_chr12_000200.1	leaves	0.0687138561218095	stratum 2	"(X+X)/2
Female"
_chr12_004928.1	flowers	0.017962797123159	stratum 2	"(X+X)/2
Female"
_chr12_004928.1	leaves	0.0295011042592604	stratum 2	"(X+X)/2
Female"
_chr12_000673.1	flowers	0.0079886326469793	stratum 2	"(X+X)/2
Female"
_chr12_000673.1	leaves	0.0208694762351471	stratum 2	"(X+X)/2
Female"
_chr12_004171.1	flowers	0.0794002837603585	stratum 2	"(X+X)/2
Female"
_chr12_004171.1	leaves	0.098192326449205	stratum 2	"(X+X)/2
Female"
_chr12_000145.1	flowers	0.0181783766504228	stratum 1	"(X+X)/2
Female"
_chr12_000145.1	leaves	0.0269438057229594	stratum 1	"(X+X)/2
Female"
_chr12_003880.1	flowers	0.168231888958123	stratum 2	"(X+X)/2
Female"
_chr12_003880.1	leaves	0.236640497548816	stratum 2	"(X+X)/2
Female"
_chr12_003882.1	flowers	0.0202371620679491	stratum 2	"(X+X)/2
Female"
_chr12_003882.1	leaves	0.0118949169607565	stratum 2	"(X+X)/2
Female"
_chr12_001733.1	flowers	0.06243514685406	stratum 3	"(X+X)/2
Female"
_chr12_001733.1	leaves	0.0680898307259965	stratum 3	"(X+X)/2
Female"
_chr12_001477.1	flowers	0.268608690630486	stratum 3	"(X+X)/2
Female"
_chr12_001477.1	leaves	0.505190452369365	stratum 3	"(X+X)/2
Female"
_chr12_001339.1	flowers	0.0105998146918676	stratum 2	"(X+X)/2
Female"
_chr12_001339.1	leaves	0.014590349104933	stratum 2	"(X+X)/2
Female"
_chr12_004972.1	flowers	0.0123504345742613	stratum 1	"(X+X)/2
Female"
_chr12_004972.1	leaves	0.0295029153237311	stratum 1	"(X+X)/2
Female"
_chr12_001651.1	flowers	0.0175491582263587	stratum 3	"(X+X)/2
Female"
_chr12_001651.1	leaves	0.0439483120981975	stratum 3	"(X+X)/2
Female"
_chr12_001666.1	flowers	0.0168295496837921	stratum 3	"(X+X)/2
Female"
_chr12_001666.1	leaves	0.0191067873695226	stratum 3	"(X+X)/2
Female"
_chr12_001581.1	flowers	0.0205913468252529	stratum 3	"(X+X)/2
Female"
_chr12_001581.1	leaves	0.0347740977454748	stratum 3	"(X+X)/2
Female"
_chr12_003618.1	flowers	0.065186792008361	stratum 3	"(X+X)/2
Female"
_chr12_003618.1	leaves	0.052596506323763	stratum 3	"(X+X)/2
Female"
_chr12_001575.1	flowers	0.0439349186226665	stratum 3	"(X+X)/2
Female"
_chr12_001575.1	leaves	0.082570365634428	stratum 3	"(X+X)/2
Female"
_chr12_003616.1	flowers	0.124488380384387	stratum 3	"(X+X)/2
Female"
_chr12_003616.1	leaves	0.119994937789869	stratum 3	"(X+X)/2
Female"
_chr12_005034.1	flowers	0.00815239083483635	stratum 1	"(X+X)/2
Female"
_chr12_005034.1	leaves	0.0198248616012609	stratum 1	"(X+X)/2
Female"
_chr12_004523.1	flowers	0.062735141647765	stratum 2	"(X+X)/2
Female"
_chr12_004523.1	leaves	0.126137895560683	stratum 2	"(X+X)/2
Female"
_chr12_000349.1	flowers	0.054463684271425	stratum 2	"(X+X)/2
Female"
_chr12_000349.1	leaves	0.05781552218922	stratum 2	"(X+X)/2
Female"
_chr12_003632.1	flowers	0.0598336809668395	stratum 3	"(X+X)/2
Female"
_chr12_003632.1	leaves	0.139126113952218	stratum 3	"(X+X)/2
Female"
_chr12_003557.1	flowers	0.0218056437934049	stratum 3	"(X+X)/2
Female"
_chr12_003557.1	leaves	0.108156610590137	stratum 3	"(X+X)/2
Female"
_chr12_001728.1	flowers	0.10267300985102	stratum 3	"(X+X)/2
Female"
_chr12_001728.1	leaves	0.21416407137483	stratum 3	"(X+X)/2
Female"
_chr12_000983.1	flowers	0.0332048263995048	stratum 2	"(X+X)/2
Female"
_chr12_000983.1	leaves	0.0366954178199479	stratum 2	"(X+X)/2
Female"
_chr12_000269.1	flowers	0.0101656089985868	stratum 2	"(X+X)/2
Female"
_chr12_000269.1	leaves	0.0129669999857163	stratum 2	"(X+X)/2
Female"
_chr12_001292.1	flowers	0.0178484647197678	stratum 2	"(X+X)/2
Female"
_chr12_001292.1	leaves	0.0179586842305364	stratum 2	"(X+X)/2
Female"
_chr12_003789.1	flowers	0.0155586980885773	stratum 2	"(X+X)/2
Female"
_chr12_003789.1	leaves	0.0479383766714806	stratum 2	"(X+X)/2
Female"
_chr12_001109.1	flowers	0.038447033040858	stratum 2	"(X+X)/2
Female"
_chr12_001109.1	leaves	0.0249642690722494	stratum 2	"(X+X)/2
Female"
_chr12_001102.1	flowers	0.0207396064484579	stratum 2	"(X+X)/2
Female"
_chr12_001102.1	leaves	0.037169338889728	stratum 2	"(X+X)/2
Female"
_chr12_001103.1	flowers	0.00611429312612725	stratum 2	"(X+X)/2
Female"
_chr12_001103.1	leaves	0.00602617334847915	stratum 2	"(X+X)/2
Female"
_chr12_000339.1	flowers	0.0210531631183008	stratum 2	"(X+X)/2
Female"
_chr12_000339.1	leaves	0.0394823489139332	stratum 2	"(X+X)/2
Female"
_chr12_003922.1	flowers	0.078207846617838	stratum 2	"(X+X)/2
Female"
_chr12_003922.1	leaves	0.1007018803777	stratum 2	"(X+X)/2
Female"
_chr12_004577.1	flowers	0.0167500810340147	stratum 2	"(X+X)/2
Female"
_chr12_004577.1	leaves	0.0193563896209032	stratum 2	"(X+X)/2
Female"
_chr12_000444.1	flowers	0.0061181911430838	stratum 2	"(X+X)/2
Female"
_chr12_000444.1	leaves	0.04044637426735	stratum 2	"(X+X)/2
Female"
_chr12_000179.1	flowers	0.0241999627208368	stratum 2	"(X+X)/2
Female"
_chr12_000179.1	leaves	0.07356141074651	stratum 2	"(X+X)/2
Female"
_chr12_004947.1	flowers	0.0119163970183985	stratum 2	"(X+X)/2
Female"
_chr12_004947.1	leaves	0.0161598476148643	stratum 2	"(X+X)/2
Female"
_chr12_000011.1	flowers	0.0259429726071564	stratum 1	"(X+X)/2
Female"
_chr12_000011.1	leaves	0.0147143827815305	stratum 1	"(X+X)/2
Female"
_chr12_003506.1	flowers	0.056669921974275	stratum 3	"(X+X)/2
Female"
_chr12_003506.1	leaves	0.08675626542754	stratum 3	"(X+X)/2
Female"
_chr12_000236.1	flowers	0.0056191205455995	stratum 2	"(X+X)/2
Female"
_chr12_000236.1	leaves	0.0257327487373296	stratum 2	"(X+X)/2
Female"
_chr12_003829.1	flowers	0.0233640889884084	stratum 2	"(X+X)/2
Female"
_chr12_003829.1	leaves	0.0339862143100003	stratum 2	"(X+X)/2
Female"
_chr12_001402.1	flowers	0.0413054526408691	stratum 2	"(X+X)/2
Female"
_chr12_001402.1	leaves	0.0675004829380325	stratum 2	"(X+X)/2
Female"
_chr12_001219.1	flowers	0.094651490085017	stratum 2	"(X+X)/2
Female"
_chr12_001219.1	leaves	0.244231101928744	stratum 2	"(X+X)/2
Female"
_chr12_000774.1	flowers	0.00657477257167215	stratum 2	"(X+X)/2
Female"
_chr12_000774.1	leaves	0.0215034792399157	stratum 2	"(X+X)/2
Female"
_chr12_000123.1	flowers	0.0428037025604578	stratum 1	"(X+X)/2
Female"
_chr12_000123.1	leaves	0.0419927862699664	stratum 1	"(X+X)/2
Female"
_chr12_004421.1	flowers	0.0359659901355896	stratum 2	"(X+X)/2
Female"
_chr12_004421.1	leaves	0.0580382679683985	stratum 2	"(X+X)/2
Female"
_chr12_000078.1	flowers	0.022216145418676	stratum 1	"(X+X)/2
Female"
_chr12_000078.1	leaves	0.0272469671726689	stratum 1	"(X+X)/2
Female"
_chr12_004902.1	flowers	0.079125512729139	stratum 2	"(X+X)/2
Female"
_chr12_004902.1	leaves	0.079196372671474	stratum 2	"(X+X)/2
Female"
_chr12_000253.1	flowers	0.033398249040262	stratum 2	"(X+X)/2
Female"
_chr12_000253.1	leaves	0.054064085953132	stratum 2	"(X+X)/2
Female"
_chr12_000255.1	flowers	0.0270732523553882	stratum 2	"(X+X)/2
Female"
_chr12_000255.1	leaves	0.0284662091183222	stratum 2	"(X+X)/2
Female"
_chr12_000259.1	flowers	0.023951194971401	stratum 2	"(X+X)/2
Female"
_chr12_000259.1	leaves	0.0307459621969936	stratum 2	"(X+X)/2
Female"
_chr12_000688.1	flowers	0.153998251624547	stratum 2	"(X+X)/2
Female"
_chr12_000688.1	leaves	0.124818950508195	stratum 2	"(X+X)/2
Female"
_chr12_004963.1	flowers	0.0206682089135986	stratum 1	"(X+X)/2
Female"
_chr12_004963.1	leaves	0.0153170670619915	stratum 1	"(X+X)/2
Female"
_chr12_004305.1	flowers	0.0352086830610921	stratum 2	"(X+X)/2
Female"
_chr12_004305.1	leaves	0.071475530407628	stratum 2	"(X+X)/2
Female"
