Y_GeneName	Y_transcriptName	X_GeneName	X_transcriptName	startX	scaffY	startY	pos_new	invert	strata	strata_low	strata_uppp	chr.x	min.x	max.x	strand.x	gene_RPM.x	SBGE.x	sRNA24_exp.x	chr.y	min.y	max.y	strand.y	gene_RPM.y	SBGE.y	sRNA24_exp.y	tissue	sex	total_gene_expression	total_sRNA24_exp	Y_over_X_gene_expression	Y_over_X_sRNA24
_scaffold_12_000185	_scaffold_12_000185.1	_chr12_004954	_chr12_004954.1	4932166	scaffold_12-1	32413179	4932166	non_inv	stratum 2	strata2	strata1	chr12	4932166	4937795	-	4786.5	female-biased	0.0622110803433816	scaffold_12-1	32413179	32420850	+	0	male-biased	0	leaves	Female	4786.5	0.0622110803433816		
_scaffold_12_000185	_scaffold_12_000185.1	_chr12_004954	_chr12_004954.1	4932166	scaffold_12-1	32413179	4932166	non_inv	stratum 2	strata2	strata1	chr12	4932166	4937795	-	1515.8425	female-biased	0.0144726881259932	scaffold_12-1	32413179	32420850	+	1224.1575	male-biased	0.0375303738006465	leaves	Male	2740	0.0520030619266397	0.807575655122481	2.59318610847706
_scaffold_12_000207	_scaffold_12_000207.1	_chr12_001531	_chr12_001531.1	281928760	scaffold_12-1	38702162	281928760	non_inv	stratum 3	strata3	strata2	chr12	281928760	281936474	+	823.25	unbiased	0.0521692458563868	scaffold_12-1	38702162	38715314	+	0	male-biased	0	flowers	Female	823.25	0.0521692458563868		
_scaffold_12_000207	_scaffold_12_000207.1	_chr12_001531	_chr12_001531.1	281928760	scaffold_12-1	38702162	281928760	non_inv	stratum 3	strata3	strata2	chr12	281928760	281936474	+	434.2725	unbiased	0.022826344277566	scaffold_12-1	38702162	38715314	+	205.2275	male-biased	0.114294593553008	flowers	Male	639.5	0.137120937830574	0.472577701788624	5.00713527156156
_scaffold_12_000207	_scaffold_12_000207.1	_chr12_001531	_chr12_001531.1	281928760	scaffold_12-1	38702162	281928760	non_inv	stratum 3	strata3	strata2	chr12	281928760	281936474	+	559.5	unbiased	0.0463487675094385	scaffold_12-1	38702162	38715314	+	0	male-biased	0	leaves	Female	559.5	0.0463487675094385		
_scaffold_12_000207	_scaffold_12_000207.1	_chr12_001531	_chr12_001531.1	281928760	scaffold_12-1	38702162	281928760	non_inv	stratum 3	strata3	strata2	chr12	281928760	281936474	+	265.871	unbiased	0.0593574735283495	scaffold_12-1	38702162	38715314	+	220.129	male-biased	0.128351306148594	leaves	Male	486	0.187708779676943	0.827954158219588	2.16234449546261
_scaffold_12_000238	_scaffold_12_000238.1	_chr12_004662	_chr12_004662.1	17889481	scaffold_12-1	41632752	17889481	non_inv	stratum 2	strata2	strata2	chr12	17889481	17894635	-	1214	unbiased	0.0369649278508243	scaffold_12-1	41632752	41637957	+	0	male-biased	0	flowers	Female	1214	0.0369649278508243		
_scaffold_12_000238	_scaffold_12_000238.1	_chr12_004662	_chr12_004662.1	17889481	scaffold_12-1	41632752	17889481	non_inv	stratum 2	strata2	strata2	chr12	17889481	17894635	-	814.5	unbiased	0.0274879348806388	scaffold_12-1	41632752	41637957	+	233.75	male-biased	0.0754323657026571	flowers	Male	1048.25	0.102920300583296	0.286985880908533	2.74419908335086
_scaffold_12_000238	_scaffold_12_000238.1	_chr12_004662	_chr12_004662.1	17889481	scaffold_12-1	41632752	17889481	non_inv	stratum 2	strata2	strata2	chr12	17889481	17894635	-	803.75	unbiased	0.0359376416765309	scaffold_12-1	41632752	41637957	+	0	male-biased	0	leaves	Female	803.75	0.0359376416765309		
_scaffold_12_000238	_scaffold_12_000238.1	_chr12_004662	_chr12_004662.1	17889481	scaffold_12-1	41632752	17889481	non_inv	stratum 2	strata2	strata2	chr12	17889481	17894635	-	340.25	unbiased	0.0227517049558901	scaffold_12-1	41632752	41637957	+	160.25	male-biased	0.105239810647675	leaves	Male	500.5	0.127991515603565	0.470977222630419	4.6255790874446
_scaffold_12_000239	_scaffold_12_000239.1	_chr12_003517	_chr12_003517.1	308296425	scaffold_12-1	42655929	308296425	non_inv	stratum 3	strata3	strata3	chr12	308296425	308300433	-	4698.75	female-biased	0.0876590056674438	scaffold_12-1	42655929	42660066	+	0	male-biased	0	flowers	Female	4698.75	0.0876590056674438		
_scaffold_12_000239	_scaffold_12_000239.1	_chr12_003517	_chr12_003517.1	308296425	scaffold_12-1	42655929	308296425	non_inv	stratum 3	strata3	strata3	chr12	308296425	308300433	-	964.92525	female-biased	0.0870908168880274	scaffold_12-1	42655929	42660066	+	770.32475	male-biased	0.19217911837945	flowers	Male	1735.25	0.279269935267477	0.798325828866018	2.20665192090843
_scaffold_12_000239	_scaffold_12_000239.1	_chr12_003517	_chr12_003517.1	308296425	scaffold_12-1	42655929	308296425	non_inv	stratum 3	strata3	strata3	chr12	308296425	308300433	-	584.25	female-biased	0.141654327645296	scaffold_12-1	42655929	42660066	+	0	male-biased	0	leaves	Female	584.25	0.141654327645296		
_scaffold_12_000239	_scaffold_12_000239.1	_chr12_003517	_chr12_003517.1	308296425	scaffold_12-1	42655929	308296425	non_inv	stratum 3	strata3	strata3	chr12	308296425	308300433	-	282.074	female-biased	0.0848405660403038	scaffold_12-1	42655929	42660066	+	245.676	male-biased	0.294518642041444	leaves	Male	527.75	0.379359208081748	0.870962938803293	3.47143655196185
_scaffold_12_000255	_scaffold_12_000255.1	_chr12_001121	_chr12_001121.1	160386141	scaffold_12-1	44006906	66380315	inverted	stratum 2	strata3	strata2	chr12	160386141	160391711	+	1886.75	female-biased	0.110256109684026	scaffold_12-1	44006906	44011016	+	0	male-biased	0	flowers	Female	1886.75	0.110256109684026		
_scaffold_12_000255	_scaffold_12_000255.1	_chr12_001121	_chr12_001121.1	160386141	scaffold_12-1	44006906	66380315	inverted	stratum 2	strata3	strata2	chr12	160386141	160391711	+	645.6555	female-biased	0.0770039883540001	scaffold_12-1	44006906	44011016	+	473.844	male-biased	0.0598779051088971	flowers	Male	1119.4995	0.136881893462897	0.733896017303345	0.777594854355185
_scaffold_12_000255	_scaffold_12_000255.1	_chr12_001121	_chr12_001121.1	160386141	scaffold_12-1	44006906	66380315	inverted	stratum 2	strata3	strata2	chr12	160386141	160391711	+	608.5	unbiased	0.128293621806011	scaffold_12-1	44006906	44011016	+	0	male-biased	0	leaves	Female	608.5	0.128293621806011		
_scaffold_12_000255	_scaffold_12_000255.1	_chr12_001121	_chr12_001121.1	160386141	scaffold_12-1	44006906	66380315	inverted	stratum 2	strata3	strata2	chr12	160386141	160391711	+	305.406	unbiased	0.0288979636465088	scaffold_12-1	44006906	44011016	+	377.844	male-biased	0	leaves	Male	683.25	0.0288979636465088	1.23718590990354	0
_scaffold_12_000282	_scaffold_12_000282.1	_chr12_003512	_chr12_003512.1	309320799	scaffold_12-1	43624606	309320799	non_inv	stratum 3	strata3	strata3	chr12	309320799	309328383	-	2224.5	unbiased	0.0198312843601098	scaffold_12-1	43624606	43633150	-	0	male-biased	0	flowers	Female	2224.5	0.0198312843601098		
_scaffold_12_000282	_scaffold_12_000282.1	_chr12_003512	_chr12_003512.1	309320799	scaffold_12-1	43624606	309320799	non_inv	stratum 3	strata3	strata3	chr12	309320799	309328383	-	802.9695	unbiased	0.0323203084867513	scaffold_12-1	43624606	43633150	-	530.531	male-biased	0.115355236850328	flowers	Male	1333.5005	0.147675545337079	0.660711272345961	3.56912548955448
_scaffold_12_000282	_scaffold_12_000282.1	_chr12_003512	_chr12_003512.1	309320799	scaffold_12-1	43624606	309320799	non_inv	stratum 3	strata3	strata3	chr12	309320799	309328383	-	1756.75	unbiased	0.048010101756518	scaffold_12-1	43624606	43633150	-	0	male-biased	0	leaves	Female	1756.75	0.048010101756518		
_scaffold_12_000282	_scaffold_12_000282.1	_chr12_003512	_chr12_003512.1	309320799	scaffold_12-1	43624606	309320799	non_inv	stratum 3	strata3	strata3	chr12	309320799	309328383	-	842.56025	unbiased	0.0421890480687099	scaffold_12-1	43624606	43633150	-	672.93975	male-biased	0.183705448446246	leaves	Male	1515.5	0.225894496514956	0.798684426425291	4.35433973639462
_scaffold_12_000309	_scaffold_12_000309.1	_chr12_005009	_chr12_005009.1	3119261	scaffold_12-1	39792101	3119261	non_inv	stratum 1	strata1	strata1	chr12	3119261	3125398	-	1662.25	female-biased	0.243286734343196	scaffold_12-1	39792101	39803626	-	0	male-biased	0	flowers	Female	1662.25	0.243286734343196		
_scaffold_12_000309	_scaffold_12_000309.1	_chr12_005009	_chr12_005009.1	3119261	scaffold_12-1	39792101	3119261	non_inv	stratum 1	strata1	strata1	chr12	3119261	3125398	-	386.42075	female-biased	0.177506512559134	scaffold_12-1	39792101	39803626	-	761.82825	male-biased	0.0475326921526063	flowers	Male	1148.249	0.22503920471174	1.97149933071658	0.267779989969503
_scaffold_12_000309	_scaffold_12_000309.1	_chr12_005009	_chr12_005009.1	3119261	scaffold_12-1	39792101	3119261	non_inv	stratum 1	strata1	strata1	chr12	3119261	3125398	-	607.5	female-biased	0.132013612228835	scaffold_12-1	39792101	39803626	-	0	male-biased	0	leaves	Female	607.5	0.132013612228835		
_scaffold_12_000309	_scaffold_12_000309.1	_chr12_005009	_chr12_005009.1	3119261	scaffold_12-1	39792101	3119261	non_inv	stratum 1	strata1	strata1	chr12	3119261	3125398	-	253.5165	female-biased	0.116608441111523	scaffold_12-1	39792101	39803626	-	270.4835	male-biased	0.0385041394510521	leaves	Male	524	0.155112580562575	1.06692661029953	0.330200276103744
_scaffold_12_000360	_scaffold_12_000360.1	_chr12_000170	_chr12_000170.1	4919692	scaffold_12-1	32810682	4919692	non_inv	stratum 2	strata2	strata1	chr12	4919692	4929726	+	399.75	female-biased	0.0764229386185054	scaffold_12-1	32810682	32812590	-	0	unbiased	0	flowers	Female	399.75	0.0764229386185054		
_scaffold_12_000360	_scaffold_12_000360.1	_chr12_000170	_chr12_000170.1	4919692	scaffold_12-1	32810682	4919692	non_inv	stratum 2	strata2	strata1	chr12	4919692	4929726	+	117.75	female-biased	0.100557366724665	scaffold_12-1	32810682	32812590	-	0.75	unbiased	0.184587045306108	flowers	Male	118.5	0.285144412030773	0.00636942675159236	1.83563921091454
_scaffold_12_000360	_scaffold_12_000360.1	_chr12_000170	_chr12_000170.1	4919692	scaffold_12-1	32810682	4919692	non_inv	stratum 2	strata2	strata1	chr12	4919692	4929726	+	210.25	unbiased	0.175596956169095	scaffold_12-1	32810682	32812590	-	0	unbiased	0	leaves	Female	210.25	0.175596956169095		
_scaffold_12_000360	_scaffold_12_000360.1	_chr12_000170	_chr12_000170.1	4919692	scaffold_12-1	32810682	4919692	non_inv	stratum 2	strata2	strata1	chr12	4919692	4929726	+	95	unbiased	0.0786475479455702	scaffold_12-1	32810682	32812590	-	0	unbiased	0.391710785977306	leaves	Male	95	0.470358333922876	0	4.98058485241521
_scaffold_12_000381	_scaffold_12_000381.1	_chr12_000034	_chr12_000034.1	1287555	scaffold_12-1	28768756	1287555	non_inv	stratum 1	strata1	strata1	chr12	1287555	1291008	+	2932.25	female-biased	0.0195782116578682	scaffold_12-1	28768756	28771969	-	0	male-biased	0	flowers	Female	2932.25	0.0195782116578682		
_scaffold_12_000381	_scaffold_12_000381.1	_chr12_000034	_chr12_000034.1	1287555	scaffold_12-1	28768756	1287555	non_inv	stratum 1	strata1	strata1	chr12	1287555	1291008	+	951.2415	female-biased	0.0271344580788379	scaffold_12-1	28768756	28771969	-	382.00975	male-biased	0.346868984806968	flowers	Male	1333.25125	0.374003442885806	0.401590710666009	12.7833393170837
_scaffold_12_000381	_scaffold_12_000381.1	_chr12_000034	_chr12_000034.1	1287555	scaffold_12-1	28768756	1287555	non_inv	stratum 1	strata1	strata1	chr12	1287555	1291008	+	478	unbiased	0.0685443878486755	scaffold_12-1	28768756	28771969	-	0	male-biased	0	leaves	Female	478	0.0685443878486755		
_scaffold_12_000381	_scaffold_12_000381.1	_chr12_000034	_chr12_000034.1	1287555	scaffold_12-1	28768756	1287555	non_inv	stratum 1	strata1	strata1	chr12	1287555	1291008	+	262.95	unbiased	0.0785475989355291	scaffold_12-1	28768756	28771969	-	147.7999	male-biased	0.416341211062683	leaves	Male	410.7499	0.494888809998212	0.562083666096216	5.30049570839728
_scaffold_12_000437	_scaffold_12_000437.1	_chr12_001086	_chr12_001086.1	152145266	scaffold_12-1	19589639	81342715	inverted	stratum 2	strata3	strata2	chr12	152145266	152149470	+	5335.8425	female-biased	0.0295928145204504	scaffold_12-1	19589639	19593691	-	0	male-biased	0	flowers	Female	5335.8425	0.0295928145204504		
