chr	x	count
chr10	2.6e+07	18
chr10	2.7e+07	29
chr10	2.8e+07	7
chr10	2.9e+07	12
chr10	3e+07	12
chr10	3.1e+07	20
chr10	3.2e+07	12
chr10	3.3e+07	10
chr10	3.4e+07	4
chr10	3.5e+07	17
chr10	3.6e+07	10
chr10	3.7e+07	14
chr10	3.8e+07	17
chr10	3.9e+07	23
chr10	4e+07	2
chr10	4.1e+07	3
chr10	4.2e+07	12
chr10	4.3e+07	10
chr10	4.4e+07	12
chr10	4.5e+07	11
chr10	4.6e+07	6
chr10	4.7e+07	8
chr10	4.8e+07	11
chr10	4.9e+07	8
chr10	5e+07	19
chr10	5.1e+07	6
chr10	5.2e+07	4
chr10	5.3e+07	1
chr10	5.4e+07	5
chr10	5.5e+07	3
chr10	5.6e+07	5
chr10	5.7e+07	1
chr10	5.8e+07	0
chr10	5.9e+07	2
chr10	6e+07	8
chr10	6.1e+07	1
chr10	6.2e+07	1
chr10	6.3e+07	3
chr10	6.4e+07	5
chr10	6.5e+07	4
chr10	6.6e+07	15
chr10	6.7e+07	4
chr10	6.8e+07	5
chr10	6.9e+07	3
chr10	7e+07	0
chr10	7.1e+07	1
chr10	7.2e+07	0
chr10	7.3e+07	5
chr10	7.4e+07	7
chr10	7.5e+07	6
chr10	7.6e+07	2
chr10	7.7e+07	4
chr10	7.8e+07	2
chr10	7.9e+07	2
chr10	8e+07	1
chr10	8.1e+07	0
chr10	8.2e+07	3
chr10	8.3e+07	1
chr10	8.4e+07	2
chr10	8.5e+07	6
chr10	8.6e+07	4
chr10	8.7e+07	4
chr10	8.8e+07	5
chr10	8.9e+07	9
chr10	9e+07	11
chr10	9.1e+07	8
chr10	9.2e+07	2
chr10	9.3e+07	7
chr10	9.4e+07	6
chr10	9.5e+07	9
chr10	9.6e+07	11
chr10	9.7e+07	5
chr10	9.8e+07	8
chr10	9.9e+07	1
chr10	1e+08	3
chr10	1.01e+08	6
chr10	1.02e+08	6
chr10	1.03e+08	8
chr10	1.04e+08	0
chr10	1.05e+08	3
chr10	1.06e+08	5
chr10	1.07e+08	4
chr10	1.08e+08	2
chr10	1.09e+08	3
chr10	1.1e+08	8
chr10	1.11e+08	5
chr10	1.12e+08	9
chr10	1.13e+08	9
chr10	1.14e+08	7
chr10	1.15e+08	11
chr10	1.16e+08	8
chr10	1.17e+08	3
chr10	1.18e+08	6
chr10	1.19e+08	3
chr10	1.2e+08	6
chr10	1.21e+08	16
chr10	1.22e+08	4
chr10	1.23e+08	21
chr10	1.24e+08	23
chr10	1.25e+08	14
chr10	1.26e+08	9
chr10	1.27e+08	14
chr10	1.28e+08	18
chr10	1.29e+08	5
chr10	1.3e+08	10
chr10	1.31e+08	10
chr10	1.32e+08	6
chr10	1.33e+08	21
chr10	1.34e+08	13
chr10	1.35e+08	29
chr10	1.36e+08	9
chr10	1.37e+08	21
chr10	1.38e+08	6
chr10	1.39e+08	21
chr10	1.4e+08	7
chr10	1.41e+08	26
chr10	1.42e+08	35
chr10	1.43e+08	29
chr10	1.44e+08	41
chr10	1.45e+08	48
chr10	1.46e+08	38
chr10	1.47e+08	30
chr10	1.48e+08	37
chr10	1.49e+08	33
chr10	1.5e+08	67
chr10	1.51e+08	48
chr10	1.52e+08	52
chr10	1.53e+08	25
chr10	1.54e+08	51
chr10	1.55e+08	72
chr10	1.56e+08	35
chr10	1.57e+08	62
chr10	1.58e+08	67
chr10	1.59e+08	88
chr10	1.6e+08	85
chr10	1.61e+08	76
chr10	1.62e+08	85
chr10	1.63e+08	89
chr10	1.64e+08	39
chr10	1.65e+08	48
chr11	0	25
chr11	1e+06	49
chr11	2e+06	44
chr11	3e+06	46
chr11	4e+06	62
chr11	5e+06	67
chr11	6e+06	61
chr11	7e+06	70
chr11	8e+06	71
chr11	9e+06	58
chr11	1e+07	72
chr11	1.1e+07	52
chr11	1.2e+07	72
chr11	1.3e+07	52
chr11	1.4e+07	57
chr11	1.5e+07	57
chr11	1.6e+07	36
chr11	1.7e+07	65
chr11	1.8e+07	33
chr11	1.9e+07	59
chr11	2e+07	53
chr11	2.1e+07	35
chr11	2.2e+07	29
chr11	2.3e+07	22
chr11	2.4e+07	27
chr11	2.5e+07	32
chr11	2.6e+07	16
chr11	2.7e+07	32
chr11	2.8e+07	18
chr11	2.9e+07	26
chr11	3e+07	14
chr11	3.1e+07	16
chr11	3.2e+07	9
chr11	3.3e+07	0
chr11	3.4e+07	1
chr11	3.5e+07	2
chr11	3.6e+07	12
chr11	3.7e+07	8
chr11	3.8e+07	11
chr11	3.9e+07	9
chr11	4e+07	11
chr11	4.1e+07	14
chr11	4.2e+07	7
chr11	4.3e+07	21
chr11	4.4e+07	11
chr11	4.5e+07	10
chr11	4.6e+07	12
chr11	4.7e+07	2
chr11	4.8e+07	7
chr11	4.9e+07	13
chr11	5e+07	7
chr11	5.1e+07	8
chr11	5.2e+07	5
chr11	5.3e+07	11
chr11	5.4e+07	14
chr11	5.5e+07	9
chr11	5.6e+07	13
chr11	5.7e+07	1
chr11	5.8e+07	3
chr11	5.9e+07	9
chr11	6e+07	10
chr11	6.1e+07	1
chr11	6.2e+07	1
chr11	6.3e+07	16
chr11	6.4e+07	2
chr11	6.5e+07	4
chr11	6.6e+07	7
chr11	6.7e+07	7
chr11	6.8e+07	2
chr11	6.9e+07	5
chr11	7e+07	4
chr11	7.1e+07	0
chr11	7.2e+07	3
chr11	7.3e+07	3
chr11	7.4e+07	3
chr11	7.5e+07	5
chr11	7.6e+07	6
chr11	7.7e+07	2
chr11	7.8e+07	1
chr11	7.9e+07	1
chr11	8e+07	4
chr11	8.1e+07	3
chr11	8.2e+07	11
chr11	8.3e+07	4
chr11	8.4e+07	4
chr11	8.5e+07	6
chr11	8.6e+07	12
chr11	8.7e+07	4
chr11	8.8e+07	4
chr11	8.9e+07	6
chr11	9e+07	2
chr11	9.1e+07	11
chr11	9.2e+07	1
chr11	9.3e+07	5
chr11	9.4e+07	13
chr11	9.5e+07	1
chr11	9.6e+07	4
chr11	9.7e+07	4
chr11	9.8e+07	2
chr11	9.9e+07	0
chr11	1e+08	3
chr11	1.01e+08	1
chr11	1.02e+08	2
chr11	1.03e+08	9
chr11	1.04e+08	1
chr11	1.05e+08	4
chr11	1.06e+08	2
chr11	1.07e+08	5
chr11	1.08e+08	3
chr11	1.09e+08	3
chr11	1.1e+08	11
chr11	1.11e+08	3
chr11	1.12e+08	3
chr11	1.13e+08	0
chr11	1.14e+08	0
chr11	1.15e+08	5
chr11	1.16e+08	2
chr11	1.17e+08	1
chr11	1.18e+08	2
chr11	1.19e+08	7
chr11	1.2e+08	2
chr11	1.21e+08	7
chr11	1.22e+08	3
chr11	1.23e+08	11
chr11	1.24e+08	1
chr11	1.25e+08	2
chr11	1.26e+08	1
chr11	1.27e+08	0
chr11	1.28e+08	2
chr11	1.29e+08	1
chr11	1.3e+08	3
chr11	1.31e+08	2
chr11	1.32e+08	1
chr11	1.33e+08	2
chr11	1.34e+08	1
chr11	1.35e+08	3
chr11	1.36e+08	3
chr11	1.37e+08	1
chr11	1.38e+08	2
chr11	1.39e+08	8
chr11	1.4e+08	4
chr11	1.41e+08	1
chr11	1.42e+08	1
chr11	1.43e+08	6
chr11	1.44e+08	5
chr11	1.45e+08	1
chr11	1.46e+08	3
chr11	1.47e+08	2
chr11	1.48e+08	8
chr11	1.49e+08	5
chr11	1.5e+08	1
chr11	1.51e+08	0
chr11	1.52e+08	3
chr11	1.53e+08	5
chr11	1.54e+08	2
chr11	1.55e+08	8
chr11	1.56e+08	5
chr11	1.57e+08	13
chr11	1.58e+08	16
chr11	1.59e+08	11
chr11	1.6e+08	6
chr11	1.61e+08	7
chr11	1.62e+08	4
chr11	1.63e+08	7
chr11	1.64e+08	9
chr11	1.65e+08	10
chr11	1.66e+08	4
chr11	1.67e+08	7
chr11	1.68e+08	7
chr11	1.69e+08	7
chr11	1.7e+08	4
chr11	1.71e+08	11
chr11	1.72e+08	6
chr11	1.73e+08	3
chr11	1.74e+08	0
chr11	1.75e+08	10
chr11	1.76e+08	2
chr11	1.77e+08	1
chr11	1.78e+08	1
chr11	1.79e+08	11
chr11	1.8e+08	19
chr11	1.81e+08	10
chr11	1.82e+08	6
chr11	1.83e+08	6
chr11	1.84e+08	10
chr11	1.85e+08	6
chr11	1.86e+08	11
chr11	1.87e+08	10
chr11	1.88e+08	2
chr11	1.89e+08	4
chr11	1.9e+08	8
chr11	1.91e+08	10
chr11	1.92e+08	2
chr11	1.93e+08	13
chr11	1.94e+08	11
chr11	1.95e+08	25
chr11	1.96e+08	11
chr11	1.97e+08	38
chr11	1.98e+08	19
chr11	1.99e+08	30
chr11	2e+08	24
chr11	2.01e+08	31
chr11	2.02e+08	15
chr11	2.03e+08	44
chr11	2.04e+08	59
chr11	2.05e+08	39
chr11	2.06e+08	41
chr11	2.07e+08	25
chr11	2.08e+08	32
chr11	2.09e+08	42
chr11	2.1e+08	5
chr2	0	4
chr2	1e+06	19
chr2	2e+06	31
chr2	3e+06	51
chr2	4e+06	76
chr2	5e+06	35
chr2	6e+06	70
chr2	7e+06	49
chr2	8e+06	48
chr2	9e+06	38
chr2	1e+07	31
chr2	1.1e+07	52
chr2	1.2e+07	32
chr2	1.3e+07	14
chr2	1.4e+07	37
chr2	1.5e+07	23
chr2	1.6e+07	9
chr2	1.7e+07	11
chr2	1.8e+07	27
chr2	1.9e+07	44
chr2	2e+07	36
chr2	2.1e+07	31
chr2	2.2e+07	28
chr2	2.3e+07	17
chr2	2.4e+07	20
chr2	2.5e+07	35
chr2	2.6e+07	36
chr2	2.7e+07	25
chr2	2.8e+07	22
chr2	2.9e+07	21
chr2	3e+07	21
chr2	3.1e+07	0
chr2	3.2e+07	13
chr2	3.3e+07	6
chr2	3.4e+07	19
chr2	3.5e+07	18
chr2	3.6e+07	6
chr2	3.7e+07	17
chr2	3.8e+07	14
chr2	3.9e+07	22
chr2	4e+07	19
chr2	4.1e+07	22
chr2	4.2e+07	19
chr2	4.3e+07	14
chr2	4.4e+07	4
chr2	4.5e+07	15
chr2	4.6e+07	9
chr2	4.7e+07	10
chr2	4.8e+07	21
chr2	4.9e+07	10
chr2	5e+07	12
chr2	5.1e+07	16
chr2	5.2e+07	13
chr2	5.3e+07	6
chr2	5.4e+07	11
chr2	5.5e+07	4
chr2	5.6e+07	5
chr2	5.7e+07	2
chr2	5.8e+07	4
chr2	5.9e+07	0
chr2	6e+07	7
chr2	6.1e+07	5
chr2	6.2e+07	2
chr2	6.3e+07	1
chr2	6.4e+07	0
chr2	6.5e+07	0
chr2	6.6e+07	0
chr2	6.7e+07	2
chr2	6.8e+07	0
chr2	6.9e+07	3
chr2	7e+07	3
chr2	7.1e+07	2
chr2	7.2e+07	1
chr2	7.3e+07	11
chr2	7.4e+07	1
chr2	7.5e+07	1
chr2	7.6e+07	4
chr2	7.7e+07	4
chr2	7.8e+07	0
chr2	7.9e+07	2
chr2	8e+07	1
chr2	8.1e+07	2
chr2	8.2e+07	0
chr2	8.3e+07	2
chr2	8.4e+07	0
chr2	8.5e+07	0
chr2	8.6e+07	8
chr2	8.7e+07	0
chr2	8.8e+07	7
chr2	8.9e+07	0
chr2	9e+07	1
chr2	9.1e+07	1
chr2	9.2e+07	2
chr2	9.3e+07	1
chr2	9.4e+07	6
chr2	9.5e+07	0
chr2	9.6e+07	4
chr2	9.7e+07	1
chr2	9.8e+07	1
chr2	9.9e+07	3
chr2	1e+08	1
chr2	1.01e+08	2
chr2	1.02e+08	0
chr2	1.03e+08	6
chr2	1.04e+08	4
chr2	1.05e+08	0
chr2	1.06e+08	3
chr2	1.07e+08	5
chr2	1.08e+08	1
chr2	1.09e+08	5
chr2	1.1e+08	2
chr2	1.11e+08	4
chr2	1.12e+08	1
chr2	1.13e+08	0
chr2	1.14e+08	4
chr2	1.15e+08	3
chr2	1.16e+08	1
chr2	1.17e+08	5
chr2	1.18e+08	3
chr2	1.19e+08	3
chr2	1.2e+08	1
chr2	1.21e+08	4
chr2	1.22e+08	3
chr2	1.23e+08	3
chr2	1.24e+08	8
chr2	1.25e+08	4
chr2	1.26e+08	8
chr2	1.27e+08	10
chr2	1.28e+08	4
chr2	1.29e+08	13
chr2	1.3e+08	11
chr2	1.31e+08	12
chr2	1.32e+08	17
chr2	1.33e+08	20
chr2	1.34e+08	13
chr2	1.35e+08	6
chr2	1.36e+08	5
chr2	1.37e+08	12
chr2	1.38e+08	8
chr2	1.39e+08	5
chr2	1.4e+08	2
chr2	1.41e+08	13
chr2	1.42e+08	6
chr2	1.43e+08	11
chr2	1.44e+08	11
chr2	1.45e+08	13
chr2	1.46e+08	18
chr2	1.47e+08	10
chr2	1.48e+08	19
chr2	1.49e+08	27
chr2	1.5e+08	4
chr2	1.51e+08	10
chr2	1.52e+08	4
chr2	1.53e+08	10
chr2	1.54e+08	12
chr2	1.55e+08	9
chr2	1.56e+08	9
chr2	1.57e+08	17
chr2	1.58e+08	6
chr2	1.59e+08	13
chr2	1.6e+08	15
chr2	1.61e+08	8
chr2	1.62e+08	14
chr2	1.63e+08	19
chr2	1.64e+08	23
chr2	1.65e+08	19
chr2	1.66e+08	17
chr2	1.67e+08	20
chr2	1.68e+08	24
chr2	1.69e+08	21
chr2	1.7e+08	12
chr2	1.71e+08	32
chr2	1.72e+08	22
chr2	1.73e+08	25
chr2	1.74e+08	26
chr2	1.75e+08	23
chr2	1.76e+08	26
chr2	1.77e+08	28
chr2	1.78e+08	42
chr2	1.79e+08	27
chr2	1.8e+08	34
chr2	1.81e+08	33
chr2	1.82e+08	34
chr2	1.83e+08	39
chr2	1.84e+08	41
chr2	1.85e+08	62
chr2	1.86e+08	70
chr2	1.87e+08	64
chr2	1.88e+08	84
chr2	1.89e+08	60
chr2	1.9e+08	55
chr2	1.91e+08	34
chr2	1.92e+08	53
chr2	1.93e+08	59
chr2	1.94e+08	70
chr2	1.95e+08	63
chr2	1.96e+08	64
chr2	1.97e+08	67
chr2	1.98e+08	82
chr2	1.99e+08	83
chr3	0	34
chr3	1e+06	62
chr3	2e+06	75
chr3	3e+06	102
chr3	4e+06	75
chr3	5e+06	94
chr3	6e+06	63
chr3	7e+06	57
chr3	8e+06	56
chr3	9e+06	68
chr3	1e+07	54
chr3	1.1e+07	40
chr3	1.2e+07	48
chr3	1.3e+07	49
chr3	1.4e+07	18
chr3	1.5e+07	25
chr3	1.6e+07	58
chr3	1.7e+07	16
chr3	1.8e+07	27
chr3	1.9e+07	23
chr3	2e+07	13
chr3	2.1e+07	16
chr3	2.2e+07	14
chr3	2.3e+07	7
chr3	2.4e+07	32
chr3	2.5e+07	14
chr3	2.6e+07	20
chr3	2.7e+07	17
chr3	2.8e+07	18
chr3	2.9e+07	15
chr3	3e+07	12
chr3	3.1e+07	10
chr3	3.2e+07	23
chr3	3.3e+07	10
chr3	3.4e+07	22
chr3	3.5e+07	6
chr3	3.6e+07	4
chr3	3.7e+07	5
chr3	3.8e+07	0
chr3	3.9e+07	5
chr3	4e+07	13
chr3	4.1e+07	7
chr3	4.2e+07	9
chr3	4.3e+07	14
chr3	4.4e+07	4
chr3	4.5e+07	10
chr3	4.6e+07	6
chr3	4.7e+07	9
chr3	4.8e+07	4
chr3	4.9e+07	6
chr3	5e+07	8
chr3	5.1e+07	16
chr3	5.2e+07	0
chr3	5.3e+07	7
chr3	5.4e+07	7
chr3	5.5e+07	5
chr3	5.6e+07	2
chr3	5.7e+07	10
chr3	5.8e+07	3
chr3	5.9e+07	3
chr3	6e+07	8
chr3	6.1e+07	4
chr3	6.2e+07	7
chr3	6.3e+07	8
chr3	6.4e+07	3
chr3	6.5e+07	12
chr3	6.6e+07	1
chr3	6.7e+07	3
chr3	6.8e+07	6
chr3	6.9e+07	5
chr3	7e+07	6
chr3	7.1e+07	5
chr3	7.2e+07	2
chr3	7.3e+07	4
chr3	7.4e+07	3
chr3	7.5e+07	3
chr3	7.6e+07	0
chr3	7.7e+07	2
chr3	7.8e+07	3
chr3	7.9e+07	5
chr3	8e+07	8
chr3	8.1e+07	8
chr3	8.2e+07	1
chr3	8.3e+07	1
chr3	8.4e+07	2
chr3	8.5e+07	6
chr3	8.6e+07	9
chr3	8.7e+07	4
chr3	8.8e+07	5
chr3	8.9e+07	1
chr3	9e+07	2
chr3	9.1e+07	3
chr3	9.2e+07	0
chr3	9.3e+07	1
chr3	9.4e+07	1
chr3	9.5e+07	5
chr3	9.6e+07	13
chr3	9.7e+07	3
chr3	9.8e+07	3
chr3	9.9e+07	2
chr3	1e+08	2
chr3	1.01e+08	1
chr3	1.02e+08	3
chr3	1.03e+08	9
chr3	1.04e+08	4
chr3	1.05e+08	4
chr3	1.06e+08	18
chr3	1.07e+08	6
chr3	1.08e+08	2
chr3	1.09e+08	3
chr3	1.1e+08	3
chr3	1.11e+08	3
chr3	1.12e+08	12
chr3	1.13e+08	12
chr3	1.14e+08	17
chr3	1.15e+08	8
chr3	1.16e+08	11
chr3	1.17e+08	16
chr3	1.18e+08	12
chr3	1.19e+08	12
chr3	1.2e+08	15
chr3	1.21e+08	10
chr3	1.22e+08	12
chr3	1.23e+08	7
chr3	1.24e+08	16
chr3	1.25e+08	12
chr3	1.26e+08	11
chr3	1.27e+08	12
chr3	1.28e+08	23
chr3	1.29e+08	28
chr3	1.3e+08	15
chr3	1.31e+08	25
chr3	1.32e+08	27
chr3	1.33e+08	18
chr3	1.34e+08	11
chr3	1.35e+08	14
chr3	1.36e+08	25
chr3	1.37e+08	29
chr3	1.38e+08	19
chr3	1.39e+08	37
chr3	1.4e+08	10
chr3	1.41e+08	28
chr3	1.42e+08	38
chr3	1.43e+08	78
chr3	1.44e+08	42
chr3	1.45e+08	34
chr3	1.46e+08	39
chr3	1.47e+08	53
chr3	1.48e+08	73
chr3	1.49e+08	76
chr3	1.5e+08	45
chr3	1.51e+08	36
chr3	1.52e+08	35
chr3	1.53e+08	58
chr4	0	19
chr4	1e+06	63
chr4	2e+06	75
chr4	3e+06	72
chr4	4e+06	62
chr4	5e+06	87
chr4	6e+06	69
chr4	7e+06	39
chr4	8e+06	48
chr4	9e+06	37
chr4	1e+07	80
chr4	1.1e+07	69
chr4	1.2e+07	47
chr4	1.3e+07	77
chr4	1.4e+07	56
chr4	1.5e+07	50
chr4	1.6e+07	29
chr4	1.7e+07	52
chr4	1.8e+07	36
chr4	1.9e+07	49
chr4	2e+07	23
chr4	2.1e+07	30
chr4	2.2e+07	34
chr4	2.3e+07	20
chr4	2.4e+07	32
chr4	2.5e+07	12
chr4	2.6e+07	22
chr4	2.7e+07	16
chr4	2.8e+07	16
chr4	2.9e+07	24
chr4	3e+07	20
chr4	3.1e+07	10
chr4	3.2e+07	17
chr4	3.3e+07	18
chr4	3.4e+07	16
chr4	3.5e+07	11
chr4	3.6e+07	8
chr4	3.7e+07	6
chr4	3.8e+07	4
chr4	3.9e+07	13
chr4	4e+07	6
chr4	4.1e+07	12
chr4	4.2e+07	3
chr4	4.3e+07	11
chr4	4.4e+07	0
chr4	4.5e+07	3
chr4	4.6e+07	1
chr4	4.7e+07	4
chr4	4.8e+07	6
chr4	4.9e+07	0
chr4	5e+07	0
chr4	5.1e+07	7
chr4	5.2e+07	3
chr4	5.3e+07	4
chr4	5.4e+07	4
chr4	5.5e+07	2
chr4	5.6e+07	3
chr4	5.7e+07	7
chr4	5.8e+07	5
chr4	5.9e+07	4
chr4	6e+07	10
chr4	6.1e+07	5
chr4	6.2e+07	4
chr4	6.3e+07	8
chr4	6.4e+07	3
chr4	6.5e+07	5
chr4	6.6e+07	4
chr4	6.7e+07	13
chr4	6.8e+07	5
chr4	6.9e+07	6
chr4	7e+07	7
chr4	7.1e+07	5
chr4	7.2e+07	3
chr4	7.3e+07	6
chr4	7.4e+07	12
chr4	7.5e+07	3
chr4	7.6e+07	2
chr4	7.7e+07	7
chr4	7.8e+07	2
chr4	7.9e+07	4
chr4	8e+07	1
chr4	8.1e+07	7
chr4	8.2e+07	1
chr4	8.3e+07	1
chr4	8.4e+07	3
chr4	8.5e+07	1
chr4	8.6e+07	0
chr4	8.7e+07	1
chr4	8.8e+07	2
chr4	8.9e+07	2
chr4	9e+07	2
chr4	9.1e+07	4
chr4	9.2e+07	1
chr4	9.3e+07	8
chr4	9.4e+07	3
chr4	9.5e+07	4
chr4	9.6e+07	2
chr4	9.7e+07	11
chr4	9.8e+07	2
chr4	9.9e+07	6
chr4	1e+08	19
chr4	1.01e+08	21
chr4	1.02e+08	19
chr4	1.03e+08	16
chr4	1.04e+08	9
chr4	1.05e+08	23
chr4	1.06e+08	28
chr4	1.07e+08	37
chr4	1.08e+08	22
chr4	1.09e+08	22
chr4	1.1e+08	23
chr4	1.11e+08	20
chr4	1.12e+08	20
chr4	1.13e+08	2
chr5	0	5
chr5	1e+06	81
chr5	2e+06	85
chr5	3e+06	71
chr5	4e+06	61
chr5	5e+06	58
chr5	6e+06	64
chr5	7e+06	98
chr5	8e+06	64
chr5	9e+06	43
chr5	1e+07	37
chr5	1.1e+07	38
chr5	1.2e+07	60
chr5	1.3e+07	54
chr5	1.4e+07	33
chr5	1.5e+07	42
chr5	1.6e+07	50
chr5	1.7e+07	43
chr5	1.8e+07	51
chr5	1.9e+07	85
chr5	2e+07	72
chr5	2.1e+07	56
chr5	2.2e+07	32
chr5	2.3e+07	23
chr5	2.4e+07	29
chr5	2.5e+07	25
chr5	2.6e+07	20
chr5	2.7e+07	39
chr5	2.8e+07	24
chr5	2.9e+07	46
chr5	3e+07	17
chr5	3.1e+07	20
chr5	3.2e+07	22
chr5	3.3e+07	25
chr5	3.4e+07	25
chr5	3.5e+07	16
chr5	3.6e+07	19
chr5	3.7e+07	6
chr5	3.8e+07	26
chr5	3.9e+07	14
chr5	4e+07	14
chr5	4.1e+07	25
chr5	4.2e+07	13
chr5	4.3e+07	23
chr5	4.4e+07	5
chr5	4.5e+07	0
chr5	4.6e+07	6
chr5	4.7e+07	2
chr5	4.8e+07	5
chr5	4.9e+07	6
chr5	5e+07	13
