"chr","window","fst","mid","start","snp","scaff","seq.len","chr.type"
"26",1,26,0.46951790603169,127854734,125354734,404,40,4891,"Autosomes"
"27",1,27,0.424408048966787,132854734,130354734,323,39,4987,"Autosomes"
"28",1,28,0.518344318586199,137854734,135354734,262,32,3873,"Autosomes"
"29",1,29,0.446820892046503,142854734,140354734,347,49,6036,"Autosomes"
"30",1,30,0.375999651710035,147854734,145354734,188,24,2901,"Autosomes"
"31",1,31,0.500012589845915,152854734,150354734,336,41,5012,"Autosomes"
"32",1,32,0.419174298003749,157854734,155354734,334,41,5009,"Autosomes"
"33",1,33,0.595790499345579,162854734,160354734,370,46,5629,"Autosomes"
"34",1,34,0.408154151457049,167854734,165354734,147,19,2311,"Autosomes"
"35",1,35,0.259097365708771,172854734,170354734,229,30,3704,"Autosomes"
"36",1,36,0.397648040064037,177854734,175354734,203,27,3399,"Autosomes"
"37",1,37,0.300437197582566,182854734,180354734,127,13,1568,"Autosomes"
"38",1,38,0.264304778999012,187854734,185354734,141,16,2102,"Autosomes"
"39",1,39,0.272825425827175,192854734,190354734,295,33,4298,"Autosomes"
"40",1,40,0.340612791556538,197854734,195354734,179,26,3251,"Autosomes"
"41",2,1,0.205061024432645,4817826,2317826,211,25,3068,"Autosomes"
"42",2,2,0.193675592073751,9817826,7317826,267,39,4827,"Autosomes"
"43",2,3,0.208613473734275,14817826,12317826,266,36,4579,"Autosomes"
"44",2,4,0.230006923294873,19817826,17317826,151,19,2421,"Autosomes"
"45",2,5,0.258647867505149,24817826,22317826,194,20,2446,"Autosomes"
"46",2,6,0.260087960799061,29817826,27317826,164,18,2188,"Autosomes"
"47",2,7,0.324824425494688,34817826,32317826,147,22,2692,"Autosomes"
"48",2,8,0.319276454250376,39817826,37317826,160,21,2707,"Autosomes"
"49",2,9,0.393582870192809,44817826,42317826,222,26,3183,"Autosomes"
"50",2,10,0.43681120429839,49817826,47317826,324,48,6124,"Autosomes"
"51",2,11,0.445955740277823,54817826,52317826,128,19,2315,"Autosomes"
"52",2,12,0.554119377269971,59817826,57317826,118,17,2084,"Autosomes"
"53",2,13,0.295558921698948,64817826,62317826,119,20,2445,"Autosomes"
"54",2,14,0.348964320501144,69817826,67317826,187,23,2842,"Autosomes"
"55",2,15,0.519310673603932,74817826,72317826,176,29,3601,"Autosomes"
"56",2,16,0.507153452815257,79817826,77317826,106,11,1369,"Autosomes"
"57",2,17,0.447762977567645,84817826,82317826,99,15,1856,"Autosomes"
"58",2,18,0.36828300104369,89817826,87317826,98,15,1827,"Autosomes"
"59",2,19,0.417617235564701,94817826,92317826,297,34,4144,"Autosomes"
"60",2,20,0.412526510039499,99817826,97317826,74,13,1585,"Autosomes"
"61",2,21,0.276170010983731,104817826,102317826,135,15,1828,"Autosomes"
"62",2,22,0.417518353124087,109817826,107317826,201,21,2627,"Autosomes"
"63",2,23,0.431987532244236,114817826,112317826,194,21,2584,"Autosomes"
"64",2,24,0.525782894793651,119817826,117317826,150,29,3533,"Autosomes"
"65",2,25,0.515073710175921,124817826,122317826,236,35,4367,"Autosomes"
"66",2,26,0.487328908486693,129817826,127317826,178,29,3716,"Autosomes"
"67",2,27,0.353394637259672,134817826,132317826,127,26,3166,"Autosomes"
"68",2,28,0.317513354027803,139817826,137317826,123,19,2309,"Autosomes"
"69",2,29,0.222064942726459,144817826,142317826,75,10,1212,"Autosomes"
"70",2,30,0.290554985061285,149817826,147317826,186,25,3045,"Autosomes"
"71",2,31,0.51683941834007,154817826,152317826,231,30,3765,"Autosomes"
"72",2,32,0.367790115188918,159817826,157317826,207,24,3035,"Autosomes"
"73",2,33,0.287426454346402,164817826,162317826,233,36,4373,"Autosomes"
"74",2,34,0.393363825588774,169817826,167317826,313,44,5537,"Autosomes"
"75",2,35,0.340008664588993,174817826,172317826,230,23,2818,"Autosomes"
"76",2,36,0.318505253998062,179817826,177317826,284,33,4138,"Autosomes"
"77",2,37,0.299311420506697,184817826,182317826,264,30,3937,"Autosomes"
"78",2,38,0.31227412781146,189817826,187317826,308,31,3773,"Autosomes"
"79",2,39,0.168193585286108,194817826,192317826,454,47,5855,"Autosomes"
"80",3,1,0.236033847618333,4179660,1679660,144,19,2314,"Autosomes"
"81",3,2,0.235851140241385,9179660,6679660,280,30,3851,"Autosomes"
"82",3,3,0.249983362115216,14179660,11679660,218,24,2935,"Autosomes"
"83",3,4,0.269763772868364,19179660,16679660,277,34,4161,"Autosomes"
"84",3,5,0.437118540632184,24179660,21679660,209,23,2894,"Autosomes"
"85",3,6,0.330797071964637,29179660,26679660,218,24,2971,"Autosomes"
"86",3,7,0.409937938870287,34179660,31679660,213,24,2910,"Autosomes"
"87",3,8,0.362306527308475,39179660,36679660,173,25,3058,"Autosomes"
"88",3,9,0.38771630821732,44179660,41679660,168,22,2729,"Autosomes"
"89",3,10,0.521177832576452,49179660,46679660,251,42,5237,"Autosomes"
"90",3,11,0.509985913019927,54179660,51679660,302,33,4066,"Autosomes"
"91",3,12,0.59162479108296,59179660,56679660,154,29,3761,"Autosomes"
"92",3,13,0.629621301129016,64179660,61679660,183,28,3578,"Autosomes"
"93",3,14,0.491774317994518,69179660,66679660,174,16,1957,"Autosomes"
"94",3,15,0.448442950389626,74179660,71679660,184,27,3293,"Autosomes"
"95",3,16,0.371745701466442,79179660,76679660,253,34,4213,"Autosomes"
"96",3,17,0.396313409168298,84179660,81679660,272,38,4640,"Autosomes"
"97",3,18,0.498303198096039,89179660,86679660,376,46,5602,"Autosomes"
"98",3,19,0.561739235541763,94179660,91679660,193,26,3170,"Autosomes"
"99",3,20,0.429002674843372,99179660,96679660,294,34,4156,"Autosomes"
"100",3,21,0.511381560326537,104179660,101679660,346,44,5376,"Autosomes"
"101",3,22,0.597436853356012,109179660,106679660,236,26,3178,"Autosomes"
"102",3,23,0.358930948934335,114179660,111679660,397,50,6101,"Autosomes"
"103",3,24,0.342624948921986,119179660,116679660,206,25,3134,"Autosomes"
"104",3,25,0.39045412402403,124179660,121679660,111,16,1963,"Autosomes"
"105",3,26,0.274668209307038,129179660,126679660,352,37,4621,"Autosomes"
"106",3,27,0.249180313735737,134179660,131679660,373,42,5216,"Autosomes"
"107",3,28,0.266537938472257,139179660,136679660,225,25,3145,"Autosomes"
"108",3,29,0.253711900786036,144179660,141679660,293,30,3801,"Autosomes"
"109",3,30,0.245861590986614,149179660,146679660,137,17,2259,"Autosomes"
"110",4,1,0.215647691524952,3882085,1382085,227,29,3559,"Autosomes"
"111",4,2,0.204874712617142,8882085,6382085,307,36,4391,"Autosomes"
"112",4,3,0.306664622612039,13882085,11382085,232,36,4352,"Autosomes"
"113",4,4,0.351497325732745,18882085,16382085,237,27,3523,"Autosomes"
"114",4,5,0.397714610675703,23882085,21382085,410,46,5590,"Autosomes"
"115",4,6,0.361109961623793,28882085,26382085,336,37,4815,"Autosomes"
"116",4,7,0.403638981607639,33882085,31382085,294,39,5119,"Autosomes"
"117",4,8,0.457470163233961,38882085,36382085,264,34,4111,"Autosomes"
"118",4,9,0.466250483955926,43882085,41382085,298,41,5098,"Autosomes"
"119",4,10,0.386866725896084,48882085,46382085,357,43,5467,"Autosomes"
"120",4,11,0.293736397442989,53882085,51382085,151,17,2069,"Autosomes"
"121",4,12,0.402252519265348,58882085,56382085,52,7,857,"Autosomes"
"122",4,13,0.384272825291513,63882085,61382085,311,28,3414,"Autosomes"
"123",4,14,0.357650280903938,68882085,66382085,257,26,3414,"Autosomes"
"124",4,15,0.418366065022386,73882085,71382085,293,44,5557,"Autosomes"
"125",4,16,0.367492985716317,78882085,76382085,398,46,5706,"Autosomes"
"126",4,17,0.429303438537344,83882085,81382085,189,18,2194,"Autosomes"
"127",4,18,0.49279037865989,88882085,86382085,395,35,4239,"Autosomes"
"128",4,19,0.399903573889056,93882085,91382085,314,34,4155,"Autosomes"
"129",4,20,0.428157980355128,98882085,96382085,233,28,3496,"Autosomes"
"130",4,21,0.29400239223354,103882085,101382085,313,35,4331,"Autosomes"
"131",4,22,0.287051146053386,108882085,106382085,467,50,6171,"Autosomes"
"132",5,1,0.175806879542743,3073504,573504,224,21,2527,"Autosomes"
"133",5,2,0.203548124854016,8073504,5573504,286,30,3748,"Autosomes"
"134",5,3,0.22191069471426,13073504,10573504,310,32,4117,"Autosomes"
"135",5,4,0.215011323117868,18073504,15573504,250,24,3028,"Autosomes"
"136",5,5,0.282729761751473,23073504,20573504,272,28,3602,"Autosomes"
"137",5,6,0.233554113210498,28073504,25573504,139,17,2147,"Autosomes"
"138",5,7,0.250926430191571,33073504,30573504,172,20,2458,"Autosomes"
"139",5,8,0.287623949562279,38073504,35573504,170,22,2784,"Autosomes"
"140",5,9,0.36791281552069,43073504,40573504,104,20,2537,"Autosomes"
"141",5,10,0.526987560504969,48073504,45573504,283,39,4879,"Autosomes"
"142",5,11,0.441904197941961,53073504,50573504,128,19,2346,"Autosomes"
"143",5,12,0.3971426724757,58073504,55573504,242,33,4216,"Autosomes"
"144",5,13,0.465251484804515,63073504,60573504,224,24,2993,"Autosomes"
"145",5,14,0.335755887689708,68073504,65573504,241,34,4196,"Autosomes"
"146",5,15,0.379524469838213,73073504,70573504,298,35,4297,"Autosomes"
"147",5,16,0.267197321889858,78073504,75573504,225,31,3905,"Autosomes"
"148",5,17,0.267728198538249,83073504,80573504,119,16,1947,"Autosomes"
"149",5,18,0.24370979787926,88073504,85573504,291,42,5188,"Autosomes"
"150",6,1,0.267427045901295,3139515.5,639515.5,287,34,4118,"Autosomes"
"151",6,2,0.268970994362675,8139515.5,5639515.5,333,43,5373,"Autosomes"
"152",6,3,0.260516362123543,13139515.5,10639515.5,250,26,3189,"Autosomes"
"153",6,4,0.144393350233639,18139515.5,15639515.5,74,11,1441,"Autosomes"
"154",6,5,0.168317290126994,23139515.5,20639515.5,83,15,1833,"Autosomes"
"155",6,6,0.363606730531806,28139515.5,25639515.5,122,13,1696,"Autosomes"
"156",6,7,0.311881953987268,33139515.5,30639515.5,151,21,2664,"Autosomes"
"157",6,8,0.403097221135015,38139515.5,35639515.5,186,25,3181,"Autosomes"
"158",6,9,0.490057120554273,43139515.5,40639515.5,234,32,4058,"Autosomes"
"159",6,10,0.352358515000562,48139515.5,45639515.5,171,26,3226,"Autosomes"
"160",6,11,0.462433153275963,53139515.5,50639515.5,210,31,3899,"Autosomes"
"161",6,12,0.287224162233299,58139515.5,55639515.5,146,19,2317,"Autosomes"
"162",6,13,0.358654526519883,63139515.5,60639515.5,189,32,3960,"Autosomes"
"163",6,14,0.299765181783411,68139515.5,65639515.5,72,10,1336,"Autosomes"
"164",6,15,0.374835149333581,73139515.5,70639515.5,183,21,2578,"Autosomes"
"165",6,16,0.490498052652487,78139515.5,75639515.5,164,31,3949,"Autosomes"
"166",6,17,0.321254136817839,83139515.5,80639515.5,153,26,3183,"Autosomes"
"167",6,18,0.364881630576312,88139515.5,85639515.5,122,16,2077,"Autosomes"
"168",6,19,0.272097220223796,93139515.5,90639515.5,240,33,4156,"Autosomes"
"169",6,20,0.263135924337559,98139515.5,95639515.5,104,15,1850,"Autosomes"
"170",6,21,0.366455538173028,103139515.5,100639515.5,125,18,2181,"Autosomes"
"171",6,22,0.330832725216905,108139515.5,105639515.5,119,19,2356,"Autosomes"
"172",6,23,0.319512544512793,113139515.5,110639515.5,119,15,1825,"Autosomes"
"173",6,24,0.330583133023877,118139515.5,115639515.5,170,19,2383,"Autosomes"
"174",6,25,0.390375974103211,123139515.5,120639515.5,224,26,3144,"Autosomes"
"175",6,26,0.349477694684511,128139515.5,125639515.5,184,28,3439,"Autosomes"
"176",6,27,0.257665648851548,133139515.5,130639515.5,198,23,2953,"Autosomes"
"177",6,28,0.186108487314959,138139515.5,135639515.5,265,32,3872,"Autosomes"
"178",7,1,0.197788958645653,4259035.5,1759035.5,262,34,4127,"Autosomes"
"179",7,2,0.241208448667726,9259035.5,6759035.5,152,21,2575,"Autosomes"
"180",7,3,0.22646878536508,14259035.5,11759035.5,157,16,1951,"Autosomes"
"181",7,4,0.219600550434001,19259035.5,16759035.5,74,8,973,"Autosomes"
"182",7,5,0.281144278875234,24259035.5,21759035.5,98,15,1848,"Autosomes"
"183",7,6,0.44096786084496,29259035.5,26759035.5,180,26,3184,"Autosomes"
"184",7,7,0.356484714369673,34259035.5,31759035.5,187,23,2846,"Autosomes"
"185",7,8,0.356323583637339,39259035.5,36759035.5,382,43,5325,"Autosomes"
"186",7,9,0.202768259299486,44259035.5,41759035.5,67,11,1348,"Autosomes"
"187",7,10,0.333434146639911,49259035.5,46759035.5,153,23,2763,"Autosomes"
"188",7,11,0.491959809324354,54259035.5,51759035.5,41,10,1238,"Autosomes"
"189",7,12,0.434505389194163,59259035.5,56759035.5,231,26,3276,"Autosomes"
"190",7,13,0.308848831892884,64259035.5,61759035.5,347,40,4907,"Autosomes"
"191",7,14,0.320127651724777,69259035.5,66759035.5,81,8,987,"Autosomes"
"192",7,15,0.179142395907833,74259035.5,71759035.5,50,6,733,"Autosomes"
"193",7,16,0.30779989753994,79259035.5,76759035.5,115,14,1664,"Autosomes"
"194",7,17,0.446259125869837,84259035.5,81759035.5,352,31,3817,"Autosomes"
"195",7,18,0.427363674379227,89259035.5,86759035.5,316,32,4126,"Autosomes"
"196",7,19,0.458609826888762,94259035.5,91759035.5,352,38,4624,"Autosomes"
"197",7,20,0.46276098608319,99259035.5,96759035.5,233,38,4613,"Autosomes"
"198",7,21,0.294987596003103,104259035.5,101759035.5,313,35,4317,"Autosomes"
"199",7,22,0.313364635134351,109259035.5,106759035.5,261,38,4634,"Autosomes"
"200",7,23,0.404032013397225,114259035.5,111759035.5,320,32,4000,"Autosomes"
"201",7,24,0.158291239620461,119259035.5,116759035.5,259,29,3521,"Autosomes"
"202",7,25,0.266864721658546,124259035.5,121759035.5,302,34,4204,"Autosomes"
"203",8,1,0.235596782536829,4428668.5,1928668.5,316,31,3874,"Autosomes"
"204",8,2,0.118526435731497,9428668.5,6928668.5,222,26,3271,"Autosomes"
"205",8,3,0.252326433644853,14428668.5,11928668.5,204,21,2609,"Autosomes"
"206",8,4,0.260390149610906,19428668.5,16928668.5,250,32,3894,"Autosomes"
"207",8,5,0.267369074770189,24428668.5,21928668.5,273,25,3066,"Autosomes"
"208",8,6,0.307567449016865,29428668.5,26928668.5,307,30,3774,"Autosomes"
"209",8,7,0.193937545097277,34428668.5,31928668.5,165,26,3153,"Autosomes"
"210",8,8,0.206932751104153,39428668.5,36928668.5,226,36,4392,"Autosomes"
"211",8,9,0.247042197570277,44428668.5,41928668.5,61,6,735,"Autosomes"
"212",8,10,0.271744907671807,49428668.5,46928668.5,25,5,612,"Autosomes"
"213",8,11,0.534487718973135,54428668.5,51928668.5,127,18,2330,"Autosomes"
"214",8,12,0.437052258389173,59428668.5,56928668.5,296,40,5202,"Autosomes"
"215",8,13,0.511737658090457,64428668.5,61928668.5,232,34,4235,"Autosomes"
"216",8,14,0.372693021462256,69428668.5,66928668.5,320,34,4243,"Autosomes"
"217",8,15,0.406810158521586,74428668.5,71928668.5,168,21,2567,"Autosomes"
"218",8,16,0.504006339153679,79428668.5,76928668.5,205,23,2909,"Autosomes"
"219",8,17,0.491134477897077,84428668.5,81928668.5,203,25,3261,"Autosomes"
"220",8,18,0.230131926833259,89428668.5,86928668.5,205,30,3660,"Autosomes"
"221",8,19,0.249454105367393,94428668.5,91928668.5,110,16,1937,"Autosomes"
"222",8,20,0.247588687862676,99428668.5,96928668.5,375,48,6043,"Autosomes"
"223",8,21,0.307590975199099,104428668.5,101928668.5,176,24,3109,"Autosomes"
"224",8,22,0.207497587052744,109428668.5,106928668.5,368,41,5012,"Autosomes"
"225",9,1,0.187820925748383,3161806,661806,289,31,3816,"Autosomes"
"226",9,2,0.183859807910103,8161806,5661806,293,31,3800,"Autosomes"
"227",9,3,0.224742018206366,13161806,10661806,193,27,3382,"Autosomes"
"228",9,4,0.222304652077116,18161806,15661806,422,52,6430,"Autosomes"
"229",9,5,0.298122837022966,23161806,20661806,112,16,1943,"Autosomes"
"230",9,6,0.273961111218694,28161806,25661806,227,32,3886,"Autosomes"
"231",9,7,0.305371559620851,33161806,30661806,299,38,4643,"Autosomes"
"232",9,8,0.370212614520147,38161806,35661806,252,24,2973,"Autosomes"
"233",9,9,0.333563851554192,43161806,40661806,350,35,4353,"Autosomes"
"234",9,10,0.360316017969689,48161806,45661806,286,44,5572,"Autosomes"
"235",9,11,0.334231401356302,53161806,50661806,153,22,2666,"Autosomes"
"236",9,12,0.478388581379686,58161806,55661806,252,38,4773,"Autosomes"
"237",9,13,0.445700307370132,63161806,60661806,438,46,5669,"Autosomes"
"238",9,14,0.437574069593295,68161806,65661806,333,44,5334,"Autosomes"
"239",9,15,0.442671250523868,73161806,70661806,173,24,3034,"Autosomes"
"240",9,16,0.365522620303247,78161806,75661806,188,26,3321,"Autosomes"
"241",9,17,0.444850140186454,83161806,80661806,185,27,3299,"Autosomes"
"242",9,18,0.390940126542478,88161806,85661806,173,18,2204,"Autosomes"
"243",9,19,0.359850363387991,93161806,90661806,82,16,2270,"Autosomes"
"244",9,20,0.521143397584677,98161806,95661806,160,21,2544,"Autosomes"
"245",9,21,0.446131850775658,103161806,100661806,89,16,1955,"Autosomes"
"246",9,22,0.458457520346723,108161806,105661806,300,36,4450,"Autosomes"
"247",9,23,0.525433387544301,113161806,110661806,153,23,2914,"Autosomes"
"248",9,24,0.60018920692569,118161806,115661806,176,21,2576,"Autosomes"
"249",9,25,0.398173279543026,123161806,120661806,121,13,1600,"Autosomes"
"250",9,26,0.430882299740743,128161806,125661806,212,29,3494,"Autosomes"
"251",9,27,0.339311190807096,133161806,130661806,267,26,3246,"Autosomes"
"252",9,28,0.480093682600885,138161806,135661806,187,28,3522,"Autosomes"
"253",9,29,0.5383192972988,143161806,140661806,229,36,4526,"Autosomes"
"254",9,30,0.37772630316083,148161806,145661806,244,30,3789,"Autosomes"
"255",9,31,0.462440661373977,153161806,150661806,93,17,2080,"Autosomes"
"256",9,32,0.491821488220645,158161806,155661806,141,18,2187,"Autosomes"
"257",9,33,0.442276375388377,163161806,160661806,78,12,1441,"Autosomes"
"258",9,34,0.416095588430768,168161806,165661806,187,29,3644,"Autosomes"
"259",9,35,0.427204865062747,173161806,170661806,233,42,5230,"Autosomes"
"260",9,36,0.369462072862112,178161806,175661806,348,40,4935,"Autosomes"
"261",9,37,0.387847446831268,183161806,180661806,269,25,3025,"Autosomes"
"262",9,38,0.452013316261133,188161806,185661806,345,45,5502,"Autosomes"
"263",9,39,0.366626569747805,193161806,190661806,187,23,2796,"Autosomes"
"264",9,40,0.224417990747017,198161806,195661806,94,17,2087,"Autosomes"
"265",9,41,0.296281044450036,203161806,200661806,203,28,3424,"Autosomes"
"266",9,42,0.421131353817467,208161806,205661806,329,42,5383,"Autosomes"
"267",9,43,0.589064946282929,213161806,210661806,48,6,729,"Autosomes"
"268",9,44,0.561734176114214,218161806,215661806,33,6,736,"Autosomes"
"269",9,45,0.290711833382135,223161806,220661806,205,32,3967,"Autosomes"
"270",10,1,0.158667681056021,2744397.5,244397.5,214,25,3023,"Autosomes"
"271",10,2,0.176816380754549,7744397.5,5244397.5,240,26,3396,"Autosomes"
"272",10,3,0.228183806860068,12744397.5,10244397.5,243,29,3615,"Autosomes"
"273",10,4,0.269035777396383,17744397.5,15244397.5,253,29,3638,"Autosomes"
"274",10,5,0.25788426060778,22744397.5,20244397.5,184,21,2571,"Autosomes"
"275",10,6,0.308133143926094,27744397.5,25244397.5,189,20,2453,"Autosomes"
"276",10,7,0.368189374512388,32744397.5,30244397.5,248,33,4149,"Autosomes"
"277",10,8,0.404629167218625,37744397.5,35244397.5,336,45,5567,"Autosomes"
"278",10,9,0.463884028690275,42744397.5,40244397.5,145,21,2765,"Autosomes"
"279",10,10,0.507306388791376,47744397.5,45244397.5,193,29,3628,"Autosomes"
"280",10,11,0.386368622120366,52744397.5,50244397.5,228,21,2546,"Autosomes"
"281",10,12,0.63772401781313,57744397.5,55244397.5,174,22,2693,"Autosomes"
"282",10,13,0.516469496904666,62744397.5,60244397.5,226,34,4195,"Autosomes"
"283",10,14,0.362633178312932,67744397.5,65244397.5,82,13,1580,"Autosomes"
"284",10,15,0.575295294389178,72744397.5,70244397.5,330,37,4473,"Autosomes"
"285",10,16,0.56258004389525,77744397.5,75244397.5,150,23,2813,"Autosomes"
"286",10,17,0.610842807897419,82744397.5,80244397.5,201,33,4032,"Autosomes"
"287",10,18,0.559425911046567,87744397.5,85244397.5,138,20,2478,"Autosomes"
"288",10,19,0.376933262578845,92744397.5,90244397.5,233,29,3853,"Autosomes"
"289",10,20,0.511448189975228,97744397.5,95244397.5,236,26,3195,"Autosomes"
"290",10,21,0.51568644540182,102744397.5,100244397.5,208,22,2682,"Autosomes"
"291",10,22,0.54925367696112,107744397.5,105244397.5,390,51,6392,"Autosomes"
"292",10,23,0.428161600539151,112744397.5,110244397.5,275,41,4946,"Autosomes"
"293",10,24,0.428281502986932,117744397.5,115244397.5,280,36,4493,"Autosomes"
"294",10,25,0.423537267404148,122744397.5,120244397.5,288,40,5046,"Autosomes"
"295",10,26,0.24095560924787,127744397.5,125244397.5,116,13,1665,"Autosomes"
"296",10,27,0.221424791339284,132744397.5,130244397.5,241,28,3469,"Autosomes"
"297",10,28,0.330719377817534,137744397.5,135244397.5,89,9,1109,"Autosomes"
"298",10,29,0.245113008905022,142744397.5,140244397.5,374,48,6227,"Autosomes"
"299",10,30,0.232856082639929,147744397.5,145244397.5,293,37,4604,"Autosomes"
"300",10,31,0.192324970298503,152744397.5,150244397.5,280,27,3380,"Autosomes"
"301",10,32,0.274374889863193,157744397.5,155244397.5,256,30,3705,"Autosomes"
"302",10,33,0.1399745657225,162744397.5,160244397.5,324,37,4761,"Autosomes"
"303",11,1,0.166625269409525,4808237.5,2308237.5,156,18,2177,"Autosomes"
"304",11,2,0.162014991486852,9808237.5,7308237.5,218,24,3046,"Autosomes"
"305",11,3,0.233185898139427,14808237.5,12308237.5,166,26,3358,"Autosomes"
"306",11,4,0.25139253501129,19808237.5,17308237.5,161,13,1598,"Autosomes"
"307",11,5,0.400766190937973,24808237.5,22308237.5,214,22,2717,"Autosomes"
"308",11,6,0.293028051702276,29808237.5,27308237.5,239,29,3619,"Autosomes"
"309",11,7,0.258103129371226,34808237.5,32308237.5,103,14,1712,"Autosomes"
"310",11,8,0.351604098153301,39808237.5,37308237.5,340,41,5069,"Autosomes"
"311",11,9,0.431235794009402,44808237.5,42308237.5,192,19,2327,"Autosomes"
"312",11,10,0.326439043343468,49808237.5,47308237.5,196,26,3113,"Autosomes"
"313",11,11,0.457798984017128,54808237.5,52308237.5,270,35,4291,"Autosomes"
"314",11,12,0.424236494051648,59808237.5,57308237.5,262,32,3906,"Autosomes"
"315",11,13,0.455833304487978,64808237.5,62308237.5,371,46,5933,"Autosomes"
"316",11,14,0.36739812367406,69808237.5,67308237.5,248,28,3394,"Autosomes"
"317",11,15,0.507866078986496,74808237.5,72308237.5,344,39,4742,"Autosomes"
"318",11,16,0.46948795467708,79808237.5,77308237.5,266,41,5044,"Autosomes"
"319",11,17,0.56464914286444,84808237.5,82308237.5,256,29,3546,"Autosomes"
"320",11,18,0.57144842099884,89808237.5,87308237.5,381,54,6666,"Autosomes"
"321",11,19,0.508465257295943,94808237.5,92308237.5,428,50,6212,"Autosomes"
"322",11,20,0.617135538047922,99808237.5,97308237.5,251,37,4529,"Autosomes"
"323",11,21,0.627846871930506,104808237.5,102308237.5,376,50,6218,"Autosomes"
"324",11,22,0.516408527283954,109808237.5,107308237.5,351,49,6004,"Autosomes"
"325",11,23,0.55154797270408,114808237.5,112308237.5,95,16,1948,"Autosomes"
"326",11,24,0.65073463336427,119808237.5,117308237.5,217,36,4479,"Autosomes"
"327",11,25,0.523912473366426,124808237.5,122308237.5,222,27,3314,"Autosomes"
"328",11,26,0.431239661229543,129808237.5,127308237.5,217,27,3574,"Autosomes"
"329",11,27,0.541463576379438,134808237.5,132308237.5,244,32,3915,"Autosomes"
"330",11,28,0.448367159116009,139808237.5,137308237.5,286,30,3752,"Autosomes"
"331",11,29,0.586072105462581,144808237.5,142308237.5,320,43,5361,"Autosomes"
"332",11,30,0.621219384402825,149808237.5,147308237.5,99,20,2455,"Autosomes"
"333",11,31,0.478128735365992,154808237.5,152308237.5,291,37,4492,"Autosomes"
"334",11,32,0.39977270256261,159808237.5,157308237.5,236,30,3660,"Autosomes"
"335",11,33,0.461150218642083,164808237.5,162308237.5,265,26,3316,"Autosomes"
"336",11,34,0.319586559557004,169808237.5,167308237.5,136,15,1839,"Autosomes"
"337",11,35,0.345874074956289,174808237.5,172308237.5,102,18,2194,"Autosomes"
"338",11,36,0.389238174430232,179808237.5,177308237.5,244,26,3163,"Autosomes"
"339",11,37,0.278495378161841,184808237.5,182308237.5,122,17,2091,"Autosomes"
"340",11,38,0.176016441279644,189808237.5,187308237.5,103,15,1840,"Autosomes"
"341",11,39,0.307309759934992,194808237.5,192308237.5,351,35,4419,"Autosomes"
"342",11,40,0.277577843399463,199808237.5,197308237.5,216,26,3313,"Autosomes"
"343",11,41,0.209253581267098,204808237.5,202308237.5,314,37,4733,"Autosomes"
"344",12,1,0.29552467167813,3242136.5,742136.5,280,36,4609,"X-chr."
"345",12,2,0.418017372895696,8242136.5,5742136.5,253,47,5759,"X-chr."
"346",12,3,0.477966091912732,13242136.5,10742136.5,326,44,5481,"X-chr."
"347",12,4,0.432014366765551,18242136.5,15742136.5,219,32,3863,"X-chr."
"348",12,5,0.502886337490038,23242136.5,20742136.5,283,35,4266,"X-chr."
"349",12,6,0.625660041763334,28242136.5,25742136.5,93,19,2316,"X-chr."
"350",12,7,0.567505693720129,33242136.5,30742136.5,164,27,3310,"X-chr."
