"chr","window","fst","mid","start","snp","scaff","seq.len","sites","chr.type"
"30",1,30,0.00626041909560924,147854734,145354734,NA,148,18512,17454,"Autosomes"
"31",1,31,0.00842736884092773,152854734,150354734,NA,163,20326,19159,"Autosomes"
"32",1,32,0.00968284800511027,157854734,155354734,NA,105,13025,11959,"Autosomes"
"33",1,33,0.00950272085589755,162854734,160354734,NA,89,11181,10333,"Autosomes"
"34",1,34,0.0107046119646417,167854734,165354734,NA,34,4137,3898,"Autosomes"
"35",1,35,0.0100997040813903,172854734,170354734,NA,60,7415,6789,"Autosomes"
"36",1,36,0.0118910300700391,177854734,175354734,NA,52,6425,5656,"Autosomes"
"37",1,37,0.0127932765264656,182854734,180354734,NA,20,2444,2178,"Autosomes"
"38",1,38,0.0115078879849913,187854734,185354734,NA,27,3403,3121,"Autosomes"
"39",1,39,0.0143070534582972,192854734,190354734,NA,33,4285,3845,"Autosomes"
"40",1,40,0.00752710576559923,197854734,195354734,NA,42,5341,5035,"Autosomes"
"41",2,1,0.0151418889688535,4817826,2317826,NA,21,2598,2325,"Autosomes"
"42",2,2,0.0116125809153374,9817826,7317826,NA,38,4614,3984,"Autosomes"
"43",2,3,0.0101394908079911,14817826,12317826,NA,27,3371,3112,"Autosomes"
"44",2,4,0.0128892399546998,19817826,17317826,NA,10,1361,1205,"Autosomes"
"45",2,5,0.0163408664603509,24817826,22317826,NA,24,3036,2752,"Autosomes"
"46",2,6,0.0145140009150769,29817826,27317826,NA,24,2931,2691,"Autosomes"
"47",2,7,0.00934706485766918,34817826,32317826,NA,19,2364,2112,"Autosomes"
"48",2,8,0.0128035712241932,39817826,37317826,NA,45,5764,5198,"Autosomes"
"49",2,9,0.00936600604570763,44817826,42317826,NA,45,5570,5179,"Autosomes"
"50",2,10,0.00890691574416108,49817826,47317826,NA,98,12271,11417,"Autosomes"
"51",2,11,0.00666134543441581,54817826,52317826,NA,106,13044,12114,"Autosomes"
"52",2,12,0.00553528450645379,59817826,57317826,NA,116,14458,13661,"Autosomes"
"53",2,13,0.00711861591630233,64817826,62317826,NA,68,8483,7823,"Autosomes"
"54",2,14,0.00607643791983159,69817826,67317826,NA,156,19296,18198,"Autosomes"
"55",2,15,0.00580053143384444,74817826,72317826,NA,199,25353,24309,"Autosomes"
"56",2,16,0.00582473030106915,79817826,77317826,NA,166,20559,19730,"Autosomes"
"57",2,17,0.0060315904721972,84817826,82317826,NA,135,16948,16017,"Autosomes"
"58",2,18,0.00704588768811189,89817826,87317826,NA,125,15581,14686,"Autosomes"
"59",2,19,0.00800834977207407,94817826,92317826,NA,178,22097,20677,"Autosomes"
"60",2,20,0.00582372835016008,99817826,97317826,NA,121,15238,14544,"Autosomes"
"61",2,21,0.00787600555263603,104817826,102317826,NA,120,15223,14175,"Autosomes"
"62",2,22,0.00788575678818737,109817826,107317826,NA,135,16659,15554,"Autosomes"
"63",2,23,0.00949134731894074,114817826,112317826,NA,102,12860,12130,"Autosomes"
"64",2,24,0.00553543208292355,119817826,117317826,NA,121,15233,14435,"Autosomes"
"65",2,25,0.00543582255147425,124817826,122317826,NA,145,18303,17140,"Autosomes"
"66",2,26,0.00913853299851192,129817826,127317826,NA,71,8856,8169,"Autosomes"
"67",2,27,0.00828886249594042,134817826,132317826,NA,65,8100,7513,"Autosomes"
"68",2,28,0.00991529465477707,139817826,137317826,NA,28,3407,3087,"Autosomes"
"69",2,29,0.0183208557950186,144817826,142317826,NA,29,3616,3231,"Autosomes"
"70",2,30,0.0107578851210905,149817826,147317826,NA,33,4012,3751,"Autosomes"
"71",2,31,0.0112567886836847,154817826,152317826,NA,60,7637,7007,"Autosomes"
"72",2,32,0.00876447575577215,159817826,157317826,NA,59,7385,6894,"Autosomes"
"73",2,33,0.0102815763969112,164817826,162317826,NA,64,8009,7314,"Autosomes"
"74",2,34,0.0115303081727556,169817826,167317826,NA,56,7139,6504,"Autosomes"
"75",2,35,0.0136604943180675,174817826,172317826,NA,33,4080,3649,"Autosomes"
"76",2,36,0.012392114507845,179817826,177317826,NA,44,5487,4988,"Autosomes"
"77",2,37,0.0138472575345518,184817826,182317826,NA,37,4694,4347,"Autosomes"
"78",2,38,0.015275633662344,189817826,187317826,NA,43,5334,4898,"Autosomes"
"79",2,39,0.0128435629941795,194817826,192317826,NA,45,5526,5044,"Autosomes"
"80",3,1,0.0123744965638043,4179660,1679660,NA,25,3022,2722,"Autosomes"
"81",3,2,0.014123887474119,9179660,6679660,NA,41,5127,4548,"Autosomes"
"82",3,3,0.0100053089381344,14179660,11679660,NA,33,4099,3679,"Autosomes"
"83",3,4,0.0115938874230869,19179660,16679660,NA,49,6020,5339,"Autosomes"
"84",3,5,0.0111284190791094,24179660,21679660,NA,60,7402,6700,"Autosomes"
"85",3,6,0.0103756604573584,29179660,26679660,NA,47,5883,5172,"Autosomes"
"86",3,7,0.0111801342938331,34179660,31679660,NA,58,7385,6559,"Autosomes"
"87",3,8,0.012159741293699,39179660,36679660,NA,50,6169,5511,"Autosomes"
"88",3,9,0.010933424472803,44179660,41679660,NA,53,6634,5767,"Autosomes"
"89",3,10,0.0068787524463474,49179660,46679660,NA,103,12905,12009,"Autosomes"
"90",3,11,0.0117159358172573,54179660,51679660,NA,81,10019,9058,"Autosomes"
"91",3,12,0.00833939935878119,59179660,56679660,NA,135,16983,15848,"Autosomes"
"92",3,13,0.00648492287207224,64179660,61679660,NA,140,17721,16935,"Autosomes"
"93",3,14,0.00650612521757195,69179660,66679660,NA,103,12756,12055,"Autosomes"
"94",3,15,0.00954424953867161,74179660,71679660,NA,51,6257,5500,"Autosomes"
"95",3,16,0.01148683397711,79179660,76679660,NA,83,10440,9684,"Autosomes"
"96",3,17,0.0104143001680358,84179660,81679660,NA,92,11236,10065,"Autosomes"
"97",3,18,0.00845949205405471,89179660,86679660,NA,92,11200,10240,"Autosomes"
"98",3,19,0.00931540011897637,94179660,91679660,NA,70,8721,8084,"Autosomes"
"99",3,20,0.00971067383559271,99179660,96679660,NA,95,11752,10752,"Autosomes"
"100",3,21,0.00758081083999456,104179660,101679660,NA,144,18090,16929,"Autosomes"
"101",3,22,0.00838011748065523,109179660,106679660,NA,64,7806,7203,"Autosomes"
"102",3,23,0.0124256834377701,114179660,111679660,NA,69,8461,7672,"Autosomes"
"103",3,24,0.0117462214611305,119179660,116679660,NA,41,5108,4668,"Autosomes"
"104",3,25,0.00922719953061091,124179660,121679660,NA,57,6949,6329,"Autosomes"
"105",3,26,0.0140525296765035,129179660,126679660,NA,63,7787,7046,"Autosomes"
"106",3,27,0.0158264618954742,134179660,131679660,NA,39,4814,4363,"Autosomes"
"107",3,28,0.014832040798247,139179660,136679660,NA,32,3995,3520,"Autosomes"
"108",3,29,0.0141856105885653,144179660,141679660,NA,31,3897,3491,"Autosomes"
"109",3,30,0.0161816991847674,149179660,146679660,NA,17,2276,2109,"Autosomes"
"110",4,1,0.0116774878695148,3882085,1382085,NA,34,4153,3835,"Autosomes"
"111",4,2,0.011802990899218,8882085,6382085,NA,51,6349,5727,"Autosomes"
"112",4,3,0.0094866537036569,13882085,11382085,NA,55,6695,5965,"Autosomes"
"113",4,4,0.0139619039034314,18882085,16382085,NA,43,5469,5054,"Autosomes"
"114",4,5,0.0103334881987534,23882085,21382085,NA,67,8204,7515,"Autosomes"
"115",4,6,0.0117100011362354,28882085,26382085,NA,54,6882,6118,"Autosomes"
"116",4,7,0.0106050215975752,33882085,31382085,NA,80,10376,9407,"Autosomes"
"117",4,8,0.00913236608854008,38882085,36382085,NA,55,6687,6180,"Autosomes"
"118",4,9,0.00871434510665659,43882085,41382085,NA,62,7818,7159,"Autosomes"
"119",4,10,0.00919413033563955,48882085,46382085,NA,56,7071,6547,"Autosomes"
"120",4,11,0.00758812198895567,53882085,51382085,NA,61,7427,6729,"Autosomes"
"121",4,12,0.005808558638129,58882085,56382085,NA,18,2222,2030,"Autosomes"
"122",4,13,0.0168762804191829,63882085,61382085,NA,37,4521,3901,"Autosomes"
"123",4,14,0.0131354126213446,68882085,66382085,NA,29,3763,3387,"Autosomes"
"124",4,15,0.0111016937305207,73882085,71382085,NA,62,7834,7119,"Autosomes"
"125",4,16,0.00877051731582313,78882085,76382085,NA,51,6293,5639,"Autosomes"
"126",4,17,0.0120341803926479,83882085,81382085,NA,28,3412,2958,"Autosomes"
"127",4,18,0.0119072266060241,88882085,86382085,NA,47,5727,5155,"Autosomes"
"128",4,19,0.00861065344104662,93882085,91382085,NA,53,6457,5907,"Autosomes"
"129",4,20,0.00958088882301071,98882085,96382085,NA,74,9312,8664,"Autosomes"
"130",4,21,0.0125035034061949,103882085,101382085,NA,47,5720,5022,"Autosomes"
"131",4,22,0.0123240485598201,108882085,106382085,NA,46,5659,5053,"Autosomes"
"132",5,1,0.0177847937344384,3073504,573504,NA,25,3050,2717,"Autosomes"
"133",5,2,0.0133989221867453,8073504,5573504,NA,33,4077,3663,"Autosomes"
"134",5,3,0.0126544208307653,13073504,10573504,NA,43,5472,4947,"Autosomes"
"135",5,4,0.0138963103938135,18073504,15573504,NA,36,4498,3965,"Autosomes"
"136",5,5,0.0116221676686138,23073504,20573504,NA,39,4809,4292,"Autosomes"
"137",5,6,0.012616732983609,28073504,25573504,NA,28,3731,3366,"Autosomes"
"138",5,7,0.0103569583453778,33073504,30573504,NA,42,5138,4657,"Autosomes"
"139",5,8,0.0110499733949121,38073504,35573504,NA,55,6768,6182,"Autosomes"
"140",5,9,0.00846560731795379,43073504,40573504,NA,53,6650,6001,"Autosomes"
"141",5,10,0.00942040808742364,48073504,45573504,NA,64,7860,7190,"Autosomes"
"142",5,11,0.00743122120689015,53073504,50573504,NA,75,9495,8598,"Autosomes"
"143",5,12,0.00864560602952793,58073504,55573504,NA,71,8807,8182,"Autosomes"
"144",5,13,0.0113185648507332,63073504,60573504,NA,50,6166,5653,"Autosomes"
"145",5,14,0.0106750704010273,68073504,65573504,NA,64,7876,7339,"Autosomes"
"146",5,15,0.00727949225104182,73073504,70573504,NA,45,5521,5104,"Autosomes"
"147",5,16,0.0095406474166823,78073504,75573504,NA,50,7186,6467,"Autosomes"
"148",5,17,0.010052827076096,83073504,80573504,NA,37,4639,4276,"Autosomes"
"149",5,18,0.0105172521966725,88073504,85573504,NA,49,6016,5653,"Autosomes"
"150",6,1,0.00981603380973167,3139515.5,639515.5,NA,29,3524,3327,"Autosomes"
"151",6,2,0.0120566694524952,8139515.5,5639515.5,NA,35,4478,4175,"Autosomes"
"152",6,3,0.0158161251307389,13139515.5,10639515.5,NA,33,4031,3590,"Autosomes"
"153",6,4,0.00613516779989395,18139515.5,15639515.5,NA,13,1666,1510,"Autosomes"
"154",6,5,0.0062771297849036,23139515.5,20639515.5,NA,27,3301,2939,"Autosomes"
"155",6,6,0.0141351045208278,28139515.5,25639515.5,NA,38,4755,4260,"Autosomes"
"156",6,7,0.0109208644555454,33139515.5,30639515.5,NA,36,4601,4222,"Autosomes"
"157",6,8,0.00820541463786779,38139515.5,35639515.5,NA,59,7482,6899,"Autosomes"
"158",6,9,0.00933479780089838,43139515.5,40639515.5,NA,71,8953,8128,"Autosomes"
"159",6,10,0.0100623649631113,48139515.5,45639515.5,NA,26,3209,2830,"Autosomes"
"160",6,11,0.00897086511715922,53139515.5,50639515.5,NA,47,5882,5424,"Autosomes"
"161",6,12,0.0136618332960967,58139515.5,55639515.5,NA,37,4495,3880,"Autosomes"
"162",6,13,0.0116935033038437,63139515.5,60639515.5,NA,44,5478,4738,"Autosomes"
"163",6,14,0.00921099958838916,68139515.5,65639515.5,NA,23,2929,2661,"Autosomes"
"164",6,15,0.00973337983355425,73139515.5,70639515.5,NA,29,3692,3288,"Autosomes"
"165",6,16,0.00701234156254779,78139515.5,75639515.5,NA,42,5198,4685,"Autosomes"
"166",6,17,0.00613505109212127,83139515.5,80639515.5,NA,40,5096,4720,"Autosomes"
"167",6,18,0.00855429275491051,88139515.5,85639515.5,NA,32,3988,3504,"Autosomes"
"168",6,19,0.00939284493077031,93139515.5,90639515.5,NA,26,3186,2775,"Autosomes"
"169",6,20,0.0133749298372403,98139515.5,95639515.5,NA,19,2314,1988,"Autosomes"
"170",6,21,0.0105797130136686,103139515.5,100639515.5,NA,36,4441,3870,"Autosomes"
"171",6,22,0.0109172349827616,108139515.5,105639515.5,NA,40,4959,4366,"Autosomes"
"172",6,23,0.0120606422204579,113139515.5,110639515.5,NA,42,5129,4677,"Autosomes"
"173",6,24,0.0126509499597198,118139515.5,115639515.5,NA,45,5459,4890,"Autosomes"
"174",6,25,0.00994022510855963,123139515.5,120639515.5,NA,41,5062,4563,"Autosomes"
"175",6,26,0.00900093962353473,128139515.5,125639515.5,NA,42,5163,4614,"Autosomes"
"176",6,27,0.0113180020160648,133139515.5,130639515.5,NA,24,3061,2799,"Autosomes"
"177",6,28,0.0163377601969535,138139515.5,135639515.5,NA,36,4386,3861,"Autosomes"
"178",7,1,0.0101131055189951,4259035.5,1759035.5,NA,45,5508,4989,"Autosomes"
"179",7,2,0.00873245665232314,9259035.5,6759035.5,NA,27,3324,3085,"Autosomes"
"180",7,3,0.013717175256165,14259035.5,11759035.5,NA,29,3570,3197,"Autosomes"
"181",7,4,0.0105741252576855,19259035.5,16759035.5,NA,19,2326,2098,"Autosomes"
"182",7,5,0.0105792689778304,24259035.5,21759035.5,NA,24,2957,2766,"Autosomes"
"183",7,6,0.00676525995546706,29259035.5,26759035.5,NA,92,11467,10770,"Autosomes"
"184",7,7,0.00660523597307919,34259035.5,31759035.5,NA,79,9953,9316,"Autosomes"
"185",7,8,0.0153297713767999,39259035.5,36759035.5,NA,49,5949,5127,"Autosomes"
"186",7,9,0.0109424376589936,44259035.5,41759035.5,NA,26,3148,2615,"Autosomes"
"187",7,10,0.0142503793127638,49259035.5,46759035.5,NA,21,2620,2263,"Autosomes"
"188",7,11,0.0103609759327035,54259035.5,51759035.5,NA,44,5508,4932,"Autosomes"
"189",7,12,0.0126495338916455,59259035.5,56759035.5,NA,62,7677,6995,"Autosomes"
"190",7,13,0.0100066264558309,64259035.5,61759035.5,NA,74,9322,8389,"Autosomes"
"191",7,14,0.0150878912082285,69259035.5,66759035.5,NA,29,3545,3152,"Autosomes"
"192",7,15,0.00965129329890303,74259035.5,71759035.5,NA,27,3323,2934,"Autosomes"
"193",7,16,0.00989784635473039,79259035.5,76759035.5,NA,39,4752,4398,"Autosomes"
"194",7,17,0.0176618905400688,84259035.5,81759035.5,NA,32,4104,3553,"Autosomes"
"195",7,18,0.0129325472267644,89259035.5,86759035.5,NA,39,4893,4545,"Autosomes"
"196",7,19,0.0156442280242098,94259035.5,91759035.5,NA,39,4767,4021,"Autosomes"
"197",7,20,0.00567167858417876,99259035.5,96759035.5,NA,88,10742,10060,"Autosomes"
"198",7,21,0.0105619293898996,104259035.5,101759035.5,NA,60,7394,6868,"Autosomes"
"199",7,22,0.0113088605999923,109259035.5,106759035.5,NA,65,8061,7513,"Autosomes"
"200",7,23,0.0138255787880018,114259035.5,111759035.5,NA,48,5967,5441,"Autosomes"
"201",7,24,0.0136013684208021,119259035.5,116759035.5,NA,31,3758,3340,"Autosomes"
"202",7,25,0.0121070721447076,124259035.5,121759035.5,NA,30,3623,3324,"Autosomes"
"203",8,1,0.0172307771481882,4428668.5,1928668.5,NA,35,4249,3911,"Autosomes"
"204",8,2,0.0109941193291802,9428668.5,6928668.5,NA,27,3417,3173,"Autosomes"
"205",8,3,0.0106988422559232,14428668.5,11928668.5,NA,42,5112,4498,"Autosomes"
"206",8,4,0.0118528502939534,19428668.5,16928668.5,NA,27,3272,2769,"Autosomes"
"207",8,5,0.0190217472748313,24428668.5,21928668.5,NA,34,4195,3611,"Autosomes"
"208",8,6,0.0153567965771287,29428668.5,26928668.5,NA,56,7047,6387,"Autosomes"
"209",8,7,0.0138566873491111,34428668.5,31928668.5,NA,19,2312,2032,"Autosomes"
"210",8,8,0.00936995887226034,39428668.5,36928668.5,NA,19,2302,1905,"Autosomes"
"211",8,9,0.011364398268001,44428668.5,41928668.5,NA,14,1709,1531,"Autosomes"
"212",8,10,0.0061953797204074,49428668.5,46928668.5,NA,18,2232,2049,"Autosomes"
"213",8,11,0.00705242523884715,54428668.5,51928668.5,NA,46,5591,5200,"Autosomes"
"214",8,12,0.00746214307964175,59428668.5,56928668.5,NA,122,15240,14246,"Autosomes"
"215",8,13,0.00658489867665414,64428668.5,61928668.5,NA,120,15124,14177,"Autosomes"
"216",8,14,0.0128001255138774,69428668.5,66928668.5,NA,70,8670,7572,"Autosomes"
"217",8,15,0.00892991546098722,74428668.5,71928668.5,NA,48,6003,5482,"Autosomes"
"218",8,16,0.00956926818098649,79428668.5,76928668.5,NA,71,8728,7789,"Autosomes"
"219",8,17,0.00962062831355429,84428668.5,81928668.5,NA,51,6303,5798,"Autosomes"
"220",8,18,0.00677913602448333,89428668.5,86928668.5,NA,28,3409,2879,"Autosomes"
"221",8,19,0.0112053251480418,94428668.5,91928668.5,NA,8,953,796,"Autosomes"
"222",8,20,0.0105791795563078,99428668.5,96928668.5,NA,60,7437,6502,"Autosomes"
"223",8,21,0.0124040946640199,104428668.5,101928668.5,NA,34,4383,3715,"Autosomes"
"224",8,22,0.01187734736767,109428668.5,106928668.5,NA,49,6140,5677,"Autosomes"
"225",9,1,0.0153658162019113,3161806,661806,NA,35,4360,4003,"Autosomes"
"226",9,2,0.0122563001517378,8161806,5661806,NA,32,3882,3538,"Autosomes"
"227",9,3,0.00871652175180839,13161806,10661806,NA,34,4281,3835,"Autosomes"
"228",9,4,0.0116645526916555,18161806,15661806,NA,57,7039,6509,"Autosomes"
"229",9,5,0.0115359939734889,23161806,20661806,NA,22,2681,2505,"Autosomes"
"230",9,6,0.00950505866481183,28161806,25661806,NA,46,5609,5215,"Autosomes"
"231",9,7,0.0112012333634377,33161806,30661806,NA,66,8195,7480,"Autosomes"
"232",9,8,0.0131241313133883,38161806,35661806,NA,49,6107,5468,"Autosomes"
"233",9,9,0.0140983583630661,43161806,40661806,NA,48,5932,5269,"Autosomes"
"234",9,10,0.0093436169066607,48161806,45661806,NA,79,9752,8913,"Autosomes"
"235",9,11,0.0109775116937727,53161806,50661806,NA,66,8151,7447,"Autosomes"
"236",9,12,0.00877479887519734,58161806,55661806,NA,67,8380,7666,"Autosomes"
"237",9,13,0.0124456030744322,63161806,60661806,NA,93,11466,10498,"Autosomes"
"238",9,14,0.00938854026176622,68161806,65661806,NA,89,10994,9933,"Autosomes"
"239",9,15,0.00484676172168746,73161806,70661806,NA,94,11889,11428,"Autosomes"
"240",9,16,0.00766617606421094,78161806,75661806,NA,106,13227,12243,"Autosomes"
"241",9,17,0.00799819766407705,83161806,80661806,NA,68,8496,7912,"Autosomes"
"242",9,18,0.0074065806296004,88161806,85661806,NA,83,10437,9701,"Autosomes"
"243",9,19,0.00746225925272977,93161806,90661806,NA,71,9154,8715,"Autosomes"
"244",9,20,0.00625201865018418,98161806,95661806,NA,78,9787,9206,"Autosomes"
"245",9,21,0.00601838156618053,103161806,100661806,NA,69,8656,8019,"Autosomes"
"246",9,22,0.0114463216472595,108161806,105661806,NA,66,8226,7446,"Autosomes"
"247",9,23,0.00454776997903669,113161806,110661806,NA,86,10895,10302,"Autosomes"
"248",9,24,0.0064753039204765,118161806,115661806,NA,108,13657,12993,"Autosomes"
"249",9,25,0.00739961331410957,123161806,120661806,NA,82,10014,9518,"Autosomes"
"250",9,26,0.00772370761960773,128161806,125661806,NA,74,9129,8259,"Autosomes"
"251",9,27,0.00949409297395756,133161806,130661806,NA,106,13186,12231,"Autosomes"
"252",9,28,0.0048030659431784,138161806,135661806,NA,115,14183,13512,"Autosomes"
"253",9,29,0.00596382775785637,143161806,140661806,NA,151,18874,17955,"Autosomes"
"254",9,30,0.00740268928772207,148161806,145661806,NA,99,12309,11372,"Autosomes"
"255",9,31,0.00567785214539318,153161806,150661806,NA,73,8965,8382,"Autosomes"
"256",9,32,0.00714477337875599,158161806,155661806,NA,77,9614,9054,"Autosomes"
"257",9,33,0.0059761861003115,163161806,160661806,NA,113,14226,13323,"Autosomes"
"258",9,34,0.00703889885327004,168161806,165661806,NA,130,16094,14969,"Autosomes"
"259",9,35,0.00680087489632603,173161806,170661806,NA,105,13042,12167,"Autosomes"
"260",9,36,0.0102133246604764,178161806,175661806,NA,84,10508,9516,"Autosomes"
"261",9,37,0.0143564710223481,183161806,180661806,NA,64,8181,7423,"Autosomes"
"262",9,38,0.0106270737720218,188161806,185661806,NA,63,7812,7104,"Autosomes"
"263",9,39,0.0120498391326871,193161806,190661806,NA,45,5561,4868,"Autosomes"
"264",9,40,0.00716118803921158,198161806,195661806,NA,15,1829,1599,"Autosomes"
"265",9,41,0.0114056955530567,203161806,200661806,NA,36,4397,3993,"Autosomes"
"266",9,42,0.00839690657110703,208161806,205661806,NA,95,11890,11054,"Autosomes"
"267",9,43,0.00517422036203442,213161806,210661806,NA,59,7279,7041,"Autosomes"
"268",9,44,0.0022465939773049,218161806,215661806,NA,12,1560,1473,"Autosomes"
"269",9,45,0.0106652027259589,223161806,220661806,NA,54,6820,6329,"Autosomes"
"270",10,1,0.011432528317576,2744397.5,244397.5,NA,30,3660,3462,"Autosomes"
"271",10,2,0.0178950233229514,7744397.5,5244397.5,NA,34,4415,4049,"Autosomes"
"272",10,3,0.0146740094103329,12744397.5,10244397.5,NA,30,3695,3466,"Autosomes"
"273",10,4,0.0144936538552186,17744397.5,15244397.5,NA,35,4528,3838,"Autosomes"
"274",10,5,0.0127749675715883,22744397.5,20244397.5,NA,32,4062,3566,"Autosomes"
"275",10,6,0.0109745052796468,27744397.5,25244397.5,NA,36,4396,4110,"Autosomes"
"276",10,7,0.0127611748654944,32744397.5,30244397.5,NA,56,6960,6356,"Autosomes"
"277",10,8,0.01183068693894,37744397.5,35244397.5,NA,56,6886,6214,"Autosomes"
"278",10,9,0.00887730221428973,42744397.5,40244397.5,NA,47,5837,5327,"Autosomes"
"279",10,10,0.00803837864983081,47744397.5,45244397.5,NA,107,13273,12401,"Autosomes"
"280",10,11,0.0106239887424087,52744397.5,50244397.5,NA,76,9409,8527,"Autosomes"
"281",10,12,0.00506172803186697,57744397.5,55244397.5,NA,149,18772,18000,"Autosomes"
"282",10,13,0.00543818107045239,62744397.5,60244397.5,NA,173,21743,20792,"Autosomes"
"283",10,14,0.00612411121866879,67744397.5,65244397.5,NA,127,15790,15210,"Autosomes"
"284",10,15,0.00582502536618699,72744397.5,70244397.5,NA,190,23896,22741,"Autosomes"
"285",10,16,0.00526227664772216,77744397.5,75244397.5,NA,164,20380,19409,"Autosomes"
"286",10,17,0.00467492657507556,82744397.5,80244397.5,NA,176,22109,21075,"Autosomes"
"287",10,18,0.00489039158016593,87744397.5,85244397.5,NA,181,22612,21478,"Autosomes"
"288",10,19,0.00614947354046832,92744397.5,90244397.5,NA,138,17228,16341,"Autosomes"
"289",10,20,0.00766597067424502,97744397.5,95244397.5,NA,149,18702,17390,"Autosomes"
"290",10,21,0.00961593513655918,102744397.5,100244397.5,NA,105,12827,12002,"Autosomes"
"291",10,22,0.00903566374662597,107744397.5,105244397.5,NA,117,14869,13703,"Autosomes"
"292",10,23,0.00907124866162068,112744397.5,110244397.5,NA,92,11228,10308,"Autosomes"
"293",10,24,0.0136623753756793,117744397.5,115244397.5,NA,90,10980,9889,"Autosomes"
"294",10,25,0.00893533889586868,122744397.5,120244397.5,NA,86,10944,9803,"Autosomes"
"295",10,26,0.0125912375406652,127744397.5,125244397.5,NA,33,4057,3673,"Autosomes"
"296",10,27,0.0110616703622119,132744397.5,130244397.5,NA,43,5270,4640,"Autosomes"
"297",10,28,0.0120772537832554,137744397.5,135244397.5,NA,21,2653,2298,"Autosomes"
"298",10,29,0.0093606892720995,142744397.5,140244397.5,NA,53,6538,5890,"Autosomes"
"299",10,30,0.0123880355262579,147744397.5,145244397.5,NA,45,5586,5091,"Autosomes"
"300",10,31,0.0176995549897871,152744397.5,150244397.5,NA,21,2659,2424,"Autosomes"
"301",10,32,0.00925951876110129,157744397.5,155244397.5,NA,25,3186,2814,"Autosomes"
"302",10,33,0.0161361436518349,162744397.5,160244397.5,NA,31,3886,3375,"Autosomes"
"303",11,1,0.020157864746632,4808237.5,2308237.5,NA,24,2915,2585,"Autosomes"
"304",11,2,0.0131212453843782,9808237.5,7308237.5,NA,25,3244,3014,"Autosomes"
"305",11,3,0.0177306976328052,14808237.5,12308237.5,NA,18,2332,2065,"Autosomes"
"306",11,4,0.0137284099464226,19808237.5,17308237.5,NA,32,3906,3449,"Autosomes"
"307",11,5,0.01492832642649,24808237.5,22308237.5,NA,44,5499,5028,"Autosomes"
"308",11,6,0.0132758900203518,29808237.5,27308237.5,NA,32,3992,3526,"Autosomes"
"309",11,7,0.0105781256224133,34808237.5,32308237.5,NA,21,2558,2276,"Autosomes"
"310",11,8,0.0118321450332128,39808237.5,37308237.5,NA,51,6248,5614,"Autosomes"
"311",11,9,0.0103555748313224,44808237.5,42308237.5,NA,63,7953,7267,"Autosomes"
"312",11,10,0.0105680406526923,49808237.5,47308237.5,NA,56,6845,6214,"Autosomes"
"313",11,11,0.00593874592819716,54808237.5,52308237.5,NA,86,10728,9854,"Autosomes"
