pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_hudson_fst	no_snps
POL3	FRA1	chr1	4953097	4953217	0.2345679012345679	8
POL3	FRA1	chr1	4971997	4972117	0.1818181818181817	3
POL3	FRA1	chr1	5051404	5051528	-0.0482932200723611	17
POL3	FRA1	chr1	5317943	5318068	0.1459369817578772	13
POL3	FRA1	chr1	5318234	5318369	0.0472384758099044	12
POL3	FRA1	chr1	5406719	5406836	0.5944700460829493	5
POL3	FRA1	chr1	5815877	5815997	0.0126357560568086	18
POL3	FRA1	chr1	5846576	5846696	0.1548771407297096	15
POL3	FRA1	chr1	5846913	5847083	0.1136479291648719	16
POL3	FRA1	chr1	6030750	6030870	0.2566703073802465	6
POL3	FRA1	chr1	6031014	6031137	0.3271665043816943	5
POL3	FRA1	chr1	6060209	6060329	0.4545454545454546	4
POL3	FRA1	chr1	6060412	6060537	0.1136363636363636	15
POL3	FRA1	chr1	6062951	6063071	0.2192843652697667	9
POL3	FRA1	chr1	6083625	6083750	0.0915155305399207	12
POL3	FRA1	chr1	6262571	6262696	NA	11
POL3	FRA1	chr1	6546361	6546481	0.2603550295857988	3
POL3	FRA1	chr1	6546637	6546762	0.0307692307692308	3
POL3	FRA1	chr1	6681646	6681766	0.0702711922224117	12
POL3	FRA1	chr1	6797763	6797888	0.2879901960784313	7
POL3	FRA1	chr1	6798039	6798159	0.0252795333009237	11
POL3	FRA1	chr1	6993248	6993368	0.7459849229760733	11
POL3	FRA1	chr1	7289774	7289893	0.3636363636363637	8
POL3	FRA1	chr1	7376676	7376796	0.4183006535947711	7
POL3	FRA1	chr1	7489859	7489981	0.1728024042073628	17
POL3	FRA1	chr1	7490106	7490237	0.228298017771702	10
POL3	FRA1	chr1	7636922	7637047	0.0748663101604277	4
POL3	FRA1	chr1	7637262	7637382	0.5823503825192539	5
POL3	FRA1	chr1	7672371	7672488	-0.073339212228101	7
POL3	FRA1	chr1	7976263	7976383	0.0588235294117646	2
POL3	FRA1	chr1	8007742	8007867	0.3738140417457306	8
POL3	FRA1	chr1	8160920	8161045	0.3473193473193473	9
POL3	FRA1	chr1	8161122	8161242	0.0	3
POL3	FRA1	chr1	8235232	8235352	0.0545808966861598	13
POL3	FRA1	chr1	8679747	8679867	0.1868304668304668	7
POL3	FRA1	chr1	8854550	8854675	0.0	4
POL3	FRA1	chr1	9240258	9240376	0.0560064935064935	8
POL3	FRA1	chr1	9315893	9316013	0.2757313109425784	13
POL3	FRA1	chr1	9316133	9316258	0.4709851551956815	9
POL3	FRA1	chr1	9418637	9418762	-0.0302521008403361	8
POL3	FRA1	chr1	9671084	9671229	0.2259753862267609	11
POL3	FRA1	chr1	9695857	9695977	0.069884364002011	6
POL3	FRA1	chr1	9920253	9920378	-0.0433369447453953	8
POL3	FRA1	chr1	9920471	9920591	-0.0448033579706177	10
POL3	FRA1	chr1	10023500	10023624	-0.006269592476489	11
POL3	FRA1	chr1	10206749	10206874	0.1967706764965474	10
POL3	FRA1	chr1	10207004	10207124	0.2358372326203209	7
POL3	FRA1	chr1	10506557	10506758	0.4307692307692308	5
POL3	FRA1	chr1	10506993	10507118	0.3633699633699633	4
POL3	FRA1	chr1	10660061	10660172	0.0906498673740053	12
POL3	FRA1	chr1	10707532	10707650	0.0	1
POL3	FRA1	chr1	10869718	10869843	-0.0065727699530515	10
POL3	FRA1	chr1	10870031	10870151	0.0149551345962113	9
POL3	FRA1	chr1	11032918	11033038	0.3076923076923076	1
POL3	FRA1	chr1	11080983	11081106	0.4989669421487603	10
POL3	FRA1	chr1	11718806	11718926	0.1020408163265306	4
POL3	FRA1	chr1	11729689	11729809	0.1091770788453252	10
POL3	FRA1	chr1	11950553	11950676	0.0938680163519564	11
POL3	FRA1	chr1	12010069	12010189	0.1683986422199265	7
POL3	FRA1	chr1	12369454	12369575	0.1978509295582466	4
POL3	FRA1	chr1	12369655	12369808	0.0549029245514868	4
POL3	FRA1	chr1	12418921	12419046	0.2727272727272726	1
POL3	FRA1	chr1	12419286	12419406	0.1454545454545454	3
POL3	FRA1	chr1	12682678	12682803	0.1179487179487179	9
POL3	FRA1	chr1	12682979	12683099	0.2307692307692307	7
POL3	FRA1	chr1	13542731	13542851	0.0571650571650571	7
POL3	FRA1	chr1	13656928	13657048	0.0476285671447847	10
POL3	FRA1	chr1	13657194	13657319	0.0914198161389172	9
POL3	FRA1	chr1	14215947	14216067	0.4673311184939092	4
POL3	FRA1	chr1	14318308	14318428	0.2222222222222222	3
POL3	FRA1	chr1	14437132	14437252	0.308811026088513	11
POL3	FRA1	chr1	14600991	14601108	0.5574926466291368	12
POL3	FRA1	chr1	14601255	14601375	0.4785978352857334	8
POL3	FRA1	chr1	15454617	15454742	-0.0178218406066507	15
POL3	FRA1	chr1	15680942	15681067	0.0	1
POL3	FRA1	chr1	16634375	16634495	0.0454545454545454	6
POL3	FRA1	chr1	16634592	16634717	0.0303030303030302	5
POL3	FRA1	chr1	16753325	16753445	0.0861538461538461	5
POL3	FRA1	chr1	16753589	16753714	0.0769230769230768	6
POL3	FRA1	chr1	16854292	16854417	-0.0294840294840294	12
POL3	FRA1	chr1	17055798	17055918	0.1496881496881496	5
POL3	FRA1	chr1	17056056	17056181	0.0	2
POL3	FRA1	chr1	17076112	17076230	0.0769230769230768	9
POL3	FRA1	chr1	17240917	17241042	0.0689361960581857	8
POL3	FRA1	chr1	17241162	17241282	0.0769230769230768	2
POL3	FRA1	chr1	17791876	17791996	0.164952380952381	2
POL3	FRA1	chr1	17792122	17792246	0.0149376880103137	15
POL3	FRA1	chr1	17991870	17991990	0.1877286799887419	4
POL3	FRA1	chr1	18010227	18010367	0.0909756422201517	9
POL3	FRA1	chr1	18052031	18052151	0.1098072659048269	10
POL3	FRA1	chr1	18052375	18052500	0.0688504477978162	14
POL3	FRA1	chr1	18205207	18205327	0.2222222222222222	5
POL3	FRA1	chr1	18205500	18205625	0.0005012531328321	3
POL3	FRA1	chr1	18218397	18218517	0.1578947368421052	10
POL3	FRA1	chr1	18240706	18240831	0.2224479431183341	11
POL3	FRA1	chr1	18294167	18294292	0.6764069264069265	8
POL3	FRA1	chr1	18294431	18294551	0.278030303030303	10
POL3	FRA1	chr1	18349099	18349219	0.4901185770750988	3
POL3	FRA1	chr1	18497597	18497717	0.2303030303030302	6
POL3	FRA1	chr1	18497929	18498053	0.1247401247401247	4
POL3	FRA1	chr1	18503570	18503690	0.1643835616438355	5
POL3	FRA1	chr1	18503866	18503991	0.1818181818181817	1
POL3	FRA1	chr1	18693392	18693517	0.131553330552079	15
POL3	FRA1	chr1	19005913	19006033	0.5052506173980436	22
POL3	FRA1	chr1	19006207	19006332	0.7033871478315924	10
POL3	FRA1	chr1	19328934	19329054	0.1782453064504346	12
POL3	FRA1	chr1	19357611	19357731	-0.0072727272727273	2
POL3	FRA1	chr1	19357926	19358051	-0.0003819709702063	5
POL3	FRA1	chr1	19471578	19471702	0.0694103830610341	14
POL3	FRA1	chr1	19471831	19471998	0.1369743163537604	11
POL3	FRA1	chr1	19483775	19483900	0.0488009165975267	3
POL3	FRA1	chr1	19484084	19484204	-0.0545454545454544	2
POL3	FRA1	chr1	19539016	19539141	0.0529659395331037	6
POL3	FRA1	chr1	19539325	19539445	0.0435742661094774	7
POL3	FRA1	chr1	19798366	19798551	0.0308731902388988	10
POL3	FRA1	chr1	19798839	19798964	0.2220943613348676	7
POL3	FRA1	chr1	19820657	19820781	0.208239393318303	1
POL3	FRA1	chr1	20199635	20199755	0.0	6
POL3	FRA1	chr1	20199869	20199994	0.0	4
POL3	FRA1	chr1	20339148	20339273	0.1979558902635825	9
POL3	FRA1	chr1	20534403	20534524	NA	1
POL3	FRA1	chr1	20534923	20535043	0.2357922660952964	15
POL3	FRA1	chr1	21065516	21065636	0.2570532915360501	9
POL3	FRA1	chr1	21065734	21065853	0.2655391120507399	19
POL3	FRA1	chr1	21119224	21119349	-0.0324515779061232	7
POL3	FRA1	chr1	21119516	21119629	-0.025733867839131	9
POL3	FRA1	chr1	21361462	21361582	0.0674593545256006	10
POL3	FRA1	chr1	21361690	21361815	0.1791964009120871	19
POL3	FRA1	chr1	21380013	21380133	-0.0513468013468012	6
POL3	FRA1	chr1	21380329	21380444	0.1709401709401709	4
POL3	FRA1	chr1	21400004	21400129	0.074074074074074	7
POL3	FRA1	chr1	21400330	21400450	0.2330743618201998	5
POL3	FRA1	chr1	21401993	21402118	0.0785749683387479	4
POL3	FRA1	chr1	21402307	21402427	-0.0670085470085469	4
POL3	FRA1	chr1	21634449	21634574	0.476392572944297	10
POL3	FRA1	chr1	21691938	21692054	0.1807878112225938	7
POL3	FRA1	chr1	21830198	21830323	0.1219256933542647	11
POL3	FRA1	chr1	21830521	21830641	0.1018332215515314	13
POL3	FRA1	chr1	22093915	22094031	0.1471582879063194	10
POL3	FRA1	chr1	22205727	22205852	0.0615384615384614	5
POL3	FRA1	chr1	22820042	22820165	0.2813502287186497	14
POL3	FRA1	chr1	22868663	22868787	0.2417582417582417	9
POL3	FRA1	chr1	22868966	22869092	0.0	3
POL3	FRA1	chr1	22890946	22891066	-0.0437710437710438	6
POL3	FRA1	chr1	22891369	22891494	-0.0121212121212121	3
POL3	FRA1	chr1	22893677	22893790	0.3288683147838077	7
POL3	FRA1	chr1	23185647	23185772	0.072072072072072	6
POL3	FRA1	chr1	23794616	23794741	0.052945876267431	9
POL3	FRA1	chr1	23794956	23795076	-0.020979020979021	7
POL3	FRA1	chr1	24315055	24315175	0.2916272916272917	4
POL3	FRA1	chr1	24315328	24315453	0.2403846153846153	2
POL3	FRA1	chr1	24326046	24326166	0.1248176284147506	10
POL3	FRA1	chr1	24326284	24326408	0.2300623564161469	13
POL3	FRA1	chr1	24555063	24555182	0.143973673385438	7
POL3	FRA1	chr1	24555304	24555428	0.7014260249554367	8
POL3	FRA1	chr1	24556187	24556314	0.0	8
POL3	FRA1	chr1	24687139	24687258	0.7144282109957167	4
POL3	FRA1	chr1	24687420	24687544	0.0	3
POL3	FRA1	chr1	24779229	24779354	0.1849358974358974	7
POL3	FRA1	chr1	24779403	24779540	0.069343439516542	6
POL3	FRA1	chr1	24813545	24813665	0.023931260924253	11
POL3	FRA1	chr1	24943399	24943524	0.0637140637140636	7
POL3	FRA1	chr1	24943753	24943872	0.0568181818181817	3
POL3	FRA1	chr1	25105388	25105512	0.0	2
POL3	FRA1	chr1	25163549	25163668	0.0904534062428799	5
POL3	FRA1	chr1	25253085	25253205	0.5263100317251942	6
POL3	FRA1	chr1	25253313	25253434	0.3850702143385069	5
POL3	FRA1	chr1	25263040	25263160	0.0	1
POL3	FRA1	chr1	25263327	25263450	0.1357001972386587	6
POL3	FRA1	chr1	25350511	25350631	-0.0366390090707976	12
POL3	FRA1	chr1	25350763	25350880	0.1416066007338287	16
POL3	FRA1	chr1	25459001	25459126	0.0	6
POL3	FRA1	chr1	25459375	25459495	-0.0876623376623376	5
POL3	FRA1	chr1	25556836	25556956	0.0	7
POL3	FRA1	chr1	25557040	25557165	0.8135593220338982	2
POL3	FRA1	chr1	25588496	25588616	0.254179904367639	12
POL3	FRA1	chr1	25588745	25588870	0.1850548386496098	15
POL3	FRA1	chr1	25715172	25715297	0.0635108481262327	4
POL3	FRA1	chr1	25715347	25715467	0.0308853410740202	10
POL3	FRA1	chr1	25883742	25883861	0.0633603134505335	7
POL3	FRA1	chr1	26469366	26469487	0.0885889052942417	13
POL3	FRA1	chr1	26928641	26928766	0.2318312850857229	21
POL3	FRA1	chr1	27309400	27309519	0.1241685144124168	3
POL3	FRA1	chr1	27668208	27668342	0.1649405446873801	13
POL3	FRA1	chr1	28115554	28115674	0.0888409796481545	6
POL3	FRA1	chr1	28115847	28115972	NA	2
POL3	FRA1	chr1	28206175	28206317	0.2181818181818181	3
POL3	FRA1	chr1	28266026	28266151	0.0018858012634868	10
POL3	FRA1	chr1	28266423	28266543	0.0537437618847812	7
POL3	FRA1	chr1	28806314	28806438	0.1711697393515575	12
POL3	FRA1	chr1	28806575	28806695	0.1848539057841383	11
POL3	FRA1	chr1	28932768	28932892	0.339666764104063	12
POL3	FRA1	chr1	29175325	29175437	0.2967269398031586	10
POL3	FRA1	chr1	29422535	29422655	0.1496056341527034	17
POL3	FRA1	chr1	29422879	29423004	0.0706744236156001	9
POL3	FRA1	chr1	29522012	29522137	0.4081203007518797	12
POL3	FRA1	chr1	29522344	29522464	0.4126984126984127	9
POL3	FRA1	chr1	29731466	29731591	0.3747990327429579	8
POL3	FRA1	chr1	29867790	29867915	0.019047619047619	7
POL3	FRA1	chr1	29868053	29868173	0.3181434599156118	9
POL3	FRA1	chr1	29940020	29940140	-0.0332174584781769	9
POL3	FRA1	chr1	29996591	29996716	-0.0037607741096113	10
POL3	FRA1	chr1	29996821	29996941	0.0578291273943448	14
POL3	FRA1	chr1	30392931	30393050	0.0	1
POL3	FRA1	chr1	30398277	30398397	0.063292639563826	5
POL3	FRA1	chr1	30410019	30410212	0.1476713762428048	15
POL3	FRA1	chr1	30410402	30410527	0.0979511716353821	13
POL3	FRA1	chr1	30480272	30480379	-0.0683760683760683	3
POL3	FRA1	chr1	30533000	30533125	0.109090909090909	9
POL3	FRA1	chr1	30533347	30533557	0.2384948384948384	14
POL3	FRA1	chr1	30533823	30533948	0.3103726667958406	11
POL3	FRA1	chr1	30550196	30550313	0.1813703537841469	12
POL3	FRA1	chr1	30915039	30915159	0.2824085005903188	7
POL3	FRA1	chr1	31074759	31074879	0.0059697567389875	14
POL3	FRA1	chr1	31153909	31154029	0.227133628017681	12
POL3	FRA1	chr1	31193077	31193196	0.158974358974359	10
POL3	FRA1	chr1	31507661	31507781	0.6739692944626532	7
POL3	FRA1	chr1	31507986	31508112	0.0681818181818181	12
POL3	FRA1	chr1	31516660	31516780	0.1608717561098513	16
POL3	FRA1	chr1	31658874	31658994	0.1228070175438596	15
POL3	FRA1	chr1	31659072	31659197	0.1092318534178999	11
POL3	FRA1	chr1	31707093	31707218	0.0838117106773823	11
POL3	FRA1	chr1	31714365	31714490	0.2331325120642627	17
POL3	FRA1	chr1	31735227	31735347	0.0341773370559352	5
POL3	FRA1	chr1	31735433	31735549	0.0698318362936448	6
POL3	FRA1	chr1	31813155	31813275	0.1999999999999999	7
POL3	FRA1	chr1	31813472	31813593	0.0786469344608879	12
POL3	FRA1	chr1	31843126	31843251	0.3660287081339713	9
POL3	FRA1	chr1	31843304	31843437	0.0	6
POL3	FRA1	chr1	32261386	32261511	NA	6
POL3	FRA1	chr1	32299916	32300036	0.4444444444444444	1
POL3	FRA1	chr1	32300177	32300302	0.5694444444444444	3
POL3	FRA1	chr1	32809201	32809322	0.2442442442442442	16
POL3	FRA1	chr1	32809399	32809518	0.4155844155844156	8
POL3	FRA1	chr1	32924260	32924380	0.0685755783794999	19
POL3	FRA1	chr1	32935175	32935299	0.0	4
POL3	FRA1	chr1	32935600	32935720	0.253968253968254	3
POL3	FRA1	chr1	32937716	32937836	0.6380952380952382	2
POL3	FRA1	chr1	33002371	33002495	0.2575687364843991	27
POL3	FRA1	chr1	33002615	33002735	0.2223517223517223	14
POL3	FRA1	chr1	33028702	33028822	0.2079710144927536	4
POL3	FRA1	chr1	33028955	33029080	0.2482794042116076	8
POL3	FRA1	chr1	33125178	33125303	0.4073083778966131	4
POL3	FRA1	chr1	33125492	33125612	0.0	2
POL3	FRA1	chr1	33193594	33193714	0.096551724137931	7
POL3	FRA1	chr1	33193844	33193969	0.7097049292171242	7
POL3	FRA1	chr1	33203479	33203599	0.3605283605283605	5
POL3	FRA1	chr1	33286715	33286840	0.2649572649572649	9
POL3	FRA1	chr1	33286964	33287083	0.0232769594471722	9
POL3	FRA1	chr1	33295768	33295888	0.3816543816543816	3
POL3	FRA1	chr1	33381582	33381696	0.0482840236686389	11
POL3	FRA1	chr1	33381804	33381924	0.0984805318138651	5
POL3	FRA1	chr1	33533647	33533769	0.0	2
POL3	FRA1	chr1	33581379	33581510	0.1677368042045979	14
POL3	FRA1	chr1	33589411	33589635	0.1846153846153846	2
POL3	FRA1	chr1	33589774	33589899	0.4826038159371493	9
POL3	FRA1	chr1	33593613	33593733	0.0	7
POL3	FRA1	chr1	33593865	33593990	0.1883830455259026	4
POL3	FRA1	chr1	33668029	33668149	0.0095238095238094	6
POL3	FRA1	chr1	33668313	33668438	0.135948796965746	11
POL3	FRA1	chr1	33781876	33782001	0.3930976430976431	4
POL3	FRA1	chr1	33782093	33782213	0.0606060606060605	9
POL3	FRA1	chr1	34728245	34728370	0.1480038948393378	7
POL3	FRA1	chr1	34728535	34728655	0.2842426659698249	9
POL3	FRA1	chr1	34796400	34796520	0.1538461538461538	1
POL3	FRA1	chr1	34796688	34796814	0.3076923076923076	2
POL3	FRA1	chr1	34800609	34800729	0.0	1
POL3	FRA1	chr1	34800803	34800928	0.1454545454545454	4
POL3	FRA1	chr1	35250029	35250149	0.329262777023971	6
POL3	FRA1	chr1	35250333	35250458	0.2469135802469135	5
POL3	FRA1	chr1	35254207	35254327	0.3606446140797286	13
POL3	FRA1	chr1	35254393	35254518	0.1624819624819624	12
POL3	FRA1	chr1	35572886	35573011	0.0052920052920052	3
POL3	FRA1	chr1	35573099	35573219	0.0859381582273148	4
POL3	FRA1	chr1	35818780	35818908	0.2105194323953178	19
POL3	FRA1	chr1	35819115	35819232	0.4307918148748598	17
POL3	FRA1	chr1	35965852	35965972	0.1285714285714286	6
POL3	FRA1	chr1	35995926	35996067	0.1325798614531008	15
POL3	FRA1	chr1	36645208	36645311	0.1121489522910482	6
POL3	FRA1	chr1	36993469	36993594	0.1454545454545454	3
POL3	FRA1	chr1	37140384	37140509	0.1111111111111111	2
POL3	FRA1	chr1	37140575	37140811	0.6363636363636364	9
POL3	FRA1	chr1	37166749	37166869	0.5644714997232982	3
POL3	FRA1	chr1	37585417	37585531	-0.0245775729646696	6
POL3	FRA1	chr1	37746215	37746335	0.025985320932228	5
POL3	FRA1	chr1	37746491	37746616	0.0138551288283908	14
POL3	FRA1	chr1	37778038	37778163	0.1901306240928882	6
POL3	FRA1	chr1	37778296	37778416	0.3279012345679012	6
POL3	FRA1	chr1	37844321	37844446	0.0909090909090908	3
POL3	FRA1	chr1	37844626	37844746	0.0	2
POL3	FRA1	chr1	37864909	37865029	0.2183164983164983	6
POL3	FRA1	chr1	37865217	37865342	0.1560314685314686	6
POL3	FRA1	chr1	38006352	38006468	0.0	1
POL3	FRA1	chr1	38006624	38006748	0.253968253968254	2
POL3	FRA1	chr1	38458799	38458924	-0.0861823361823361	5
POL3	FRA1	chr1	38459172	38459292	NA	4
POL3	FRA1	chr1	38658786	38658910	0.215034965034965	10
POL3	FRA1	chr1	38659279	38659399	NA	4
POL3	FRA1	chr1	38659495	38659620	0.066713428415556	6
POL3	FRA1	chr1	38982659	38982779	0.0534759358288769	7
POL3	FRA1	chr1	38982796	38982921	0.2043512043512043	13
POL3	FRA1	chr1	38999745	38999851	0.0461323763955342	13
POL3	FRA1	chr1	39036726	39036847	0.1487455197132616	8
POL3	FRA1	chr1	39367261	39367385	0.2377622377622377	4
POL3	FRA1	chr1	39367469	39367589	0.0	3
POL3	FRA1	chr1	39474163	39474283	0.0	5
POL3	FRA1	chr1	39483434	39483557	0.2220874363731506	11
POL3	FRA1	chr1	39483675	39483795	0.0800578731613213	11
POL3	FRA1	chr1	39536593	39536713	0.0	10
POL3	FRA1	chr1	39568876	39569001	0.0	4
POL3	FRA1	chr1	39635556	39635676	0.3530412034009156	13
POL3	FRA1	chr1	39635827	39635950	0.0695187165775402	7
POL3	FRA1	chr1	39710092	39710206	0.5680958385876418	7
POL3	FRA1	chr1	39780483	39780602	-0.0792540792540792	6
POL3	FRA1	chr1	39780914	39781033	-0.0959332638164755	8
POL3	FRA1	chr1	39838576	39838701	0.1328073635765942	5
POL3	FRA1	chr1	39838936	39839056	-0.0568195497772963	8
POL3	FRA1	chr1	39969790	39969910	0.0247034364681423	3
POL3	FRA1	chr1	39969981	39970106	0.0784313725490196	2
POL3	FRA1	chr1	40122866	40122986	0.1009809073392889	10
POL3	FRA1	chr1	41014676	41014796	0.0178571428571428	9
POL3	FRA1	chr1	41059566	41059691	0.5955882352941175	2
POL3	FRA1	chr1	41059807	41059927	0.5983559464356741	8
POL3	FRA1	chr1	41123346	41123466	0.0507111935683364	13
POL3	FRA1	chr1	41757769	41757889	-0.0583554376657825	1
POL3	FRA1	chr1	41757904	41758029	0.0298792116973935	7
POL3	FRA1	chr1	41777454	41777579	0.3692307692307692	2
POL3	FRA1	chr1	41794638	41794763	0.192478434516651	17
POL3	FRA1	chr1	42243177	42243302	0.1404404723906798	17
POL3	FRA1	chr1	42243402	42243521	0.1717597471022128	18
POL3	FRA1	chr1	42493329	42493454	0.1111111111111111	1
POL3	FRA1	chr1	42725879	42725994	0.1646251837334639	12
POL3	FRA1	chr1	42726087	42726212	0.1653394008342814	11
POL3	FRA1	chr1	43082647	43082766	0.0292962851102385	6
POL3	FRA1	chr1	43128961	43129081	0.1392876129718235	10
POL3	FRA1	chr1	43359300	43359420	0.0598290598290598	8
POL3	FRA1	chr1	43359627	43359752	0.2136331101848343	7
POL3	FRA1	chr1	43363504	43363624	-0.0280716434562588	10
POL3	FRA1	chr1	43363645	43363770	0.0464273829187256	20
POL3	FRA1	chr1	43622437	43622557	0.1524216524216524	10
POL3	FRA1	chr1	43622722	43622875	0.1993650793650793	14
POL3	FRA1	chr1	43645951	43646076	0.2461538461538461	9
POL3	FRA1	chr1	43646305	43646425	0.0979020979020978	7
POL3	FRA1	chr1	43693788	43693908	0.1999999999999999	1
POL3	FRA1	chr1	43693990	43694115	0.2425698381534343	5
POL3	FRA1	chr1	43720561	43720686	0.3283459725353556	8
POL3	FRA1	chr1	43720899	43721019	0.5798663727786197	10
POL3	FRA1	chr1	44128130	44128250	-0.0749158249158248	4
POL3	FRA1	chr1	44157517	44157637	0.2102097902097902	13
POL3	FRA1	chr1	44238953	44239078	0.1529411764705882	4
POL3	FRA1	chr1	44295101	44295221	0.5036744501105529	13
POL3	FRA1	chr1	44295428	44295553	0.1793103448275861	8
POL3	FRA1	chr1	44411476	44411596	0.0821114369501465	6
POL3	FRA1	chr1	44411922	44412047	0.1122994652406416	3
POL3	FRA1	chr1	44491240	44491364	0.1334134615384615	4
POL3	FRA1	chr1	44491566	44491686	0.3994082840236686	7
POL3	FRA1	chr1	44541784	44541904	0.3	17
POL3	FRA1	chr1	44541996	44542121	0.2948402948402948	10
POL3	FRA1	chr1	44674854	44674973	0.2725663716814159	4
POL3	FRA1	chr1	45144050	45144175	0.209658546963089	10
POL3	FRA1	chr1	45145450	45145570	0.6862745098039216	4
POL3	FRA1	chr1	45230059	45230184	0.1538461538461538	2
POL3	FRA1	chr1	45230291	45230411	NA	3
POL3	FRA1	chr1	45231288	45231413	0.2387778450770577	9
POL3	FRA1	chr1	45231571	45231691	0.3531202435312024	5
POL3	FRA1	chr1	45401158	45401283	0.0978354978354978	12
POL3	FRA1	chr1	45401530	45401650	0.0427807486631015	5
POL3	FRA1	chr1	45416532	45416693	0.0129282482223658	4
POL3	FRA1	chr1	45416860	45416980	-0.0410456563230469	11
POL3	FRA1	chr1	45467215	45467339	0.3852423852423852	5
POL3	FRA1	chr1	45576042	45576169	0.0757771640124581	7
POL3	FRA1	chr1	45576324	45576444	-0.0587157940099116	6
POL3	FRA1	chr1	45739322	45739447	0.0	1
POL3	FRA1	chr1	45739675	45739795	0.4436363636363636	6
POL3	FRA1	chr1	45749397	45749522	0.1561166106620652	11
POL3	FRA1	chr1	45749754	45749874	0.1372768401194331	19
POL3	FRA1	chr1	45843079	45843199	0.0909090909090908	2
POL3	FRA1	chr1	45843303	45843428	0.1818181818181817	1
POL3	FRA1	chr1	46585754	46585874	0.3859687892896248	9
POL3	FRA1	chr1	46790914	46791034	0.0500627746390458	11
POL3	FRA1	chr1	47312275	47312400	0.2666666666666667	1
POL3	FRA1	chr1	47312621	47312763	0.3022410907458056	10
POL3	FRA1	chr1	47312983	47313108	0.2298509571236843	8
POL3	FRA1	chr1	47315709	47315829	0.0354057706998884	5
POL3	FRA1	chr1	47315972	47316110	0.0999978462243334	12
POL3	FRA1	chr1	47495061	47495181	0.0445998445998445	9
POL3	FRA1	chr1	47495336	47495460	0.1353965183752417	5
POL3	FRA1	chr1	47671409	47671534	0.3670886075949368	4
POL3	FRA1	chr1	47671647	47671767	0.288633754305396	9
POL3	FRA1	chr1	47899745	47899865	0.159524967011598	14
POL3	FRA1	chr1	48209273	48209393	0.5852895148669797	5
POL3	FRA1	chr1	48209475	48209600	0.6264304171280916	4
POL3	FRA1	chr1	48530969	48531085	0.5555555555555556	2
POL3	FRA1	chr1	48567097	48567222	0.131392886623838	5
POL3	FRA1	chr1	48567278	48567398	0.1137809800493624	10
